휠체어장애인,	휠체어장애인/NNG+,/SP
국회의장	국회의장/NNG
인권위	인권위/NNG
진정	진정/NNG

휠체어장애인	휠체어장애인/NNG
권달주(지체2급)씨가	권달주/NNP+(/SS+지체/NNG+2/SN+급/NNG+)/SS+씨/NNB+가/JKS
11일	11/SN+일/NNB
국가인권위원회에	국가인권위원회/NNG+에/JKB
“신축된	“/SN+신축되/VV+ㄴ/ETM
국회	국회/NNG
의원회관에	의원회관/NNG+에/JKB
장애인	장애인/NNG
편의시설이	편의시설/NNG+이/JKS
제대로	제대로/MAG
갖춰지지	갖추/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별이	차별/NNG+이/JKS
분명하다”며	분명하/VA+다/EC+”/VV+며/EC
국회의장을	국회의장/NNG+을/JKO
진정했다	진정하/VV+였/EP+다/EF

권	권/NNP
씨가	씨/NNB+가/JKS
제출한	제출하/VV+ㄴ/ETM
진정서에	진정서/NNG+에/JKB
따르면	따르/VV+면/EC
신축	신축/NNG
의원회관	의원회관/NNG
지하1층	지하/NNG+1/SN+층/NNG
장애인전용주차	장애인전용주차/NNG
공간에는	공간/NNG+에/JKB+는/JX
벽면	벽면/NNG
기둥이	기둥/NNG+이/JKS
있어	있/VA+어/EC
휠체어장애인이	휠체어장애인/NNG+이/JKS
내리기	내리/VV+기/ETN
힘들다	힘들/VA+다/EC

또한	또한/MAG
출입구	출입구/NNG
경사로가	경사로/NNG+가/JKS
좁아	좁/VA+아/EC
전동휠체어·스쿠터의	전동휠체어/NNG+·/SP+스쿠터/NNG+의/JKG
출입이	출입/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
여성장애인화장실만	여성장애인화장실/NNG+만/JX
있을	있/VA+을/ETM
뿐	뿐/NNB
남성장애인화장실은	남성장애인화장실/NNG+은/JX
없다	없/VA+다/EF

특히	특히/MAG
지하	지하/NNG
장애인전용주차장에서	장애인전용주차장/NNG+에서/JKB
엘리베이터까지	엘리베이터/NNG+까지/JX
가는	가/VV+는/ETM
동선에	동선/NNG+에/JKB
바닥과	바닥/NNG+과/JC
색상이	색상/NNG+이/JKS
같은	같/VA+은/ETM
턱이	턱/NNB+이/JKS
있어	있/VA+어/EC
이동을	이동/NNG+을/JKO
방해할	방해하/VV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라,	아니/VCN+라/EC+,/SP
안전사고의	안전사고/NNG+의/JKG
우려가	우려/NNG+가/JKS
있다	있/VA+다/EC

3~10층은	3/SN+~/SO+10/SN+층/NNG+은/JX
좌,	좌/NNG+,/SP
우측에	우측/NNG+에/JKB
각각	각각/MAG
비장애인화장실이	비장애인화장실/NNG+이/JKS
남여로	남여/NNG+로/JKB
구분돼	구분되/VV+어/EC
설치돼	설치되/VV+어/EC
있지만	있/VX+지만/EC
장애인화장실은	장애인화장실/NNG+은/JX
남여공용으로	남/NNG+여/XSN+공용/NNG+으로/JKB
좌,	좌/NNG+,/SP
우측에	우측/NNG+에/JKB
한곳씩만	한곳/NNG+씩/XSN+만/JX
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

물론	물론/MAG
국회	국회/NNG
사무처가	사무처/NNG+가/JKS
현재	현재/MAG
3층부터	3/SN+층/NNG+부터/JX
10층까지	10/SN+층/NNG+까지/JX
남녀공용장애인화장실을	남녀공용장애인화장실/NNG+을/JKO
좌측은	좌측/NNG+은/JX
남성,	남성/NNG+,/SP
우측은	우측/NNG+은/JX
여성으로	여성/NNG+으로/JKB
구분하면	구분하/VV+면/EC
문제가	문제/NNG+가/JKS
없다는	없/VA+다는/ETM
입장이지만,	입장/NNG+이/VCP+지만/EC+,/SP
비장애인과	비장애인/NNG+과/JKB
같은	같/VA+은/ETM
화장실	화장실/NNG
편의가	편의/NNG+가/JKS
이뤄지지	이루어지/VV+지/EC
않아	않/VX+아/EC
‘장애인	‘/SN+장애인/NNG
차별’이라는	차별’/NNG+이/VCP+라는/ETM
주장이다	주장/NNG+이/VCP+다/EC

권	권/NNP
씨는	씨/NNB+는/JX
인권위가	인권위/NNG+가/JKS
철저한	철저하/VA+ㄴ/ETM
조사를	조사/NNG+를/JKO
통해	통하/VV+여/EC
국회의	국회/NNG+의/JKG
장애인	장애인/NNG
차별을	차별/NNG+을/JKO
바로잡아	바로잡/VV+아/EC
주기를	주/VX+기/ETN+를/JKO
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

국가인권위원회	국가인권위원회/NNG
진정서	진정서/NNG
제출	제출/NNG
증명원	증명원/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
