장애인	장애인/NNG
입양,	입양/NNG+,/SP
학대한	학대하/VV+ㄴ/ETM
원장	원장/NNG
검찰수사	검찰수사/NNG
의뢰	의뢰/NNG

국가인권위원회(위원장	국가인권위원회/NNG+(/SS+위원장/NNG
현병철)는	현병철/NNP+)/SS+는/JX
지적장애인	지적장애인/NNG
21명을	21/SN+명/NNB+을/JKO
입양해	입양하/VV+여/EC
학대한	학대하/VV+ㄴ/ETM
'원주	'/SS+원주/NNP
귀래	귀래/NNG
사랑의집'	사랑의집/NNG+'/SS
원장	원장/NNG
A씨를	A/SL+씨/NNB+를/JKO
수사의뢰하고,	수사/NNG+의뢰하/VV+고/EC+,/SP
피해자	피해자/NNG
구제를	구제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
법률구조를	법률구조/NNG+를/JKO
요청했다고	요청하/VV+였/EP+다고/EC
22일	22/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

인권위에	인권위/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
6월	6/SN+월/NNB
B방송사에서	B/SL+방송사/NNG+에서/JKB
강원도에	강원도/NNP+에/JKB
거주하는	거주하/VV+는/ETM
A씨가	A/SL+씨/NNB+가/JKS
1960년대	1960/SN+년대/NNB
후반부터	후반/NNG+부터/JX
지적장애인	지적장애인/NNG
21명을	21/SN+명/NNB+을/JKO
입양해	입양하/VV+여/EC
친자로	친자/NNG+로/JKB
출생신고를	출생신고/NNG+를/JKO
하고는	하/VV+고는/EC
지속적으로	지속적/NNG+으로/JKB
폭행	폭행/NNG
등을	등/NNB+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
내용이	내용/NNG+이/JKS
방영	방영/NNG
됐다	되/VV+었/EP+다/EC

이에	이/NP+에/JKB
보건복지부는	보건복지부/NNG+는/JX
관할	관할/NNG
지자체의	지자체/NNG+의/JKG
의견을	의견/NNG+을/JKO
받아	받/VV+아/EC
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
인권위에	인권위/NNG+에/JKB
직권조사를	직권조사/NNG+를/JKO
요청했다	요청하/VV+였/EP+다/EF

인권위는	인권위/NNG+는/JX
기초조사를	기초조사/NNG+를/JKO
실시	실시/NNG
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
