향상된	향상되/VV+ㄴ/ETM
‘충정로	‘/SN+충정/NNG+로/JKB
구세군회관’	구세군회관’/NNG
장애인	장애인/NNG
편의	편의/NNG

서울	서울/NNP
충정로	충정로/NNP
‘구세군회관’이	‘/SL+구세군회관/NNG+’/SL+이/JKS
최근	최근/NNG
장애인	장애인/NNG
편의시설	편의시설/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
건물	건물/NNG
지하2층∼지상1층의	지하/NNG+2/SN+층/NNG+∼/SO+지상/NNG+1/SN+층/NNG+의/JKG
리모델링	리모델링/NNG
공사를	공사/NNG+를/JKO
완료했다	완료하/VV+였/EP+다/EC

2층,아트홀(카르마	2/SN+층/NNG+,/SP+아트홀/NNG+(/SS+카르마/NNG
전용관)장애인	전용관/NNG+)/SS+장애인/NNG
화장실도	화장실/NNG+도/JX
리모델링	리모델링/NNG
공사	공사/NNG
준비를	준비/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
공사를	공사/NNG+를/JKO
통해	통하/VV+여/EC
개선된	개선되/VV+ㄴ/ETM
주요	주요/NNG
장애인	장애인/NNG
편의시설로는	편의시설/NNG+로/JKB+는/JX
장애인화장실,	장애인화장실/NNG+,/SP
점자블록,	점자블록/MAG+,/SP
장애인전용주차구역	장애인전용주차구역/NNG
등을	등/NNB+을/JKO
들	들/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

수준	수준/NNG
또한	또한/MAG
장애인들이	장애인/NNG+들/XSN+이/JKS
불편	불편/NNG
없이	없이/MAG
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도였지만	정도/NNG+이/VCP+었/EP+지만/EC
옥에	옥/NNG+에/JKB
티도	티/NNG+도/JX
있어,	있/VA+어/EC+,/SP
개선이	개선/NNG+이/JKS
필요해	필요하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

먼저	먼저/MAG
남녀장애인화장실의	남녀장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
접이식에서	접이식/NNG+에서/JKB
터치식자동문으로	터치식자동문/NNG+으로/JKB
바뀌어	바뀌/VV+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
사용이	사용/NNG+이/JKS
편리했다	편리하/VA+었/EP+다/EC

내부는	내부/NNG+는/JX
좁은	좁/VA+은/ETM
공간으로	공간/NNG+으로/JKB
전동휠체어	전동휠체어/NNG
및	및/MAG
전동스쿠터	전동스쿠터/NNG
이용	이용/NNG
장애인의	장애인/NNG+의/JKG
불편을	불편/NNG+을/JKO
초래했던	초래하/VV+었/EP+던/ETM
점을	점/NNG+을/JKO
해소하기	해소하/VV+기/ETN
위해	위하/VV+여/EC
세면대의	세면대/NNG+의/JKG
크기를	크기/NNG+를/JKO
줄였다	줄이/VV+었/EP+다/EC

용변기	용변/NNG+기/XSN
자동	자동/NNG
물	물/NNG
내림	내리/VV+ㅁ/ETN
센서가	센서/NNG+가/JKS
설치된	설치되/VV+ㄴ/ETM
곳에는	곳/NNG+에/JKB+는/JX
등받이와	등받이/NNG+와/JC
비상호출버튼을	비/XPN+상호출버튼/NNG+을/JKO
설치했다	설치하/VV+였/EP+다/EC

반면	반면/NNG
등받이가	등받이/NNG+가/JKS
조금	조금/MAG
높게	높/VA+게/EC
설치된	설치되/VV+ㄴ/ETM
점,	점/NNG+,/SP
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
목발을	목발/NNG+을/JKO
사용하는	사용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있는	있/VA+는/ETM
점은	점/NNG+은/JX
개선이	개선/NNG+이/JKS
필요했다	필요하/VA+었/EP+다/EC

여기에	여기/NP+에/JKB
장애인화장실	장애인화장실/NNG
입구의	입구/NNG+의/JKG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
불편한	불편하/VA+ㄴ/ETM
점도	점/NNG+도/JX
문제였다	문제/NNG+이/VCP+었/EP+다/EF

비장애인화장실을	비장애인화장실/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
입구	입구/NNG
벽면에	벽면/NNG+에/JKB
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려	알리/VV+어/EC
주는	주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
밑바닥에	밑바닥/NNG+에/JKB
점자블록이	점자블록이/MAG
양호하게	양호하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

지하1층과	지하/NNG+1/SN+층/NNG+과/JC
지상1층	지상/NNG+1/SN+층/NNG
사이의	사이/NNG+의/JKG
계단	계단/NNG
중간	중간/NNG
참부분에는	참부분/NNG+에/JKB+는/JX
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
안전한	안전하/VA+ㄴ/ETM
보행을	보행/NNG+을/JKO
위해	위하/VV+여/EC
점자블록,	점자블록/MAG+,/SP
핸드레일	핸드레일/NNG
손잡이	손잡이/NNG
처음과	처음/NNG+과/JC
끝	끝/NNG
부분에는	부분/NNG+에/JKB+는/JX
층수를	층수/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

하지만	하지만/MAJ
계단에는	계단/NNG+에/JKB+는/JX
시각장애인	시각장애인/NNG
손을	손/NNG+을/JKO
둥글게	둥글/VA+게/EC
말아	말/VV+아/EC
쥐어	쥐/VV+어/EC
잡으면서	잡/VV+으면서/EC
오르내릴	오르내리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
또	또/MAG
다른	다른/MM
핸드레일	핸드레일/NNG
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

지하2층	지하/NNG+2/SN+층/NNG
장애인전용주차구역의	장애인전용주차구역/NNG+의/JKG
밑바닥에는	밑바닥/NNG+에/JKB+는/JX
‘장애인마크’와	‘/SL+장애인마크/NNG+’/SL+와/JC
‘장애인	‘/SL+장애/NNG+이/VCP+ㄴ/ETM
주차	주차/NNG
안내판’이	안내판/NNG+’/SL+이/JKS
양호하게	양호하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

그렇지만	그렇지만/MAJ
장애인	장애인/NNG
주차	주차/NNG
안내판의	안내판/NNG+의/JKG
문구	문구/NNG
중	중/NNB
“장애인자동차	“/SN+장애인자동차/NNG
표지가	표지/NNG+가/JKS
부착된	부착되/VV+ㄴ/ETM
자동차에	자동차/NNG+에/JKB
보행상장애가	보행상장애/NNG+가/JKS
있는	있/VA+는/ETM
자가	자/NNB+가/JKS
탑승한	탑승하/VV+ㄴ/ETM
경우에만	경우/NNG+에/JKB+만/JX
주차할	주차하/VV+ㄹ/ETM
수	수/NNB
있다”는	있/VA+다”/EC+는/JX
내용이	내용/NNG+이/JKS
있어	있/VA+어/EC
혼돈을	혼돈/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보였다	보이/VV+었/EP+다/EF

‘장애인자동차’를	‘/SL+장애인자동차’/NNG+를/JKO
