스웨덴,	스웨덴/NNP+,/SP
北	北/SL
장애인	장애인/NNG
지원에	지원/NNG+에/JKB
43만	43/SN+만/NR
달러	달러/NNB
기부	기부/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
노재현	노재현/NNP
기자	기자/NNG
=	=/SW
스웨덴이	스웨덴이/NNP
북한의	북한/NNP+의/JKG
장애인들을	장애인/NNG+들/XSN+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+여/EC
43만	43/SN+만/NR
달러(약	달러/NNB+(/SS+약/MM
4억8천만원)를	4/SN+억/NR+8/SN+천만/NR+원/NNB+)/SS+를/JKO
기부했다고	기부하/VV+였/EP+다고/EC
미국의소리(VOA)	미국/NNP+의소리/NNG+(/SS+VOA/SL+)/SS
방송이	방송/NNG+이/JKS
28일	28/SN+일/NNB
전했다	전하/VV+었/EP+다/EC

유엔	유엔/NNP
인도주의업무조정국에	인도주의업무조정국/NNG+에/JKB
따르면	따르/VV+면/EC
스웨덴은	스웨덴/NNP+은/JX
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
국제구호단체	국제구호단체/NNG
`핸디캡인터내셔널'과	`/SW+핸디캡인터내셔널/NNG+'/SS+과/JC
이런	이런/MM
내용의	내용/NNG+의/JKG
대북지원	대북지원/NNG
계약을	계약/NNG+을/JKO
맺었다	맺/VV+었/EP+다/EC

`핸디캡인터내셔널'은	`/SW+핸디캡인터내셔널/NNG+'/SS+은/JX
스웨덴이	스웨덴/NNP+이/JKS
기부한	기부하/VV+ㄴ/ETM
자금으로	자금/NNG+으로/JKB
북한	북한/NNP
만흥정형외과병원과	만흥정형외과병원/NNP+과/JC
함흥재활센터에서	함흥재활센터/NNP+에서/JKB
재활	재활/NNG
치료에	치료/NNG+에/JKB
나서고	나서/VV+고/EC
북한의	북한/NNP+의/JKG
특수학교	특수학교/NNG
4곳에서	4/SN+곳/NNG+에서/JKB
장애아의	장애아/NNG+의/JKG
교육	교육/NNG
및	및/MAG
생활환경을	생활환경/NNG+을/JKO
개선하는	개선하/VV+는/ETM
활동을	활동/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이	이/MM
단체는	단체/NNG+는/JX
유럽연합(EU),	유럽연합/NNP+(/SS+EU/SL+)/SS+,/SP
벨기에,	벨기에/NNP+,/SP
네덜란드	네덜란드/NNP
등으로부터	등/NNB+으로부터/JKB
자금을	자금/NNG+을/JKO
받아	받/VV+아/EC
북한에서	북한/NNP+에서/JKB
장애인	장애인/NNG
지원활동을	지원활동/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

nojae@yna	nojae/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
