'장애남매	'/SS+장애남매/NNG
화재사건'에	화재사건/NNG+'/SS+에/JKB
온정의	온정/NNG+의/JKG
손길	손길/NNG

최근	최근/NNG
파주시의	파주시/NNP+의/JKG
한	한/MM
아파트단지	아파트단지/NNG
14층에서	14/SN+층/NNG+에서/JKB
불이	불/NNG+이/JKS
나	나/VV+아/EC
연기에	연기/NNG+에/JKB
질식돼	질식되/VV+어/EC
의식을	의식/NNG+을/JKO
잃어	잃/VV+어/EC
중태에	중태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
장애남매의	장애남매/NNG+의/JKG
사연이	사연/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
온정의	온정/NNG+의/JKG
손길이	손길/NNG+이/JKS
이어지고	이어지/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
29일	29/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
파주시	파주시/NNP
금촌동	금촌동/NNP
한	한/MM
아파트	아파트/NNG
14층에서	14/SN+층/NNG+에서/JKB
화재가	화재/NNG+가/JKS
발생해	발생하/VV+여/EC
집	집/NNG
안에	안/NNG+에/JKB
있던	있/VA+던/ETM
박	박/NNP
모(13)	모/NP+(/SS+13/SN+)/SS
양과	양/NNG+과/JC
뇌성마비	뇌성마비/NNG
장애를	장애/NNG+를/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
남동생(11)이	남동생/NNG+(/SS+11/SN+)/SS+이/JKS
질식해	질식하/VV+여/EC
중태에	중태/NNG+에/JKB
빠졌다	빠지/VV+었/EP+다/EC

경찰은	경찰/NNG+은/JX
누나가	누나가/VV+아/EC
동생을	동생/NNG+을/JKO
구하려다	구하/VV+려다/EC
미처	미처/MAG
탈출하지	탈출하/VV+지/EC
못하고	못하/VX+고/EC
함께	함께/MAG
연기를	연기/NNG+를/JKO
마셔	마시/VV+어/EC
의식을	의식/NNG+을/JKO
잃은	잃/VV+은/ETM
것으로	것/NNB+으로/JKB
추정했다	추정하/VV+였/EP+다/EC

남매는	남매/NNG+는/JX
사고	사고/NNG
나흘	나흘/NNG
째인	째/XSN+이/VCP+ㄴ/ETM
지금	지금/MAG
까지도	까지도/JX
의식을	의식/NNG+을/JKO
찾지	찾/VV+지/EC
못하고	못하/VX+고/EC
있다	있/VX+다/EC

집안	집안/NNG
형편이	형편/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
박	박/NNP
양은	양/NNP+은/JX
평소에도	평소/NNG+에/JKB+도/JX
일용직	일용직/NNG
노동자로	노동자/NNG+로/JKB
일하는	일하/VV+는/ETM
아버지와	아버지/NNG+와/JC
떡집에서	떡집/NNG+에서/JKB
일하는	일하/VV+는/ETM
어머니를	어머니/NNG+를/JKO
대신해	대신하/VV+여/EC
동생에게	동생/NNG+에게/JKB
밥을	밥/NNG+을/JKO
챙겨주고	챙기/VV+어/EC+주/VX+고/EC
목욕을	목욕/NNG+을/JKO
시켜주고	시키/VV+어/EC+주/VX+고/EC
옷을	옷/NNG+을/JKO
갈아입혀주는	갈아입허/VV+어/EF+주/VX+는/ETM
등	등/NNB
동생에	동생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사랑이	사랑/NNG+이/JKS
남달랐던	남다르/VA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

화재	화재/NNG
당시	당시/NNG
누나는	누나/NNG+는/JX
평소	평소/NNG
끔찍이도	끔찍이/MAG+도/JX
