더욱	더욱/MAG
거세지는	거세/VA+지/EC+는/JX
활동지원예산	활동지원예산/NNG
증액	증액/NNG
요구	요구/NNG

제20회	제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날을	날/NNG+을/JKO
맞아,	맞/VV+아/EC+,/SP
장애인단체가	장애인단체/NNG+가/JKS
장애인활동지원	장애인활동지원/NNG
예산확보를	예산확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
선포,	선포/NNG+,/SP
앞으로의	앞/NNG+으로/JKB+의/JKG
예산	예산/NNG
확보에	확보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
움직임이	움직임/NNG+이/JKS
주목되고	주목되/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
투쟁의	투쟁/NNG+의/JKG
선포는	선포/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
회원들이	회원/NNG+들/XSN+이/JKS
국회	국회/NNG
정론관을	정론관/NNG+을/JKO
기습	기습/NNG
점거	점거/NNG
농성을	농성/NNG+을/JKO
벌인데서	벌이/VV+ㄴ/ETM+데/NNB+서/JKB
시작됐다	시작되/VV+었/EP+다/EC

‘제20회	‘/SL+제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
오후3시	오후/NNG+3/SN+시/NNB
30분,	30/SN+분/NNB+,/SP
중증장애인	중증장애인/NNG
30여명이	30/SN+여/XSN+명/NNB+이/JKS
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
새누리당	새누리당/NNP
원내대표의	원내대표/NNG+의/JKG
2013년	2013/SN+년/NNB
장애인활동지원	장애인활동지원/NNG
예산확보	예산확보/NNG
약속을	약속/NNG+을/JKO
요구하며	요구하/VV+며/EC
기습투쟁,	기습투쟁/NNG+,/SP
밤샘	밤샘/NNG
농성을	농성/NNG+을/JKO
진행했다	진행하/VV+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
농성은	농성/NNG+은/JX
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
국회	국회/NNG
상임위에서	상임위/NNG+에서/JKB
증액된	증액되/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
장애인활동지원예산을	장애인활동지원예산/NNG+을/JKO
삭감	삭감/NNG
없이	없이/MAG
확보할	확보하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
새누리당이	새누리당/NNG+이/JKS
책임지고	책임지/VV+고/EC
약속을	약속/NNG+을/JKO
하라는	하/VV+라는/ETM
것이	것/NNB+이/JKS
중점이다	중점/NNG+이/VCP+다/EC

활동지원제도의	활동지원제도/NNG+의/JKG
참사는	참사/NNG+는/JX
올	올/NNG
하반기	하반기/NNG
들어	들/VV+어/EC
줄줄이	줄줄이/MAG
일어났다	일어나/VV+았/EP+다/EF

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
26일	26/SN+일/NNB
장애인권운동가	장애인권운동가/NNG
김주영씨가	김주영/NNP+씨/NNB+가/JKS
집에서	집/NNG+에서/JKB
화재가	화재/NNG+가/JKS
일어나	일어나/VV+아/EC
활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없어	없/VA+어/EC
목숨을	목숨/NNG+을/JKO
잃고,	잃/VV+고/EC+,/SP
중증	중증/NNG
근육	근육/NNG
장애인	장애인/NNG
허정석씨가	허정석/NNP+씨/NNB+가/JKS
호흡기가	호흡기/NNG+가/JKS
떨어져	떨어지/VV+어/EC
숨졌다	숨지/VV+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
29일에는	29/SN+일/NNB+에/JKB+는/JX
파주에서	파주/NNP+에서/JKB
일어난	일어나/VV+ㄴ/ETM
화재로	화재/NNG+로/JKB
중증장애를	중증장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
동생을	동생/NNG+을/JKO
대피시키려던	대피/NNG+시키/XSV+려던/ETM
열세살	열세/NR+살/NNB
누이가	누이/NNG+가/JKS
목숨을	목숨/NNG+을/JKO
잃는	잃/VV+는/ETM
사건들이	사건/NNG+들/XSN+이/JKS
연이어	연잇/VV+어/EC
발생했다	발생하/VV+였/EP+다/EC

모두	모두/MAG
장애인활동지원제도가	장애인활동지원제도/NNG+가/JKS
부족해	부족하/VA+여/EC
생긴	생기/VV+ㄴ/ETM
참사	참사/NNG

화가	화가/NNG
난	나/VV+ㄴ/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
보건복지부,	보건복지부/NNG+,/SP
국회	국회/NNG
등에서	등/NNB+에서/JKB
기자회견을	기자회견/NNG+을/JKO
펼치며	펼치/VV+며/EC
활동지원제도의	활동지원제도/NNG+의/JKG
부족함과	부족하/VA+ㅁ/ETN+과/JC
최중증장애인을	최/XPN+중증장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
24시간	24/SN+시간/NNB
활동보조	활동보조/NNG
요구를	요구/NNG+를/JKO
외쳤다	외치/VV+었/EP+다/EC

이러한	이러하/VA+ㄴ/ETM
가운데,	가운데/NNG+,/SP
조그만	조그맣/VA+ㄴ/ETM
희망은	희망/NNG+은/JX
생겼다	생기/VV+었/EP+다/EF

내년도	내년도/NNG
장애인	장애인/NNG
활동지원예산이	활동지원예산/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
국회	국회/NNG
상임위에서	상임위/NNG+에서/JKB
유래	유래/NNG
없는	없/VA+는/ETM
50%증액인	50/SN+%/SW+증액/NNG+인/XSN
4750억원으로	4750/SN+억/NR+원/NNB+으로/JKB
확정,	확정/NNG+,/SP
예결위심의를	예결위심의/NNG+를/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
상황	상황/NNG
속	속/NNG
야권	야권/NNG
대선후보와	대선후보/NNG+와/JC
민주당,	민주당/NNP+,/SP
통합진보당	통합진보당/NNP
등	등/NNB
야당들이	야당/NNG+들/XSN+이/JKS
적극적으로	적극적/NNG+으로/JKB
예산	예산/NNG
확대를	확대/NNG+를/JKO
약속했다	약속하/VV+었/EP+다/EC

장애인들은	장애인/NNG+들/XSN+은/JX
기쁜	기쁘/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
감추지	감추/VV+지/EC
못했다	못하/VX+였/EP+다/EC

반면,	반면/NNG+,/SP
대선	대선/NNG
유력	유력/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
박근혜	박근혜/NNP
후보와	후보/NNG+와/JC
새누리당에서만	새누리당/NNP+에서/JKB+만/JX
아무런	아무런/MM
입장을	입장/NNG+을/JKO
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
있어	있/VX+어/EC
예산	예산/NNG
확보를	확보/NNG+를/JKO
결정지을	결정짓/VV+을/ETM
예결위심의가	예결위심의/NNG+가/JKS
계속	계속/MAG
미뤄지고	미루/VV+어/EC+지/VX+고/EC
있다	있/VX+다/EC

