미국서	미국/NNP+서/JKB
휠체어	휠체어/NNG
탄	타/VV+ㄴ/ETM
장애인	장애인/NNG
경찰	경찰/NNG
총격으로	총격/NNG+으로/JKB
사망	사망/NNG

(휴스턴<미	(/SS+휴스턴/NNP+</SS+미/NNP
텍사스주>	텍사스주/NNP+>/SS
AP=연합뉴스)	AP/SL+=/SW+연합뉴스/NNP+)/SS
미국	미국/NNP
휴스턴의	휴스턴/NNP+의/JKG
한	한/MM
경찰관이	경찰관/NNG+이/JKS
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
있던	있/VX+던/ETM
지체장애인에게	지체장애인/NNG+에게/JKB
총기를	총기/NNG+를/JKO
발사해	발사하/VV+여/EC
숨지게	숨지/VV+게/EC
하는	하/VX+는/ETM
사건이	사건/NNG+이/JKS
발생했다	발생하/VV+였/EP+다/EC

휴스턴	휴스턴/NNP
경찰은	경찰/NNG+은/JX
22일(현지시간)	22/SN+일/NNB+(/SS+현지시간/NNG+)/SS
새벽	새벽/NNG
한	한/MM
요양원에	요양원/NNG+에/JKB
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동하/VV+ㄴ/ETM
경찰관	경찰관/NNG
2명	2/SN+명/NNB
중	중/NNB
한	한/MM
명이	명/NNB+이/JKS
이	이/MM
사고를	사고/NNG+를/JKO
냈다고	내/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
사건	사건/NNG
당시	당시/NNG
난동을	난동/NNG+을/JKO
부리는	부리/VV+는/ETM
사람이	사람/NNG+이/JKS
있다는	있/VA+다는/ETM
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
경찰관	경찰관/NNG
2명이	2/SN+명/NNB+이/JKS
출동했다	출동하/VV+였/EP+다/EF

경찰관들이	경찰관/NNG+들/XSN+이/JKS
요양원	요양원/NNG
안으로	안/NNG+으로/JKB
들어선	들어서/VV+ㄴ/ETM
뒤	뒤/NNG
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
있던	있/VX+던/ETM
사람이	사람/NNG+이/JKS
경찰관	경찰관/NNG
한	한/MM
명을	명/NNB+을/JKO
방	방/NNG
구석	구석/NNG
쪽으로	쪽/NNB+으로/JKB
몰아세우며	몰아세우/VV+며/EC
손에	손/NNG+에/JKB
들고	들/VV+고/EC
있던	있/VX+던/ETM
물체로	물체/NNG+로/JKB
찌르려는	찌르/VV+려는/ETM
듯한	듯하/VX+ㄴ/ETM
행동을	행동/NNG+을/JKO
했고,	하/VV+였/EP+고/EC+,/SP
이에	이/NP+에/JKB
다른	다른/MM
경찰관이	경찰관/NNG+이/JKS
총기를	총기/NNG+를/JKO
발사했다	발사하/VV+였/EP+다/EC

총을	총/NNG+을/JKO
사용한	사용하/VV+ㄴ/ETM
경찰관은	경찰관/NNG+은/JX
숨진	숨지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
어떤	어떤/MM
물체를	물체/NNG+를/JKO
들고	들/VV+고/EC
있었는지	있/VX+었/EP+는지/EC
몰랐다고	모르/VV+았/EP+다고/EC
말했지만,	말하/VV+였/EP+지만/EC+,/SP
나중에	나중/NNG+에/JKB
이	이/MM
물체는	물체/NNG+는/JX
펜이었던	펜/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

요양원	요양원/NNG
주인	주인/NNG
존	존/NNP
가르시아는	가르시아/NNP+는/JX
숨진	숨지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
열차	열차/NNG
사고로	사고/NNG+로/JKB
한	하/VV+ㄴ/ETM
팔과	팔/NNB+과/JKB
한	한/MM
다리를	다리/NNG+를/JKO
잃었고	잃/VV+었/EP+고/EC
약	약/MM
1년	1/SN+년/NNB
6개월	6/SN+개월/NNB
전부터	전/NNG+부터/JX
자신의	자신/NNG+의/JKG
요양원에서	요양원/NNG+에서/JKB
생활하고	생활하/VV+고/EC
있었으며,	있/VX+었/EP+으며/EC+,/SP
정신	정신/NNG
질환을	질환/NNG+을/JKO
앓았던	앓/VV+았/EP+던/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
말했다	말하/VV+였/EP+다/EC

smile@yna	smile/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
