‘세계장애인의	‘/SL+세계장애인/NNG+의/JKG
날’	날/NNG+’/SL
전국	전국/NNG
장애인들	장애인/NNG+들/XSN
거리로	거리/NNG+로/JKB

‘제20회	‘/SL+제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날(12월	날/NNG+(/SS+12/SN+월/NNB
3일)’을	3/SN+일/NNB+)/SS+’/SL+을/JKO
맞아	맞/VV+아/EC
전국에서	전국/NNG+에서/JKB
모인	모이/VV+ㄴ/ETM
장애인단체	장애인단체/NNG
활동가들이	활동가/NNG+들/XSN+이/JKS
빗속에서	빗속/NNG+에서/JKB
한마음으로	한마음/NNG+으로/JKB
“사람답게	“/SN+사람/NNG+답/XSA+게/EC
살고	살/VV+고/EC
싶다”고	싶/VX+다/EC+”/VV+고/EC
목	목/NNG
놓아	놓/VV+아/EC
외쳤다	외치/VV+었/EP+다/EC

전국장애인차별철폐연대는	전/MM+국장애인차별철폐연대/NNG+는/JX
3일	3/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
서울	서울/NNP
광화문광장에서	광화문/NNP+광장/NNG+에서/JKB
결의대회를	결의대회/NNG+를/JKO
열고	열/VV+고/EC
장애등급제	장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애인활동지원제도	장애인활동지원제/NNG+도/JX
개선	개선/NNG
등	등/NNB
장애계	장애/NNG+계/XSN
주요	주요/NNG
투쟁들을	투쟁/NNG+들/XSN+을/JKO
다시	다시/MAG
한	한/MM
번	번/NNB
힘	힘/NNG
있게	있/VA+게/EC
모아냈다	모으/VV+아/EC+내/VX+었/EP+다/EF

세계장애인의	세계장애인/NNG+의/JKG
날은	날/NNG+은/JX
UN이	UN/SL+이/JKS
1981년을	1981/SN+년/NNB+을/JKO
세계장애인의	세계장애인/NNG+의/JKG
해로	해/NNG+로/JKB
지정하면서	지정하/VV+면서/EC
시작됐다	시작되/VV+었/EP+다/EC

이후	이후/NNG
UN은	UN/SL+은/JX
1982년	1982/SN+년/NNB
12월	12/SN+월/NNB
3일	3/SN+일/NNB
장애인의	장애인/NNG+의/JKG
권리	권리/NNG
증진을	증진/NNG+을/JKO
위해	위하/VV+여/EC
UN장애인10년(1983년~1992년)과	UN/SL+장애인/NNG+10/SN+년/NNB+(/SS+1983/SN+년/NNB+~/SO+1992/SN+년/NNB+)/SS+과/JC
그	그/MM
실천	실천/NNG
전략인	전략/NNG+이/VCP+ㄴ/ETM
장애인에	장애인/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
세계행동계획을	세계행동계획/NNG+을/JKO
채택하기에	채택하/VV+기/ETN+에/JKB
이른다	이르/VV+ㄴ다/EC

UN총회는	UN/SL+총회/NNG+는/JX
1992년,	1992/SN+년/NNB+,/SP
이날을	이날/NNG+을/JKO
기념하기	기념하/VV+기/ETN
위해	위하/VV+여/EC
12월	12/SN+월/NNB
3일을	3/SN+일/NNB+을/JKO
세계장애인의	세계장애인/NNG+의/JKG
날로	날로/MAG
지정했다	지정하/VV+였/EP+다/EC

하지만	하지만/MAJ
전장연에	전장연/NNP+에/JKB
따르면	따르/VV+면/EC
장애인들은	장애인/NNG+들/XSN+은/JX
현재	현재/MAG
‘빈곤과	‘/SL+빈곤/NNG+과/JC
낙인의	낙인/NNG+의/JKG
사슬’이라고	사슬’/NNG+이/VCP+라고/EC
불리는	불리/VV+는/ETM
장애등급제,	장애등급/NNG+제/XSN+,/SP
터무니없이	터무니없이/MAG
부족한	부족하/VA+ㄴ/ETM
활동지원제도로	활동지원제도/NNG+로/JKB
고통스럽고	고통스럽/VA+고/EC
절박한	절박하/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
놓여있다	놓열/VV+있/VX+다/EC

특히	특히/MAG
장애인활동지원	장애인활동지원/NNG
예산은	예산/NNG+은/JX
국회	국회/NNG
보건복지위원회에서	보건복지위원회/NNG+에서/JKB
50%증액(2012년	50/SN+%/SW+증액/NNG+(/SS+2012/SN+년/NNB
대비	대비/NNG
1500억여원)돼	1500/SN+억/NR+여/XSN+원/NNB+)/SS+되/XSV+어/EC
예산결산특별위원회	예산결산특별위원회/NNG
심의를	심의/NNG+를/JKO
앞두고	앞두/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
새누리당의	새누리당/NNP+의/JKG
입장표명	입장표명/NNG
회피와	회피/NNG+와/JC
보건복지부	보건복지부/NNG
반대로	반대/NNG+로/JKB
큰	크/VA+ㄴ/ETM
벽에	벽/NNG+에/JKB
부딪혔다	부딪허/VV+였/EP+다/EF

새누리당	새누리당/NNP
1호	1/SN+호/NNB
발의	발/NNG+의/JKG
법안으로	법안/NNG+으로/JKB
선전됐던	선전되/VV+었/EP+던/ETM
발달장애인법	발달장애인법/NNG
조차	조차/JX
복지부의	복지부/NNG+의/JKG
반대	반대/NNG
속에	속/NNG+에/JKB
껍데기	껍데기/NNG
뿐인	뿐/JX+이/VCP+ㄴ/ETM
법으로	법/NNG+으로/JKB
전락될	전락되/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
놓여있는	놓열/VV+있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

한국장애인자립생활센터협의회	한국/NNP+장애인자립생활센터협의회/NNG
이원교	이원교/NNP
회장은	회장/NNG+은/JX
“어린	“/SN+어리/VA+ㄴ/ETM
시절에는	시절/NNG+에/JKB+는/JX
억눌리고,	억눌리/VV+고/EC+,/SP
사회에서는	사회/NNG+에서/JKB+는/JX
차별받고	차별/NNG+받/VV+고/EC
있다	있/VX+다/EC

도대체	도대체/MAG
이	이/MM
나라가	나라/NNG+가/JKS
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
무엇이	무엇/NP+이/JKS
있느냐”고	있/VA+느냐/EC+”/SN+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
“예산은	“/SN+예산/NNG+은/JX
깎이고,	깎이/VV+고/EC+,/SP
활동보조	활동보조/NNG
자부담까지	자부담/NNG+까지/JX
언제까지	언제/NP+까지/JX
장애인은	장애인/NNG+은/JX
