부가급여→장애수당	부가급여/NNG+→/SW+장애수당/NNG
전환,	전환/NNG+,/SP
보조금고용제	보조금고용/NNG+제/XSN
도입	도입/NNG

국가인권위원회는	국가인권위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
공청회를	공청회/NNG+를/JKO
통해	통하/VV+여/EC
‘장애인	‘/SL+장애인/NNG
인권증진	인권증진/NNG
중장기	중장기/NNG
계획(안)(2013∼2017)(이하	계획/NNG+(/SS+안/NNG+)(/SS+2013/SN+∼/SO+2017/SN+)(/SS+이하/NNG
계획안)’을	계획안/NNG+)/SS+’/SL+을/JKO
공개하고,	공개하/VV+고/EC+,/SP
전문가들의	전문가/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴했다	수렴하/VV+였/EP+다/EF

인권위	인권위/NNG
장애차별기획조사팀	장애차별기획조/NNP+사팀/NNG
조형석	조형석/NNG
팀장이	팀장/NNG+이/JKS
발표한	발표하/VV+ㄴ/ETM
계획안에는	계획안/NNG+에/JKB+는/JX
평등한	평등하/VA+ㄴ/ETM
참여를	참여/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기반	기반/NNG
구축	구축/NNG
적절한	적절하/VA+ㄴ/ETM
삶의	삶/NNG+의/JKG
향유를	향유/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기본권	기본권/NNG
보장	보장/NNG
차별시정	차별시정/NNG
및	및/MAG
예방강화	예방강화/NNG
다중적	다중/NNG+적/XSN
차별을	차별/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사회적	사회적/NNG
기반구축	기반구축/NNG
등	등/NNB
기능별로	기능/NNG+별/XSN+로/JKB
분화된	분화되/VV+ㄴ/ETM
4대	4/SN+대/NNB
전략목표를	전략목표/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
21개	21/SN+개/NNB
추진목표가	추진목표/NNG+가/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EF

이날	이날/NNG
토론자로	토론자/NNG+로/JKB
참석한	참석하/VV+ㄴ/ETM
각	각/MM
분야	분야/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
계획안에	계획안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
취지와	취지/NNG+와/JC
계획에	계획/NNG+에/JKB
대해	대하/VV+여/EC
전반적으로	전반적/NNG+으로/JKB
공감의	공감/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
표하고,	표하/VV+고/EC+,/SP
각	각/MM
성과목표에서	성과목표/NNG+에서/JKB
보완돼야	보완되/VV+어야/EC
할	하/VX+ㄹ/ETM
내용을	내용/NNG+을/JKO
조언했다	조언하/VV+였/EP+다/EC

반면	반면/NNG
추진목표	추진목표/NNG
중	중/NNB
장애인	장애인/NNG
등록등급제를	등록등급/NNG+제/XSN+를/JKO
유지한	유지하/VV+ㄴ/ETM
채	채/NNB
서비스	서비스/NNG
수급권을	수급권/NNG+을/JKO
분리한다는	분리하/VV+ㄴ다는/ETM
‘장애인	‘/SL+장애인/NNG
등록등급제	등록등급/NNG+제/XSN
개선방향’에	개선방향/NNG+’/SL+에/JKB
대해서는	대하/VV+여서/EC+는/JX
난색을	난색/NNG+을/JKO
표하는	표하/VV+는/ETM
토론자가	토론자/NNG+가/JKS
많았다	많/VA+았/EP+다/EC

이야기를	이야기/NNG+를/JKO
종합해보면	종합하/VV+여/EC+보/VX+면/EC
단기계획이	단기계획/NNG+이/JKC
아니라	아니/VCN+라/EC
중장기	중장기/NNG
계획인	계획/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
등록등급제의	등록등급/NNG+제/XSN+의/JKG
개선이	개선/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
현행의	현행/NNG+의/JKG
획일적인	획일적/NNG+이/VCP+ㄴ/ETM
등록등급제	등록등급/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
목표로	목표/NNG+로/JKB
봐야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
이유다	이유/NNG+이/VCP+다/EF

인권위는	인권위/NNG+는/JX
이날	이날/NNG
나온	나오/VV+ㄴ/ETM
여러	여러/MM
의견들을	의견/NNG+들/XSN+을/JKO
계획에	계획/NNG+에/JKB
반영해	반영하/VV+여/EC
‘장애인	‘/SN+장애인/NNG
인권증진을	인권증진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
중장기	중장기/NNG
계획’	계획/NNG+’/SN
수립을	수립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
권고안을	권고안/NNG+을/JKO
마련,	마련/NNG+,/SP
인권위	인권위/NNG
상임위원회와	상임위원회/NNG+와/JC
전원위원회	전원위원회/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
국무총리	국무총리/NNG
및	및/MAG
관련	관련/NNG
부처에	부처/NNG+에/JKB
권고할	권고하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

장애인	장애인/NNG
등록등급제	등록등급/NNG+제/XSN
유지,	유지/NNG+,/SP
서비스수급권	서비스수급권/NNG
분리■평등한	분리/NNG+■/SW+평등하/VA+ㄴ/ETM
참여를	참여/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기반	기반/NNG
구축=인권위는	구축/NNG+=/SW+인권위/NNG+는/JX
평등한	평등하/VA+ㄴ/ETM
참여를	참여/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기반	기반/NNG
구축을	구축/NNG+을/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
등록등급제	등록등급/NNG+제/XSN
개선,	개선/NNG+,/SP
장애인	장애인/NNG
중심의	중심/NNG+의/JKG
서비스	서비스/NNG
전달체계	전달체계/NNG
구축,	구축/NNG+,/SP
장애인	장애인/NNG
활동지원제도	활동지원/NNG+제/XSN+도/JX
개선,	개선/NNG+,/SP
지역사회	지역사회/NNG
참여를	참여/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
여건	여건/NNG
마련,	마련/NNG+,/SP
장애인	장애인/NNG
접근권	접근권/NNG
보장	보장/NNG
등	등/NNB
7개	7/SN+개/NNB
추진목표를	추진목표/NNG+를/JKO
제시하고	제시하/VV+고/EC
있다	있/VX+다/EC

장애인	장애인/NNG
등록등급제	등록등급/NNG+제/XSN
개선은	개선/NNG+은/JX
등록등급제와	등록등급/NNG+제/XSN+와/JC
서비스	서비스/NNG
수급권의	수급권/NNG+의/JKG
분리,	분리/NNG+,/SP
개인의	개인/NNG+의/JKG
욕구와	욕구/NNG+와/JC
환경에	환경/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
서비스별	서비스/NNG+별/XSN
장애	장애/NNG
사정	사정/NNG
기준	기준/NNG
마련,	마련/NNG+,/SP
장애	장애/NNG
범주	범주/NNG
확대로	확대/NNG+로/JKB
잡고	잡/VV+고/EC
있다	있/VX+다/EC

이는	이/NP+는/JX
현행	현행/NNG
등록등급제에	등록등급/NNG+제/XSN+에/JKB
의한	의하/VV+ㄴ/ETM
획일적인	획일적/NNG+이/VCP+ㄴ/ETM
서비스	서비스/NNG
지원의	지원/NNG+의/JKG
문제를	문제/NNG+를/JKO
개선하고,	개선하/VV+고/EC+,/SP
욕구와	욕구/NNG+와/JC
필요에	필요/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
서비스	서비스/NNG
지원이	지원/NNG+이/JKS
이뤄지도록	이루어지/VV+도록/EC
하기	하/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

토론자들은	토론자/NNG+들/XSN+은/JX
이중	이중/NNG
등록등급제의	등록등급/NNG+제/XSN+의/JKG
유지를	유지/NNG+를/JKO
제고하고	제고하/VV+고/EC
‘폐지’가	‘/SW+폐지’/NNG+가/JKS
전제되어야	전제되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
입을	입/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
장애등급만	장애등급/NNG+만/JX
같으면	같/VA+으면/EC
같은	같/VA+은/ETM
서비스의	서비스/NNG+의/JKG
욕구를	욕구/NNG+를/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
간주하고	간주하/VV+고/EC
있는	있/VX+는/ETM
현재	현재/MAG
장애인복지	장애인복지/NNG
서비스	서비스/NNG
전달체계에	전달체계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판의	비판/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
나오고	나오/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
인권위는	인권위/NNG+는/JX
장애인	장애인/NNG
중심의	중심/NNG+의/JKG
서비스	서비스/NNG
전달체계	전달체계/NNG
구축을	구축/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
장애인의	장애인/NNG+의/JKG
