명심원·예원	명심원/NNG+·/SP+예원/NNG
솜방망이	솜방망이/NNG
처분	처분/NNG
전철	전철/NNG
우려	우려/NNG
제기	제기/NNG

인천장애인차별철폐연대(이하	인천/NNP+장애인차별철폐연대/NNG+(/SS+이하/NNG
인천장차연)는	인천장차연/NNP+)/SS+는/JX
4일	4/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
국가인권위원회	국가인권위원회/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
인천	인천/NNP
명심원과	명심원/NNG+과/JC
예원의	예원/NNG+의/JKG
장애인	장애인/NNG
인권유린	인권유린/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인권위의	인권위/NNG+의/JKG
조속한	조속하/VA+ㄴ/ETM
조사결과	조사결과/NNG
발표를	발표/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이는	이/NP+는/JX
인권위가	인권위/NNG+가/JKS
지난해부터	지난해/NNG+부터/JX
올해	올해/NNG
초까지	초/NNB+까지/JX
각각	각각/MAG
시설에	시설/NNG+에/JKB
대해	대하/VV+여/EC
두	두/MM
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
장애인	장애인/NNG
인권실태를	인권실태/NNG+를/JKO
조사하고도	조사하/VV+고도/EC
현재까지	현재/NNG+까지/JX
그	그/MM
내용을	내용/NNG+을/JKO
공개적으로	공개적/NNG+으로/JKB
발표하지	발표하/VV+지/EC
않고	않/VX+고/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

더욱이	더욱이/MAG
인천장차연은	인천장차연/NNP+은/JX
인권위의	인권위/NNG+의/JKG
늦장	늦장/NNG
발표와	발표/NNG+와/JKB
관련해	관련하/VV+여/EC
혹여	혹여/MAG
2008년	2008/SN+년/NNB
명심원에	명심원/NNG+에/JKB
각하와	각하/NNG+와/JC
기각결정이	기각결정/NNG+이/JKS
내려진	내려지/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
솜방망이	솜방망이/NNG
처분이	처분/NNG+이/JKS
내려지지는	내려지/VV+지/EC+는/JX
않을까	않/VX+을까/EC
우려하고	우려하/VV+고/EC
있다	있/VX+다/EC

인천장차연	인천장차연/NNP
강재경	강재경/NNP
집행위원장은	집행위원장/NNG+은/JX
“인권위가	“/SN+인권위/NNG+가/JKS
8월	8/SN+월/NNB
중순	중순/NNG
이들	이/NP+들/XSN
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인권침해	인권침해/NNG
조사결과를	조사결과/NNG+를/JKO
발표할	발표하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌지만	알려지/VV+었/EP+지만/EC
8월	8/SN+월/NNB
말로	말/NNB+로/JKB
연기됐다가	연기되/VV+었/EP+다가/EC
다시	다시/MAG
9월	9/SN+월/NNB
초·중순	초/NNB+·/SP+중순/NNG
발표한다는	발표하/VV+ㄴ다는/ETM
입장이어서	입장/NNG+이/VCP+어서/EC
결과에	결과/NNG+에/JKB
의문이	의문/NNG+이/JKS
드는	들/VV+는/ETM
상황”이라고	상황/NNG+”/SN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

인권위는	인권위/NNG+는/JX
2008년	2008/SN+년/NNB
명심원	명심원/NNG
이사장이	이사장/NNG+이/JKS
생활인을	생활인/NNG+을/JKO
가정부로	가정부/NNG+로/JKB
부리며	부리/VV+며/EC
