美	美/SL
장애아	장애아/NNG
‘걸	‘/SL+걷/VV
스카우트’	스카우트/NNG+’/SL
제외	제외/NNG
단체	단체/NNG
피소	피소/NNG

12살	12/SN+살/NNB
메간	메간/NNG
러니언은	러니언/NNP+은/JX
유치원	유치원/NNG
때부터	때/NNG+부터/JX
걸	걷/VV
스카우트	스카우트/NNG
활동을	활동/NNG+을/JKO
해온	하/VV+여/EC+오/VX+ㄴ/ETM
청각장애인이다	청각장애인/NNG+이/VCP+다/EC

그러나	그러나/MAJ
이제	이제/MAG
더	더/MAG
이상	이상/NNG
활동을	활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없게	없/VA+게/EC
되었다	되/VV+었/EP+다/EC

올해	올해/NNG
초,	초/NNB+,/SP
재정상의	재정/NNG+상/XSN+의/JKG
이유로	이유/NNG+로/JKB
걸	걷/VV
스카우트에서	스카우트/NNG+에서/JKB
더	더/MAG
이상	이상/NNG
수화통역자를	수화통역자/NNG+를/JKO
쓰지	쓰/VV+지/EC
못하게	못하/VX+게/EC
되었다는	되/VV+었/EP+다는/ETM
발표가	발표/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

장애	장애/NNG
인터넷	인터넷/NNG
잡지인	잡지/NNG+이/VCP+ㄴ/ETM
디스에빌리티	디스에빌리티/NNP
스쿱에서	스쿱/NNG+에서/JKB
사운	사운/VA
헤슬리	헤슬리/NNP
기자는	기자/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
14일	14/SN+일/NNB
기사에서	기사/NNG+에서/JKB
‘걸	‘/SN+걸/XPN
스카우트	스카우트/NNG
장애	장애/NNG
아동을	아동/NNG+을/JKO
장애라는	장애/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
제외	제외/NNG
시켰다’는	시키/VV+었/EP+다/EF+’/SL+는/JX
제목을	제목/NNG+을/JKO
통해	통하/VV+여/EC
메간의	메간/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
상세하게	상세하/VA+게/EC
다루었다	다루/VV+었/EP+다/EF

민첩하고	민첩하/VA+고/EC
세밀하게	세밀하/VA+게/EC
행동해야	행동하/VV+여야/EC
하는	하/VX+는/ETM
걸	것/NNB+ㄹ/JKO
스카우트에서	스카우트/NNG+에서/JKB
듣지	듣/VV+지/EC
못하면서	못하/VX+면서/EC
활동하기는	활동하/VV+기/ETN+는/JX
어렵다	어렵/VA+다/EC

수화	수화/NNG
통역자가	통역/NNG+자/XSN+가/JKS
없으면	없/VA+으면/EC
활동할	활동하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
단체의	단체/NNG+의/JKG
특성상	특성/NNG+상/XSN
이제	이제/MAG
메간은	메간/NNG+은/JX
단체를	단체/NNG+를/JKO
떠나게	떠나/VV+게/EC
된	되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

12살	12/SN+살/NNB
메간에게	메간/NNG+에게/JKB
오래	오래/MAG
함께해온	함께하/VV+여/EC+오/VX+ㄴ/ETM
친구들과	친구/NNG+들/XSN+과/JKB
헤어진다는	헤어지/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
더	더/MAG
없이	없이/MAG
슬픈일이다	슬픈일/NNG+이/VCP+다/EC

일리노이에	일리노이/NNP+에/JKB
거주하고	거주하/VV+고/EC
있는	있/VX+는/ETM
그녀의	그녀/NP+의/JKG
