말뿐인	말/NNG+뿐/JX+이/VCP+ㄴ/ETM
서울시	서울시/NNP
‘횡단보도	‘/SN+횡단보/NNG+도/JX
음향신호기’	음향신호기’/NNG
개선	개선/NNG

서울시와	서울시/NNP+와/JC
도로교통공단은	도로교통공단/NNG+은/JX
시각장애인용	시각장애인용/NNG
음향신호기	음향신호기/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+여/EC
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
한국시각장애인연합회,	한국/NNP+시각장애인연합/NNG+회/XSN+,/SP
시민교통안전협회,	시민교통안전협회/NNG+,/SP
음향신호기	음향신호기/NNG
제조사	제조사/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
수차례	수차례/NNG
회의를	회의/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
것은	것/NNB+은/JX
물론	물론/MAG
현장점검도	현장점검/NNG+도/JX
실시했다	실시하/VV+였/EP+다/EC

시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
횡단보도에서	횡단보도/NNG+에서/JKB
안전하게	안전하/VA+게/EC
보행할	보행하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하려는	노력하/VV+려는/ETM
의지여서	의지/NNG+이/VCP+어서/EC
여간	여간/MAG
반가운	반갑/VA+ㄴ/ETM
것이	것/NNB+이/JKC
아니었다	아니/VCN+었/EP+다/EF

7개월이	7/SN+개월/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
시점에서	시점/NNG+에서/JKB
이	이/NP
같은	같/VA+은/ETM
의지가	의지/NNG+가/JKS
현실로	현실/NNG+로/JKB
이어지고	이어지/VV+고/EC
있는	있/VX+는/ETM
지	지/NNB
서울	서울/NNP
지역	지역/NNG
몇	몇/MM
군데의	군데/NNB+의/JKG
시각장애인용	시각장애인용/NNG
음향신호기를	음향신호기/NNG+를/JKO
점검했다	점검하/VV+였/EP+다/EF

광화문사거리	광화문/NNP+사거리/NNG
