“장애인	“/SL+장애인/NNG
시설	시설/NNG
집값	집값/NNG
하락”	하락/NNG+”/SL
아파트	아파트/NNG
공고문	공고문/NNG
논란	논란/NNG

서울지역의	서울/NNP+지역/NNG+의/JKG
한	한/MM
아파트의	아파트/NNG+의/JKG
입주민단체가	입주민단/NNG+체/XSN+가/JKS
아파트	아파트/NNG
내	내/NNB
장애인시설물	장애인시설물/NNG
설치시	설치시/NNG
문제점에	문제점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반대서명을	반대서명/NNG+을/JKO
펼치고	펼치/VV+고/EC
있어	있/VX+어/EC
논란이	논란/NNG+이/JKS
일고있다	일/VV+고/EC+있/VX+다/EC

7일	7/SN+일/NNB
인터넷	인터넷/NNG
커뮤니티	커뮤니티/NNG
게시판에는	게시판/NNG+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
공고된	공고되/VV+ㄴ/ETM
서울의	서울/NNP+의/JKG
한	한/MM
아파트	아파트/NNG
단지내	단지/NNG+내/NNB
엘리베이터	엘리베이터/NNG
안에	안/NNG+에/JKB
붙은	붙/VV+은/ETM
공고문이라는	공고문/NNG+이/VCP+라는/ETM
설명과	설명/NNG+과/JKB
함께	함께/MAG
이를	이/NP+를/JKO
찍은	찍/VV+은/ETM
사진	사진/NNG
한	한/MM
장이	장/NNB+이/JKS
게재됐다	게재되/VV+었/EP+다/EF

공고문에는	공고문/NNG+에/JKB+는/JX
“통·반장은	“/SL+통/NNG+·/SP+반장/NNG+은/JX
아래와	아래/NNG+와/JKB
같이	같이/MAG
문제점이	문제점/NNG+이/JKS
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
주민	주민/NNG
여러분의	여러분/NP+의/JKG
반대	반대/NNG
서명을	서명/NNG+을/JKO
받고자	받/VV+고자/EC
하니	하/VX+니/EC
각	각/MM
세대에	세대/NNG+에/JKB
통·반장	통/NNG+·/SP+반장/NNG
및	및/MAG
경비원	경비원/NNG
방문	방문/NNG
시	시/NNG
서명	서명/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
부탁합니다”라고	부탁하/VV+ㅂ니다/EC+”/SL+라고/JKQ
적혀있으며,	적허/VV+어/EF+있/VX+으며/EC+,/SP
그	그/MM
밑에	밑/NNG+에/JKB
‘장애인	‘/SN+장애인/NNG
시설물	시설물/NNG
설치	설치/NNG
시	시/NNG
문제점’	문제점’/NNG
이라는	이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
네	네/MM
가지	가지/NNB
항목이	항목/NNG+이/JKS
열거했다	열거하/VV+였/EP+다/EC

네	네/MM
가지	가지/NNB
항목에는	항목/NNG+에/JKB+는/JX
당	당/NNG
아파트	아파트/NNG
집값	집값/NNG
하락이	하락/NNG+이/JKS
대두될	대두되/VV+ㄹ/ETM
수	수/NNB
있음,	있/VA+음/ETN+,/SP
현재	현재/MAG
롯데마트	롯데마트/NNP
옆과	옆/NNG+과/JC
뒤편의	뒤편/NNG+의/JKG
차량통행이	차량통행/NNG+이/JKS
복잡해	복잡하/VA+여/EC
항상	항상/MAG
사고의	사고/NNG+의/JKG
위험이	위험/NNG+이/JKS
도사리고	도사리/VV+고/EC
있는	있/VX+는/ETM
상태임,	상태/NNG+이/VCP+ㅁ/ETN+,/SP
장애인	장애인/NNG
출입이	출입/NNG+이/JKS
파다해	파다하/VA+여/EC
사고의	사고/NNG+의/JKG
위험이	위험/NNG+이/JKS
현저하게	현저하/VA+게/EC
증가될	증가되/VV+ㄹ/ETM
수	수/NNB
있음,	있/VA+음/ETN+,/SP
구청	구청/NNG
앞에서	앞/NNG+에서/JKB
집회	집회/NNG
시위하는	시위하/VV+는/ETM
장애인	장애인/NNG
단체들을	단체/NNG+들/XSN+을/JKO
보면서	보/VV+면서/EC
우리는	우리/NP+는/JX
절대로	절대로/MAG
그런	그런/MM
시설이	시설/NNG+이/JKS
보통사람들이	보통사람/NNG+들/XSN+이/JKS
사는	살/VV+는/ETM
이곳에	이곳/NP+에/JKB
들어	들/VV+어/EC
와서는	오/VV+아서/EC+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
생각한다	생각하/VV+ㄴ다/ETM
등으로	등/NNB+으로/JKB
장애인을	장애인/NNG+을/JKO
노골적으로	노골적/NNG+으로/JKB
차별하는	차별하/VV+는/ETM
내용으로	내용/NNG+으로/JKB
이뤄져	이루어지/VV+어/EC
있다	있/VX+다/EC

이	이/MM
아파트는	아파트/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
입주를	입주/NNG+를/JKO
시작,	시작/NNG+,/SP
모두	모두/MAG
84가구가	84/SN+가구/NNG+가/JKS
거주하는	거주하/VV+는/ETM
고급아파트다	고급아파트/NNG+이/VCP+다/EF

아파트	아파트/NNG
명칭	명칭/NNG
앞에	앞/NNG+에/JKB
‘명품’이라는	‘/SN+명/NNB+품’/NNG+이/VCP+라는/ETM
별칭을	별칭/NNG+을/JKO
적을	적/VV+을/ETM
만큼	만큼/NNB
지역에서	지역/NNG+에서/JKB
상급으로	상급/NNG+으로/JKB
속하고	속하/VV+고/EC
있어,	있/VX+어/EC+,/SP
특히	특히/MAG
이번	이번/NNG
공고문이	공고문/NNG+이/JKS
네티즌들	네티즌/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
지역	지역/NNG
이기주의라는	이기주의/NNG+이/VCP+라는/ETM
큰	크/VA+ㄴ/ETM
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB

이에	이/NP+에/JKB
네티즌들은	네티즌/NNG+들/XSN+은/JX
“저런	“저럽/VA+ㄴ/ETM
생각을	생각/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
입주자대표라는	입주자대표/NNG+이/VCP+라는/ETM
사실이	사실/NNG+이/JKS
더	더/MAG
그	그/MM
아파트의	아파트/NNG+의/JKG
수준을	수준/NNG+을/JKO
떨어뜨리는	떨어뜨리/VV+는/ETM
일	일/NNG
아니냐?”,	아니/VCN+냐/EC+?/SF+”/SL+,/SP
“글	“/SN+글/NNG
쓴	쓰/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
한순간에	한순간/NNG+에/JKB
장애인이	장애인/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도있는	수/NNB+도/JX+있/VA+는/ETM
건데	것/NNB+이/VCP+ㄴ데/EC
진짜	진짜/NNG
자기가	자기/NP+가/JKS
뭐	뭐/NP
대단한	대단하/VA+ㄴ/ETM
존재라고”,	존재/NNG+이/VCP+라고/EC+”/SL+,/SP
“저런	“/SL+저럽/VA+ㄴ/ETM
생각을	생각/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
부모들	부모/NNG+들/XSN
밑에서	밑/NNG+에서/JKB
자란	자라/VV+ㄴ/ETM
아이들은	아이/NNG+들/XSN+은/JX
어떤생각을	어떻/VA+ㄴ/EF+생각/NNG+을/JKO
갖고	갖/VV+고/EC
있을까요”	있/VX+을까/EC+요/JX+”/SL
등이라는	등/NNB+이/VCP+라는/ETM
댓글을	댓글/NNG+을/JKO
달면서	달/VA+면서/EC
빠르게	빠르/VA+게/EC
확산되고	확산되/VV+고/EC
있다	있/VX+다/EC
