시각장애인	시각장애인/NNG
안전	안전/NNG
고려	고려/NNG
없는	없/VA+는/ETM
‘남양주시’	‘/SL+남양/NNP+주시’/NNG

경기도	경기도/NNP
남양주시가	남양주시/NNP+가/JKS
퇴계원사거리∼용두골재	퇴계원사거리/NNG+∼/SO+용두골재/NNG
앞	앞/NNG
삼거리까지	삼거리/NNG+까지/JX
인도	인도/NNG
공사를	공사/NNG+를/JKO
하면서	하/VV+면서/EC
시각장애인이	시각장애인/NNG+이/JKS
안전을	안전/NNG+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
설치,	설치/NNG+,/SP
개선이	개선/NNG+이/JKS
요구된다	요구되/VV+ㄴ다/EC

공사	공사/NNG
구간에는	구간/NNG+에/JKB+는/JX
3∼4곳의	3/SN+∼/SO+4/SN+곳/NNG+의/JKG
횡단보도가	횡단보도/NNG+가/JKS
있는	있/VA+는/ETM
인도에	인도/NNP+에/JKB
차량진입방지를	차량진입방지/NNG+를/JKO
위해	위하/VV+여/EC
설치된	설치되/VV+ㄴ/ETM
볼라드는	볼라들/VV+는/ETM
30cm	30/SN+cm/SL
높이의	높이/NNG+의/JKG
재질도	재질/NNG+도/JX
딱딱한	딱딱하/VA+ㄴ/ETM
화강암으로	화강암/NNG+으로/JKB
규격	규격/NNG
외제품이다	외제품/NNG+이/VCP+다/EC

왜	왜/MAG
문제가	문제/NNG+가/JKC
되냐면	되/VV+냐면/EC
높이가	높이/NNG+가/JKS
낮아	낮/VA+아/EC
시각장애인이	시각장애인/NNG+이/JKS
걸려	걸리/VV+어/EC
넘어질	넘어지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
부딪쳤을	부딪치/VV+었/EP+을/ETM
때	때/NNG
충격을	충격/NNG+을/JKO
완화시켜	완화/NNG+시키/XSV+어/EC
주지	주/VX+지/EC
않아	않/VX+아/EC
상처를	상처/NNG+를/JKO
입을	입/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의증진법’	이동편의증진법/NNG+’/SN
시행규칙에	시행규칙/NNG+에/JKB
따르면	따르/VV+면/EC
자동차	자동차/NNG
진입	진입/NNG
억제용	억제/NNG+용/XSN
