안양시·만안경찰서,	안양시/NNP+·/SP+만안경찰서/NNG+,/SP
육교철거	육교철거/NNG
놓고	놓/VV+고/EC
갈등	갈등/NNG

경기도	경기도/NNP
안양시와	안양시/NNP+와/JC
안양만안경찰서가	안양만/NNP+안경찰서/NNG+가/JKS
보도육교	보도육교/NNG
철거를	철거/NNG+를/JKO
놓고	놓/VV+고/EC
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있다	있/VX+다/EC

경기도	경기도/NNP
안양시는	안양시/NNP+는/JX
교통약자	교통약자/NNG
및	및/MAG
주민들을	주민/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
안양로에	안양로/NNP+에/JKB
있는	있/VA+는/ETM
육교	육교/NNG
3곳을	3/SN+곳/NNG+을/JKO
철거,	철거/NNG+,/SP
그	그/MM
자리에	자리/NNG+에/JKB
횡단보도	횡단보도/NNG
설치를	설치/NNG+를/JKO
추진키로	추진하/VV+기/ETN+로/JKB
하고	하/VV+고/EC
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
육교	육교/NNG
철거	철거/NNG
타당성조사를	타당성조사/NNG+를/JKO
추진했다	추진하/VV+였/EP+다/EF

철거	철거/NNG
대상은	대상/NNG+은/JX
명학역	명학역/NNG
인근의	인근/NNG+의/JKG
명학공원	명학공원/NNG
앞	앞/NNG
육교(1995년	육교/NNG+(/SS+1995/SN+년/NNB
준공),	준공/NNP+)/SS+,/SP
안양3동	안양/NNP+3/SN+동/NNG
국민은행	국민은행/NNP
앞	앞/NNG
육교(1994년	육교/NNG+(/SS+1994/SN+년/NNB
준공),	준공/NNG+)/SS+,/SP
안양6동	안양/NNP+6/SN+동/NNG
수의과학검역원	수의과학검역원/NNG
앞	앞/NNG
육교(1995년	육교/NNG+(/SS+1995/SN+년/NNB
준공)등	준공/NNG+)/SS+등/NNB
이다	이/VCP+다/EC

이후	이후/NNG
지난달	지난달/NNG
조사결과	조사결과/NNG
교통흐름에	교통흐름/NNG+에/JKB
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
않는다는	않/VX+는다는/ETM
교통영향평가가	교통영향평가/NNG+가/JKS
도출됐고,	도출되/VV+었/EP+고/EC+,/SP
지역	지역/NNG
주민들을	주민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
설문조사에서	설문조사/NNG+에서/JKB
80%가	80/SN+%/SW+가/JKS
찬성하는	찬성하/VV+는/ETM
입장을	입장/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
조사결과에	조사결과/NNG+에/JKB
따라	따르/VV+아/EC
현재	현재/MAG
안양시는	안양시/NNP+는/JX
당초	당초/NNG
계획에	계획/NNG+에/JKB
함께	함께/MAG
잡혀있던	잡히/VV+어/EC+있/VX+던/ETM
인동	인동/NNG
평촌지하차도	평촌지하차/NNP+도/JX
위	위/NNG
육교를	육교/NNG+를/JKO
제외한	제외하/VV+ㄴ/ETM
3곳의	3/SN+곳/NNG+의/JKG
육교	육교/NNG
철거를	철거/NNG+를/JKO
추진하고	추진하/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
관할인	관할/NNG+이/VCP+ㄴ/ETM
만안경찰서는	만안경찰서/NNG+는/JX
철거	철거/NNG
시	시/NNB
발생할	발생하/VV+ㄹ/ETM
안전사고를	안전사고/NNG+를/JKO
우려해	우려하/VV+여/EC
반대	반대/NNG
입장을	입장/NNG+을/JKO
보이고	보이/VV+고/EC
있다	있/VX+다/EC

만안경찰서	만안경찰/NNG+서/JKB
관계자는	관계자/NNG+는/JX
“이들	“/SN+이/NNB+들/XSN
육교	육교/NNG
앞은	앞/NNG+은/JX
교통사고가	교통사고/NNG+가/JKS
빈번한	빈번하/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
현재	현재/MAG
가드레일이	가드레일/NNG+이/JKS
일부	일부/NNG
