선관위	선관위/NNG
“장애인	“/SN+장애인/NNG
대리투표	대리투표/NNG
의혹	의혹/NNG
수사	수사/NNG
의뢰”	의뢰/NNG+”/SN

중앙선거관리위원회(이하	중앙선거관리위원회/NNG+(/SS+이하/NNG
선관위)는	선관위/NNG+)/SS+는/JX
진선미	진선미/NNP
의원이	의원/NNG+이/JKS
제기한	제기하/VV+ㄴ/ETM
장애인시설	장애인시설/NNG
내	내/NNB
투표	투표/NNG
강압	강압/NNG
및	및/MAG
대리투표	대리투표/NNG
의혹과	의혹/NNG+과/JKB
관련,	관련/NNG+,/SP
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
검찰에	검찰/NNG+에/JKB
수사를	수사/NNG+를/JKO
의뢰했다고	의뢰하/VV+였/EP+다고/EC
9일	9/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

선관위는	선관위/NNG+는/JX
“진	“/SN+진/NNG
의원이	의원/NNG+이/JKS
제기한	제기하/VV+ㄴ/ETM
장애인	장애인/NNG
시설	시설/NNG
내	내/NNB
대리투표	대리투표/NNG
등	등/NNB
부정행위에	부정행위/NNG+에/JKB
대해서	대하/VV+여서/EC
문제	문제/NNG
제기	제기/NNG
이후	이후/NNG
의원실에서	의원실/NNG+에서/JKB
자료를	자료/NNG+를/JKO
받아	받/VV+아/EC
즉시	즉시/NNG
사실관계를	사실관계/NNG+를/JKO
확인했으나,	확인하/VV+었/EP+으나/EC+,/SP
시설관계자	시설관계자/NNG
등의	등/NNB+의/JKG
진술내용이	진술내용/NNG+이/JKS
녹취록	녹취/NNG+록/XSN
내용과	내용/NNG+과/JKB
부합하지	부합하/VV+지/EC
않았다”며	않/VX+았/EP+다/EC+”/VX+며/EC
“신속하게	“/SN+신속하/VA+게/EC
진실을	진실/NNG+을/JKO
규명할	규명하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있어	있/VA+어/EC
검찰에	검찰/NNG+에/JKB
수사의뢰했다”고	수사/NNG+의뢰하/VV+였/EP+다/EC+”/SN+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
선관위는	선관위/NNG+는/JX
“앞으로도	“/SN+앞/NNG+으로/JKB+도/JX
부재자	부재자/NNG
투표	투표/NNG
관련	관련/NNG
허위신고나	허위신고/NNG+나/JC
대리	대리/NNG
투표	투표/NNG
등	등/NNB
불법행위에	불법행위/NNG+에/JKB
대하여	대하/VV+여/EC
엄중히	엄중히/MAG
조치할	조치하/VV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
특히	특히/MAG
장애인시설내에서	장애인시설/NNG+내/NNB+에서/JKB
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
허위신고·투표간섭	허위신고/NNG+·/SP+투표간섭/NNG
등	등/NNB
불법행위에	불법행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예방·감시활동	예방/NNG+·/SP+감시활동/NNG
및	및/MAG
단속을	단속/NNG+을/JKO
강화해	강화하/VV+여/EC
관련	관련/NNG
불법행위가	불법행위/NNG+가/JKS
근절되도록	근절되/VV+도록/EC
할	하/VX+ㄹ/ETM
방침”이라고	방침”/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
민주통합당	민주통합당/NNP
진선미	진선미/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
국감자료를	국감자료/NNG+를/JKO
통해	통하/VV+여/EC
4	4/SN

11총선	11/SN+총선/NNG
당시	당시/NNG
서울	서울/NNP
소재	소재/NNG
Y장애인거주시설에서	Y/SL+장애인거주시설/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
투표강압,	투표강압/NNG+,/SP
대리투표	대리투표/NNG
의혹을	의혹/NNG+을/JKO
제기하며,	제기하/VV+며/EC+,/SP
해당	해당/NNG
시설	시설/NNG
및	및/MAG
중앙선거관리위원회를	중앙선거관리위원회/NNG+를/JKO
검찰에	검찰/NNG+에/JKB
고발키로	고발하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC
