장애여성	장애여성/NNG
‘누드’,	‘누드/NNP+’/SL+,/SP
그리고	그리고/MAJ
‘섹스볼란티어’	‘/SL+섹스볼란티어/NNG+’/SL

장애인	장애인/NNG
대표언론	대표언론/NNG
에이블뉴스가	에이블뉴스/NNG+가/JKS
10살이	10/SN+살/NNB+이/JKC
됐다	되/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
12월	12/SN+월/NNB
창간된	창간되/VV+ㄴ/ETM
에이블뉴스는	에이블뉴스/NNP+는/JX
발	발/NNG
빠르고,	빠르/VA+고/EC+,/SP
심층적인	심층/NNG+적/XSN+이/VCP+ㄴ/ETM
보도로	보도/NNG+로/JKB
480만	480/SN+만/NR
장애인들의	장애인/NNG+들/XSN+의/JKG
든든한	든든하/VA+ㄴ/ETM
언론으로	언론/NNG+으로/JKB
자리	자리/NNG
잡았다	잡/VV+았/EP+다/EC

에이블뉴스가	에이블뉴스/NNP+가/JKS
장애인과	장애인/NNG+과/JKB
마주한지	마주하/VV+ㄴ/ETM+지/NNB
10년,	10/SN+년/NNB+,/SP
그동안	그동안/NNG
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
장애인	장애인/NNG
성도우미를	성도우미/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
영화	영화/NNG
섹스볼란티어,	섹스볼란티어/NNG+,/SP
장애인	장애인/NNG
누드로	누드/NP+로/JKB
오랫동안	오랫동안/NNG
무성(無性)으로	무성/NNG+(/SS+無性/SL+)/SS+으로/JKB
치부됐던	치부되/VV+었/EP+던/ETM
장애인	장애인/NNG
성이	성/NNG+이/JKS
비로소	비로소/MAG
세상으로	세상/NNG+으로/JKB
드러나는	드러나/VV+는/ETM
계기가	계기/NNG+가/JKC
됐다	되/VV+었/EP+다/EC

본지는	본지/NNG+는/JX
매년	매년/MAG
실시한	실시하/VV+ㄴ/ETM
‘올해의	‘/SL+올해/NNG+의/JKG
장애인계	장애인계/NNG
키워드’	키워드/VV+’/SN
중	중/NNB
사회적	사회적/NNG
파장을	파장/NNG+을/JKO
일으켰던	일으키/VV+었/EP+던/ETM
‘장애인	‘/SL+장애인/NNG
성’에	성’/NNG+에/JKB
대해	대하/VV+여/EC
이야기해본다	이야기하/VV+여/EC+보/VX+ㄴ다/EF

《성매매가	《/SL+성매매/NNG+가/JKS
이뤄지고	이루어지/VV+고/EC
있다는	있/VX+다는/ETM
제보를	제보/NNG+를/JKO
받은	받/VV+은/ETM
경찰이	경찰/NNG+이/JKS
급습한	급습하/VV+ㄴ/ETM
모텔방	모텔방/NNG
현장	현장/NNG

남성	남성/NNG
뇌성마비	뇌성마비/NNG
중증	중증/NNG
장애인과	장애인/NNG+과/JC
여대생,	여대생/NNG+,/SP
천주교	천주교/NNG
신부가	신부/NNG+가/JKS
체포된다	체포되/VV+ㄴ다/EF

일반적인	일반적/NNG+이/VCP+ㄴ/ETM
성매매로	성매매/NNG+로/JKB
보자면	보/VV+자면/EC
장애인은	장애인/NNG+은/JX
손님,	손님/NNG+,/SP
여대생은	여대생/NNG+은/JX
창녀,	창녀/NNG+,/SP
신부는	신부/NNG+는/JX
포주인	포주/NNG+이/VCP+ㄴ/ETM
셈이지만	셈/NNB+이/VCP+지만/EC
이들은	이/NP+들/XSN+은/JX
경찰	경찰/NNG
조사에서	조사/NNG+에서/JKB
성매매가	성매매/NNG+가/JKC
아니라	아니/VCN+라/EC
‘장애인을	‘/SN+장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
성	성/NNP
자원봉사를	자원봉사/NNG+를/JKO
한	하/VV+ㄴ/ETM
것뿐’이라고	것뿐/NNB+’/SL+이/VCP+라고/EC
당당히	당당히/MAG
이야기한다	이야기하/VV+ㄴ다/EC

》2년	》/SL+2/SN+년/NNB
전	전/NNG
