美	美/SL
장애인법	장애인법/NNG
강화…떨고	강화/NNG+…/SE+떨/VV+고/EC
있는	있/VX+는/ETM
주유소들	주유소/NNG+들/XSN

1990년에	1990/SN+년/NNB+에/JKB
제정된	제정되/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
장애인법인	장애인법인/NNG
ADA는	ADA/SL+는/JX
시대에	시대/NNG+에/JKB
따라서,	따르/VV+아서/EC+,/SP
혹은	혹은/MAG
현실에	현실/NNG+에/JKB
맞지	맞/VV+지/EC
않을	않/VX+을/ETM
때	때/NNG
수정이	수정/NNG+이/JKC
된다	되/VV+ㄴ다/EF

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
15일	15/SN+일/NNB
미국의	미국/NNP+의/JKG
주유소에	주유소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장애인법이	장애인법/NNG+이/JKS
대폭	대폭/MAG
강화됐다	강화되/VV+었/EP+다/EF

강화된	강화되/VV+ㄴ/ETM
내용은	내용/NNG+은/JX
우선	우선/MAG
주유기의	주유기/NNG+의/JKG
모든	모든/MM
버튼들이	버튼/NNG+들/XSN+이/JKS
48인치	48/SN+인치/NNG
이하로	이하/NNG+로/JKB
설치되어야	설치되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
규정되어있다	규정되/VV+어/EC+있/VX+다/EC

그	그/MM
전에는	전/NNG+에/JKB+는/JX
54인치였다	54/SN+인치/NNG+이/VCP+었/EP+다/EF

아직	아직/MAG
높이	높이/MAG
설치되어있는	설치되/VV+어/EC+있/VX+는/ETM
버튼이	버튼/NNG+이/JKS
많아	많/VA+아/EC
장애인들은	장애인/NNG+들/XSN+은/JX
주유시	주유시/NNG
적지	적/VA+지/EC
않은	않/VX+은/ETM
어려움을	어려움/NNG+을/JKO
겪는다	겪/VV+는다/EF

우선	우선/MAG
크레딧	크레딧/NNG
카드를	카드/NNG+를/JKO
넣는	넣/VV+는/ETM
구멍을	구멍/NNG+을/JKO
비롯해	비롯하/VV+여/EC
대부분의	대부분/NNG+의/JKG
작동	작동/NNG
기기들이	기기/NNG+들/XSN+이/JKS
휠체어	휠체어/NNG
장애인이	장애인/NNG+이/JKS
사용하기에	사용하/VV+기/ETN+에/JKB
무리가	무리/NNG+가/JKS
따른다	따르/VV+ㄴ다/EF

그리고	그리고/MAJ
수유소의	수유소/NNG+의/JKG
구조상	구조/NNG+상/XSN
주유기를	주유기/NNG+를/JKO
뽑아서	뽑/VV+아서/EC
차에	차/NNG+에/JKB
꼽는	꼽/VV+는/ETM
것도	것/NNB+도/JX
결코	결코/MAG
쉬운	쉽/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아니다	아니/VCN+다/EC

미국	미국/NNP
장애인	장애인/NNG
법	법/NNG
ADA는	ADA/SL+는/JX
하루	하루/NNG
종일	종일/NNG
장애인이	장애인/NNG+이/JKS
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
불편을	불편/NNG+을/JKO
겪지	겪/VV+지/EC
않아야	않/VX+아야/EC
된다고	되/VV+ㄴ다고/EC
명시되어있다	명시되/VV+어/EC+있/VX+다/EC

그러나	그러나/MAJ
주유소는	주유소/NNG+는/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
접근하기	접근하/VV+기/ETN
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
시설	시설/NNG
중에	중/NNB+에/JKB
하나다	하나/NNG+이/VCP+다/EC

대부분	대부분/NNG
주유소의	주유소/NNG+의/JKG
주유기들이	주유기/NNG+들/XSN+이/JKS
이	이/MM
규정대로	규정/NNG+대로/JX
되어있지	되/VV+어/EC+있/VX+지/EC
않아	않/VX+아/EC
앞으로	앞/NNG+으로/JKB
대량	대량/NNG
소송이	소송/NNG+이/JKS
발생할	발생하/VV+ㄹ/ETM
여지를	여지/NNB+를/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
있다	있/VX+다/EC

정부는	정부/NNG+는/JX
대대적으로	대대적/NNG+으로/JKB
홍보를	홍보/NNG+를/JKO
하고	하/VV+고/EC
있으나	있/VX+으나/EC
업주는	업주/NNG+는/JX
난색을	난색/NNG+을/JKO
표명했다	표명하/VV+였/EP+다/EC

고치려면	고치/VV+려면/EC
적어도	적어도/MAG
만	맣/VA+ㄴ/ETM
오천	오천/NR
달러는	달러/NNB+는/JX
들어야	듣/VV+어야/EC
되는	되/VV+는/ETM
데	데/NNB
대형	대형/NNG
주유소가	주유소/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
다음에야	다음/NNG+에/JKB+야/JX
그	그/MM
거금을	거금/NNG+을/JKO
금세	금세/MAG
만들어	만들/VV+어/EC
고치기는	고치/VV+기/ETN+는/JX
현실적으로	현실적/NNG+으로/JKB
힘든	힘들/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

미국	미국/NNP
업주들이	업주/NNG+들/XSN+이/JKS
가장	가장/MAG
무서워하는	무서워하/VV+는/ETM
것	것/NNB
중의	중/NNB+의/JKG
하나가	하나/NNG+가/JKS
공익	공익/NNG
소송이다	소송/NNG+이/VCP+다/EC

화장실에	화장실/NNG+에/JKB
화장지	화장지/NNG
걸이가	걸이/NNG+가/JKS
조금만	조금/NNG+만/JX
높이	높이/MAG
걸려	걸리/VV+어/EC
있어도	있/VX+어도/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
고소해	고소해/NNG
