불황에	불황/NNG+에/JKB
후원	후원/NNG
줄어든	줄어들/VV+ㄴ/ETM
복지시설들	복지시설/NNG+들/XSN
'한숨'	'/SS+한숨/NNG+'/SS

(창원=연합뉴스)	(/SS+창원/NNP+=/SW+연합뉴스/NNP+)/SS
김선경	김선경/NNP
기자	기자/NNG
=	=/SW
최근	최근/NNG
복지시설	복지시설/NNG
운영자들의	운영자/NNG+들/XSN+의/JKG
한숨이	한숨/NNG+이/JKS
깊어지고	깊어지/VV+고/EC
있다	있/VX+다/EC

불황으로	불황/NNG+으로/JKB
후원이	후원/NNG+이/JKS
부쩍	부쩍/MAG
줄었기	줄/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

복지시설은	복지시설/NNG+은/JX
개인이나	개인/NNG+이나/JC
기업에서	기업/NNG+에서/JKB
직접	직접/MAG
후원을	후원/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
하지만	하/VX+지만/EC
경남사회복지공동모금회와	경남/NNP+사회복지공동모금회/NNG+와/JKB
같은	같/VA+은/ETM
모금전문기관	모금전문기관/NNG
등	등/NNB
단체를	단체/NNG+를/JKO
거쳐	거치/VV+어/EC
받는	받/VV+는/ETM
경우도	경우/NNG+도/JX
있다	있/VA+다/EF

그러나	그러나/MAJ
최근에는	최근/NNG+에/JKB+는/JX
공동모금회	공동모금/NNG+회/XSN
등	등/NNB
단체에	단체/NNG+에/JKB
들어오는	들어오/VV+는/ETM
후원금은	후원금/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
복지시설로	복지시설/NNG+로/JKB
직접	직접/MAG
오는	오/VV+는/ETM
개인이나	개인/NNG+이나/JC
기업의	기업/NNG+의/JKG
후원금도	후원금/NNG+도/JX
줄어들고	줄어들/VV+고/EC
있다	있/VX+다/EC

경남사회복지공동모금회에	경남/NNP+사회복지공동모금회/NNG+에/JKB
13일	13/SN+일/NNB
현재까지	현재/NNG+까지/JX
들어온	들어오/VV+ㄴ/ETM
후원금은	후원금/NNG+은/JX
58억	58/SN+억/NR
8천만	8/SN+천만/NR
원으로	원/NNB+으로/JKB
지난해	지난해/NNG
102억	102/SN+억/NR
8천만	8/SN+천만/NR
원의	원/NNB+의/JKG
절반을	절반/NNG+을/JKO
조금	조금/MAG
넘는다	넘/VV+는다/EC

공동모금회	공동모금/NNG+회/XSN
측은	측/NNB+은/JX
연말에	연말/NNG+에/JKB
집중	집중/NNG
모금	모금/NNG
캠페인을	캠페인/NNG+을/JKO
펼쳐	펼치/VV+어/EC
지난해와	지난해/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
후원금을	후원금/NNG+을/JKO
모으겠다는	모으/VV+겠/EP+다는/ETM
목표를	목표/NNG+를/JKO
세웠지만	세우/VV+었/EP+지만/EC
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황이다	상황/NNG+이/VCP+다/EC

실제	실제/NNG
추석	추석/NNG
때	때/NNG
