朴·文·安	朴/SL+·/SP+文/SN+·/SP+安/SN
상대로	상대/NNG+로/JKB
무기한	무기한/NNG
1인	1/SN+인/NNG
시위	시위/NNG
돌입	돌입/NNG

각	각/MM
대선	대선/NNG
후보들의	후보/NNG+들/XSN+의/JKG
공약이	공약/NNG+이/JKS
속속	속속/MAG
발표되고	발표되/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
청각장애인	청각장애인/NNG
단체가	단체/NNG+가/JKS
요구해왔던	요구하/VV+여/EC+오/VX+았/EP+던/ETM
수화언어	수화언어/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
거론이	거론/NNG+이/JKC
되지	되/VV+지/EC
않자	않/VX+자/EC
공약	공약/NNG
수용을	수용/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
1인시위에	1/SN+인시위/NNG+에/JKB
돌입했다	돌입하/VV+였/EP+다/EF

수화언어	수화언어/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
수화공대위)는	수화공대위/NNG+)/SS+는/JX
13일	13/SN+일/NNB
오전	오전/NNG
광화문	광화문/NNP
광장에서	광장/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
박근혜,	박근혜/NNP+,/SP
문재인,	문재인/NNG
안철수	안철수/NNP
등	등/NNB
대선	대선/NNG
후보들에게	후보/NNG+들/XSN+에게/JKB
수화언어의	수화언어/NNG+의/JKG
법적	법적/NNG
지위	지위/NNG
보장을	보장/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
시작한다고	시작하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

앞서	앞서/MAG
수화공대위는	수화공대위/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
출범	출범/NNG
기자회견을	기자회견/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
이후,	이후/NNG+,/SP
지속적으로	지속적/NNG+으로/JKB
정부,	정부/NNG+,/SP
국회,	국회/NNG+,/SP
정치권에	정치권/NNG+에/JKB
농교육	농교육/NNG
개선,	개선/NNG+,/SP
수화언어	수화언어/NNG
법적지위	법적지위/NNG
향상	향상/NNG
등을	등/NNB+을/JKO
요구해왔다	요구하/VV+여/EC+오/VX+았/EP+다/EF

대선	대선/NNG
정국에	정국/NNG+에/JKB
접어들면서부터는	접어들/VV+면서/EC+부터는/JX
대선	대선/NNG
후보	후보/NNG
측과	측/NNB+과/JC
면담,	면담/NNG+,/SP
요구서	요구/NNG+서/JKB
전달	전달/NNG
등을	등/NNB+을/JKO
해왔지만,	하/VV+여/EC+오/VX+았/EP+지만/EC+,/SP
최근	최근/NNG
발표된	발표되/VV+ㄴ/ETM
야당	야당/NNG
후보들	후보/NNG+들/XSN
공약에는	공약/NNG+에/JKB+는/JX
거론	거론/NNG
조차	조차/JX
되고	되/VV+고/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
상황	상황/NNG

장애인정보문화누리	장애인정보문화누리/NNG
김철환	김철환/NNP
활동가는	활동가/NNG+는/JX
“대선	“/SN+대선/NNG
후보들의	후보/NNG+들/XSN+의/JKG
공약이	공약/NNG+이/JKS
발표됐는데,	발표되/VV+었/EP+는데/EC+,/SP
이정희,	이정희/NNP+,/SP
심상정	심상정/NNP
후보를	후보/NNG+를/JKO
제외한	제외하/VV+ㄴ/ETM
안철수,	안철수/NNP+,/SP
박근혜,	박근혜/NNP+,/SP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보	후보/NNG
공약에	공약/NNG+에/JKB
수화권	수화권/NNG
내용이	내용/NNG+이/JKS
담겨있지	담기/VV+어/EC+있/VX+지/EC
않다	않/VX+다/EC

현재	현재/MAG
장애등급제	장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
활동지원제도	활동지원제도/NNG
등	등/NNB
긴박한	긴박하/VA+ㄴ/ETM
사안들에	사안/NNG+들/XSN+에/JKB
뒤쳐졌기	뒤치/VV+어/EC+지/VX+었/EP+기/ETN
때문”이라며	때문/NNB+”/SL+이/VCP+라며/EC
“공약을	“/SL+공약/NNG+을/JKO
수용할	수용하/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
세	세/MM
후보를	후보/NNG+를/JKO
상대로	상대/NNG+로/JKB
1인시위를	1/SN+인시위/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

현장에서	현장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
양재순	양재순/NNP
수화통역사(45)는	수화통역사/NNG+(/SS+45/SN+)/SS+는/JX
“남편이	“남/SN+편/NNB+이/JKS
청각장애인이다	청각장애인/NNG+이/VCP+다/EC

기본적인	기본적/NNG+이/VCP+ㄴ/ETM
커뮤니케이션이	커뮤니케이션/NNG+이/JKS
안되기	안되/VV+기/ETN
때문에	때문/NNB+에/JKB
긴급하게	긴급하/VA+게/EC
응급실을	응급실/NNG+을/JKO
갈	가/VV+ㄹ/ETM
때도	때/NNG+도/JX
일일이	일일이/MAG
통역센터를	통역센터/NNG+를/JKO
불러야	부르/VV+어야/EC
하는	하/VX+는/ETM
번거로움이	번거롭/VA+ㅁ/ETN+이/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“대선	“/SL+대선/NNG
후보들이	후보/NNG+들/XSN+이/JKS
아무것도	아무것/NNG+도/JX
안	안/MAG
들리는	들리/VV+는/ETM
영화를	영화/NNG+를/JKO
보고,	보/VV+고/EC+,/SP
하루	하루/NNG
정도	정도/NNG
묵언수행을	묵언수행/NNG+을/JKO
함으로써	하/VV+ㅁ/ETN+으로써/JKB
청각장애인들의	청각장애인/NNG+들/XSN+의/JKG
고충을	고충/NNG+을/JKO
이해할	이해하/VV+ㄹ/ETM
수	수/NNB
있었음	있/VA+었/EP+음/ETN
좋겠다”고	좋/VA+겠/EP+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

특히	특히/MAG
이날	이날/NNG
기자회견에는	기자회견/NNG+에/JKB+는/JX
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보	후보/NNG
시민캠프	시민캠프/NNG
김효진	김효진/NNP
공동대표도	공동대표/NNG+도/JX
함께	함께/MAG
참여해	참여하/VV+여/EC
수화언어가	수화언어/NNG+가/JKS
공약으로	공약/NNG+으로/JKB
수용되길	수용되/VV+기/ETN+ㄹ/JKO
위한	위하/VV+ㄴ/ETM
힘을	힘/NNG+을/JKO
보탰다	보태/VV+었/EP+다/EC

김	김/NNP
대표는	대표/NNG+는/JX
“장애청년	“/SN+장애청년/NNG
정치참여	정치참여/NNG
네트워크를	네트워크/NNG+를/JKO
발족해	발족하/VV+여/EC
이슈를	이슈/NNG+를/JKO
공약으로	공약/NNG+으로/JKB
끌어내기	끌어내/VV+기/ETN
위해	위하/VV+여/EC
힘을	힘/NNG+을/JKO
모으고	모으/VV+고/EC
있는	있/VX+는/ETM
중이다	중/NNB+이/VCP+다/EC

최근	최근/NNG
문재인	문재인/NNG
후보와	후보/NNG+와/JKB
가깝게	가깝/VA+게/EC
이야기	이야기/NNG
나눌	나누/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
있어서	있/VA+어서/EC
등급제	등급/NNG+제/XSN
폐지	폐지/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
수화언어권	수화언어/NNG+권/XSN
확보에	확보/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
강력히	강력히/MAG
말씀을	말씀/NNG+을/JKO
드렸다”며	드리/VV+었/EP+다/EC+”/VV+며/EC
“굉장히	“/SL+굉장히/MAG
경청하시고	경청하/VV+시/EP+고/EC
메모도	메모/NNG+도/JX
열심히	열심히/MAG
하셨다	하/VV+시었/EP+다/EC

장애인들이	장애인/NNG+들/XSN+이/JKS
힘을	힘/NNG+을/JKO
보탠다면	보태/VV+ㄴ다면/EC
안	안/MAG
될	되/VV+ㄹ/ETM
