정보화누리,	정보화누리/NNG+,/SP
"일반저작물	"/SS+일반저작물/NNG
장애인	장애인/NNG
접근성	접근성/NNG
보장해야"	보장하/VV+여야/EF+"/SS

장애인들이	장애인/NNG+들/XSN+이/JKS
일반	일반/NNG
저작물에	저작물/NNG+에/JKB
자유롭게	자유롭/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
보장되야	보장되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
최근	최근/NNG
성명서를	성명서/NNG+를/JKO
내고	내/VV+고/EC
“김윤덕	“/SL+김윤덕/NNP
의원의	의원/NNG+의/JKG
저작권법	저작권법/NNG
개정안을	개정안/NNG+을/JKO
환영하며,	환영하/VV+며/EC+,/SP
일반	일반/NNG
저작물도	저작물/NNG+도/JX
장애인	장애인/NNG
접근성이	접근성/NNG+이/JKS
보장되도록	보장되/VV+도록/EC
하여야	하/VX+여야/EC
한다”고	하/VX+ㄴ다”고/EC
촉구했다	촉구하/VV+였/EP+다/EC

앞서	앞서/MAG
김윤덕	김윤덕/NNP
의원은	의원/NNG+은/JX
국가나	국가/NNG+나/JC
지방자치단체에서	지방자치단체/NNG+에서/JKB
업무상	업무/NNG+상/XSN
작성한	작성하/VV+ㄴ/ETM
공공저작물을	공공저작물/NNG+을/JKO
일반	일반/NNG
국민들이	국민/NNG+들/XSN+이/JKS
자유롭게	자유롭/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
저작권법	저작권법/NNG
개정안을	개정안/NNG+을/JKO
발의했다	발의하/VV+였/EP+다/EF

현재	현재/MAG
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
의하면	의하/VV+면/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
저작물	저작물/NNG
접근을	접근/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
공공기관	공공기관/NNG
등에	등/NNB+에/JKB
사전에	사전/NNG+에/JKB
요청을	요청/NNG+을/JKO
하여야	하/VV+여야/EC
하는	하/VX+는/ETM
등	등/NNB
접근	접근/NNG
행위를	행위/NNG+를/JKO
하겠다고	하/VV+겠/EP+다고/EC
알려야	알리/VV+어야/EC
하는	하/VX+는/ETM
불편이	불편/NNG+이/JKS
있다	있/VA+다/EC

이보다	이/NP+보다/JKB
더	더/MAG
