"지적장애인	"/SS+지적장애인/NNG
대상,	대상/NNG+,/SP
선원인권유린	선원인권유린/NNG
단죄해야"	단죄하/VA+여야/EF+"/SS

#	#/SW
지난해	지난해/NNG
5월,	5/SN+월/NNB+,/SP
지적장애(2급)인	지적장애/NNG+(/SS+2/SN+급/NNG+)/SS+이/VCP+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
자신이	자신/NNG+이/JKS
운영하는	운영하/VV+는/ETM
주점으로	주점/NNG+으로/JKB
유인해	유인하/VV+여/EC
3일	3/SN+일/NNB
동안	동안/NNG
외상술을	외상술/NNG+을/JKO
제공하고,	제공하/VV+고/EC+,/SP
성매매를	성매매/NNG+를/JKO
알선해	알선하/VV+여/EC
450만원의	450/SN+만/NR+원/NNB+의/JKG
빚을	빚/NNG+을/JKO
지게	지/VV+게/EC
한	하/VX+ㄴ/EF
뒤	뒤/NNG
알고	알/VV+고/EC
지내던	지내/VV+던/ETM
선주에게	선주/NNG+에게/JKB
가불금	가불금/NNG
명목으로	명목/NNG+으로/JKB
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
팔아넘긴	팔아넘기/VV+ㄴ/ETM
무허가	무허가/NNG
직업소개업자가	직업소개업자/NNG+가/JKS
구속됐다	구속되/VV+었/EP+다/EC

이	이/MM
업자는	업자/NNG+는/JX
같은	같/VA+은/ETM
수법으로	수법/NNG+으로/JKB
29명에게	29/SN+명/NNB+에게/JKB
총	총/MM
3억	3/SN+억/NR
6,000만원을	6,000/SN+만/NR+원/NNB+을/JKO
덮어씌웠다	덮어씌우/VV+었/EP+다/EF

#	#/SW
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
10월	10/SN+월/NNB
지적장애(3급)인을	지적장애/NNG+(/SS+3/SN+급/NNG+)/SS+인/NNG+을/JKO
‘숙식제공에	‘/SL+숙식제공/NNG+에/JKB
월	월/NNG
140만원	140/SN+만/NR+원/NNB
보장해	보장하/VV+여/EC
준다’며	주/VX+ㄴ다/EC+’/VV+며/EC
유인,	유인/NNG+,/SP
군산시	군산시/NNP
소재	소재/NNG
양식장	양식장/NNG
업주에게	업주/NNG+에게/JKB
150만원을	150/SN+만/NR+원/NNB+을/JKO
받고	받/VV+고/EC
인계했다	인계하/VV+였/EP+다/EC

지적장애인을	지적장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
선원인권유린범죄에	선원인권유린범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력하/VA+ㄴ/ETM
처벌이	처벌/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

15일	15/SN+일/NNB
해양경찰청이	해양경찰청/NNG+이/JKS
국회	국회/NNG
국토해양위원회	국토해양위원회/NNG
소속	소속/NNG
조현룡	조현룡/NNP
의원(새누리당)에게	의원/NNG+(/SS+새누리당/NNP+)/SS+에게/JKB
제출한	제출하/VV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/NNG
4년간	4/SN+년/NNB+간/XSN
총	총/MM
1649건의	1649/SN+건/NNB+의/JKG
선원인권유린범죄가	선원인권유린범죄/NNG+가/JKS
발생했다	발생하/VV+였/EP+다/EC

최근	최근/NNG
4년간	4/SN+년/NNB+간/XSN
