故	故/SL
강영우	강영우/NNP
박사	박사/NNG
부인	부인/NNG
"시각장애인	"/SS+시각장애인/NNG
위한	위하/VV+ㄴ/ETM
삶	삶/NNG
살	살/VV+ㄹ/ETM
것"	것/NNB+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이준삼	이준삼/NNP
기자	기자/NNG
=	=/SW
한국계로는	한국/NNP+계/XSN+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
미국	미국/NNP
백악관	백악관/NNP
차관보에	차관보/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
고(故)	고/NNG+(/SS+故/SL+)/SS
강영우	강영우/NNP
박사와	박사/NNG+와/JC
부인	부인/NNG
석은옥	석은옥/NNP
씨가	씨/NNB+가/JKS
12일	12/SN+일/NNB
대한적십자사(이하	대한적십자사/NNP+(/SS+이하/NNG
한적)로부터	한적/NNG+)/SS+로부터/JKB
장애인	장애인/NNG
봉사활동	봉사활동/NNG
공로를	공로/NNG+를/JKO
인정받아	인정받/VV+아/EC
`적십자	`/SW+적십자/NNG
인도장'을	인도장/NNG+'/SS+을/JKO
받았다	받/VV+았/EP+다/EC

유중근	유중근/NNP
한적	한적/NNP
총재는	총재/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
서울	서울/NNP
중구	중구/NNG
한적	한적/NNP
본사에서	본사/NNG+에서/JKB
수여식을	수여식/NNG+을/JKO
열고	열/VV+고/EC
"장애인의	"/SS+장애인/NNG+의/JKG
권익향상	권익향상/NNG
등에	등/NNB+에/JKB
크게	크/VA+게/EC
기여했다"며	기여하/VV+였/EP+다/EF+"/SS+며/EC
석	석/MM
씨에게	씨/NNB+에게/JKB
직접	직접/MAG
`적십자	`/SW+적십자/NNG
인도장'	인도장/NNG+'/SS
금장을	금장/NNG+을/JKO
전달했다	전달하/VV+였/EP+다/EC

석	석/NNP
씨는	씨/NNB+는/JX
수상소감에서	수상소감/NNG+에서/JKB
"저에게는	"/SS+저/NP+에게/JKB+는/JX
시각장애인에	시각장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특별한	특별하/VA+ㄴ/ETM
애정이	애정/NNG+이/JKS
있다	있/VA+다/EC

한국	한국/NNP
시각장애인들을	시각장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
강영우	강영우/NNP
장학재단을	장학재단/NNG+을/JKO
만들었다"며	만들/VV+었/EP+다/EF+"/SS+며/EC
"장애인,	"/SS+장애인/NNG+,/SP
비장애인이	비장애인/NNG+이/JKS
더불어	더불/VV+어/EC
사는	살/VV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
세상을	세상/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
남은	남/VV+은/ETM
삶을	삶/NNG+을/JKO
사는	살/VV+는/ETM
것이	것/NNB+이/JKS
보람	보람/NNG
있고	있/VA+고/EC
감사한	감사하/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각한다"고	생각하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

시각장애를	시각장애/NNG+를/JKO
딛고	딛/VV+고/EC
한국인	한국인/NNG
최초로	최초/NNG+로/JKB
미국	미국/NNP
백악관	백악관/NNP
차관보	차관보/NNG
직위에	직위/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
인물로	인물/NNG+로/JKB
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
강	강/NNP
박사는	박사/NNG+는/JX
유엔	유엔/NNP
세계	세계/NNG
장애위원회	장애위원회/NNG
부의장,	부의장/NNG+,/SP
루스벨트	루스벨트/NNP
재단	재단/NNG
고문	고문/NNG
등을	등/NNB+을/JKO
지내며	지내/VV+며/EC
장애인	장애인/NNG
권익증진을	권익증진/NNG+을/JKO
위해	위하/VV+여/EC
활동해왔다	활동하/VV+여/EC+오/VX+았/EP+다/EF

올	올/NNG
2월	2/SN+월/NNB
68세로	68/SN+세/NNB+로/JKB
별세했다	별세하/VV+였/EP+다/EF

석	석/NNP
씨	씨/NNB
역시	역시/MAG
한적	한적/NNP
청년봉사회	청년봉사회/NNG
부회장	부회장/NNG
등	등/NNB
적십자	적십자/NNG
봉사원	봉사원/NNG
출신으로	출신/NNG+으로/JKB
미국	미국/NNP
인디애나주에서	인디애나주/NNP+에서/JKB
시각장애인	시각장애인/NNG
교사로	교사/NNG+로/JKB
28년간	28/SN+년/NNB+간/XSN
일하는	일하/VV+는/ETM
등	등/NNB
각종	각종/NNG
봉사활동을	봉사활동/NNG+을/JKO
실천해왔다	실천하/VV+여/EC+오/VX+았/EP+다/EF

jslee@yna	jslee/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
