서울시,	서울시/NNP+,/SP
‘마을공동체’로	‘/SL+마을공동체/NNG+’/SL+로/JKB
장애인	장애인/NNG
자립모델	자립모델/NNG
제시	제시/NNG

#	#/SW
난	나/VV+ㄴ/ETM
바리스타,	바리스타/NNG+,/SP
커피를	커피/NNG+를/JKO
배워보고	배우/VV+어/EC+보/VX+고/EC
바리스타가	바리스타/NNG+가/JKS
재미있고	재미있/VA+고/EC
실습도	실습/NNG+도/JX
해보니까	하/VV+여/EC+보/VX+니까/EC
너무	너무/MAG
좋았어요	좋/VA+았/EP+어요/EC

바리스타	바리스타/NNG
하면서	하/VV+면서/EC
커피도	커피/NNG+도/JX
내려보고	내리/VV+어/EC+보/VV+고/EC
커피도	커피/NNG+도/JX
마셔보고	마시/VV+어/EC+보/VX+고/EC
카페모카,	카페모카/NNG+,/SP
캬라멜마끼아또,	캬/SL+라멜마/NNG+끼/VV+아/EC+또/MAG+,/SP
녹차라떼,	녹차라떼/NNP+,/SP
아메리카노,	아메리카노/NNP+,/SP
카푸치노,	카푸치노/NNG+,/SP
초코라떼	초코라떼/NNG
등을	등/NNB+을/JKO
배웠어요	배우/VV+었/EP+어요/EF

바리스타	바리스타/NNG
정말	정말/MAG
재미있어요	재미있/VA+어요/EC

그래서	그래서/MAJ
열심히	열심히/MAG
일하고	일하/VV+고/EC
돈도	돈/NNG+도/JX
많이	많이/MAG
벌어서	벌/VV+어서/EC
가족들과	가족/NNG+들/XSN+과/JKB
친구들과	친구/NNG+들/XSN+과/JKB
모두	모두/MAG
행복하게	행복하/VA+게/EC
살고	살/VV+고/EC
싶어요(바리스타	싶/VX+어요/EF+(/SS+바리스타/NNG
교육참가자	교육참가자/NNG
한모씨)서울시는	한/NNP+모/NP+씨/NNB+)/SS+서울시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5월부터	5/SN+월/NNB+부터/JX
참가를	참가/NNG+를/JKO
희망해	희망하/VV+여/EC
‘장애인	‘/SN+장애인/NNG
마을공동체	마을공동체/NNG
시범사업’을	시범사업’/NNG+을/JKO
실시중인	실시/NNG+중/NNB+이/VCP+ㄴ/ETM
광진·마포·노원·금천	광진/NNP+·/SP+마포/NNP+·/SP+노원/NNP+·/SP+금천/NNP
4개	4/SN+개/NNB
자치구에서	자치구/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
결실을	결실/NNG+을/JKO
거두고	거두/VV+고/EC
있다고	있/VX+다고/EC
29일	29/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

이들	이/NP+들/XSN
자치구에서	자치구/NNG+에서/JKB
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
사업은	사업/NNG+은/JX
