균도	균도/NNP
부자,	부자/NNG+,/SP
800km	800/SN+km/SL
행군	행군/NNG
스타트	스타트/NNG

부산장애인부모회	부산/NNP+장애인부모회/NNG
이진섭	이진섭/NNP
부회장과	부회장/NNG+과/JC
아들	아들/NNG
이균도(자폐성장애	이균도/NNP+(/SS+자폐성장애/NNG
1급)	1/SN+급/NNG+)/SS
군이	군/NNG+이/JKS
5일	5/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
30분	30/SN+분/NNB
기장군청	기장군청/NNG
앞에서	앞/NNG+에서/JKB
‘발달장애인	‘/SN+발달장애인/NNG
균도와	균도/NNG+와/JC
세상걷기	세상걷기/NNG
시즌	시즌/NNG
4’	4/SN+’/SL
출정식을	출정식/NNG+을/JKO
갖고	갖/VV+고/EC
긴	길/VA+ㄴ/ETM
행군의	행군/NNG+의/JKG
시작을	시작/NNG+을/JKO
알렸다	알리/VV+었/EP+다/EF

이들은	이/NP+들/XSN+은/JX
50일	50/SN+일/NNB
동안	동안/NNG
부산에서	부산/NNP+에서/JKB
강원도,	강원도/NNP+,/SP
서울(보건복지부	서울/NNP+(/SS+보건복지부/NNG
청사)까지	청사/NNG+)/SS+까지/JX
도보로	도보/NNG+로/JKB
약	약/MM
800km를	800/SN+km/SL+를/JKO
이동하며	이동하/VV+며/EC
발달장애인법	발달장애인법/NNG
원안	원안/NNG
제정과	제정/NNG+과/JC
국민기초생활보장법의	국민기초생활보장법/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지의	폐지/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
적극	적극/NNG
홍보할	홍보하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이진섭	이진섭/NNP
부회장은	부회장/NNG+은/JX
결의문을	결의문/NNG+을/JKO
통해	통하/VV+여/EC
"굴복하지	"/SS+굴복하/VV+지/EC
않는	않/VX+는/ETM
의지와	의지/NNG+와/JC
최선의	최선/NNG+의/JKG
노력으로	노력/NNG+으로/JKB
발달장애인법안	발달장애인법안/NNG
제정	제정/NNG
및	및/MAG
국민기초생활보장법	국민기초생활보장법/NNG
개정(부양의무자	개정/NNG+(/SS+부양의무자/NNG
기준	기준/NNG
폐지)을	폐지/NNG+)/SS+을/JKO
위한	위하/VV+ㄴ/ETM
작은	작/VA+은/ETM
힘이나마	힘/NNG+이나마/JX
되고자	되/VV+고자/EC
끝까지	끝/NNG+까지/JX
완주	완주/MAG
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
다짐했다	다짐하/VV+었/EP+다/EC

한편	한편/MAG
이들은	이/NP+들/XSN+은/JX
오는	오/VV+는/ETM
11월	11/SN+월/NNB
23일	23/SN+일/NNB
최종	최종/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
보건복지부	보건복지부/NNG
청사	청사/NNG
앞에	앞/NNG+에/JKB
도착한다	도착하/VV+ㄴ다/EF
