“수화언어	“/SL+수화언어/NNG
법적지위	법적지위/NNG
약속	약속/NNG
대선후보	대선후보/NNG
지지”	지지”/NNG

수화언어	수화언어/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
수화언어권공대위)가	수화언어/NNG+권/XSN+공대위/NNP+)/SS+가/JKS
제18대	제/XPN+18/SN+대/NNG
대선	대선/NNG
후보들에게	후보/NNG+들/XSN+에게/JKB
‘수화언어	‘/SL+수화언어/NNG
및	및/MAG
농문화	농문화/NNG
지원	지원/NNG
법률’	법률/NNG+’/SN
제정	제정/NNG
등	등/NNB
수화	수화/NNG
언어	언어/NNG
법적	법적/NNG
지위	지위/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
요구하고	요구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

수화언어권공대위는	수화언어/NNG+권/XSN+공대위/NNP+는/JX
18일	18/SN+일/NNB
오후	오후/NNG
새누리당	새누리당/NNP
박근혜	박근혜/NNP
후보(여의도	후보/NNG+(/SS+여의도/NNP
한양빌딩)와	한양/NNP+빌딩/NNG+)/SS+와/JC
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보	후보/NNG
캠프(여의도	캠프/NNG+(/SS+여의도/NNP
동화빌딩)	동화빌딩/NNP+)/SS
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
후보	후보/NNG
대선	대선/NNG
캠프	캠프/NNG
측	측/NNB
관계자들에게	관계자/NNG+들/XSN+에게/JKB
‘수화언어	‘/SN+수화언어/NNG
법적	법적/NNG
지위	지위/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대선	대선/NNG
공약	공약/NNG
및	및/MAG
정책개선	정책개선/NNG
제안서(이하	제안/NNG+서/XSN+(/SS+이하/NNG
제안서)’를	제안/NNG+서/XSN+)/SS+’/SL+를/JKO
전달했다	전달하/VV+였/EP+다/EC

제안서에는	제안/NNG+서/XSN+에/JKB+는/JX
각	각/MM
후보들의	후보/NNG+들/XSN+의/JKG
대선공약에	대선공약/NNG+에/JKB
‘수화언어	‘/SN+수화언어/NNG
및	및/MAG
농	농/NNG
문화	문화/NNG
지원	지원/NNG
법률(안)’	법률/NNG+(/SS+안/NNG+)/SS+’/SL
제정과	제정/NNG+과/JC
일반학교	일반학교/NNG
교과에	교과/NNG+에/JKB
수화를	수화/NNG+를/JKO
제2외국어로	제/XPN+2/SN+외국어/NNG+로/JKB
포함하고,	포함하/VV+고/EC+,/SP
정책적으로	정책적/NNG+으로/JKB
보편적	보편적/NNG
언어로서의	언어/NNG+로서/JKB+의/JKG
수화의	수화/NNG+의/JKG
지위를	지위/NNG+를/JKO
훼손하는	훼손하/VV+는/ETM
법령	법령/NNG
개정과	개정/NNG+과/JC
특수교사의	특수교사/NNG+의/JKG
수화통역사	수화통역사/NNG
자격취득	자격취득/NNG
확대	확대/NNG
등	등/NNB
농교육	농교육/NNG
환경	환경/NNG
개선을	개선/NNG+을/JKO
추진할	추진하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하는	요구하/VV+는/ETM
내용이	내용/NNG+이/JKS
담겼다	담기/VV+었/EP+다/EF

이날	이날/NNG
수화언어권공대위는	수화언어권공대위/NNG+는/JX
수화언어의	수화언어/NNG+의/JKG
법적	법적/NNG
지위	지위/NNG
약속을	약속/NNG+을/JKO
하는	하/VV+는/ETM
후보를	후보/NNG+를/JKO
지지할	지지하/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
공식적으로	공식적/NNG+으로/JKB
밝히기도	밝히/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EC

장애인정보문화누리	장애인정보문화누리/NNG
김세식	김세식/NNP
상임이사는	상임이사/NNG+는/JX
기자회견을	기자회견/NNG+을/JKO
통해	통하/VV+여/EC
“얼마	“/SL+얼마/NNG
전	전/NNG
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해서도	통하/VV+여서/EC+도/JX
밝혀졌듯이	밝혀지/VV+었/EP+듯이/EC
전국	전국/NNG
청각장애인	청각장애인/NNG
학교의	학교/NNG+의/JKG
교사	교사/NNG
6%만이	6/SN+%/SW+만/JX+이/JKS
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
갖고	갖/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“영화	“/SW+영화/NNG
도가니에서	도가니/NNG+에서/JKB
듣지	듣/VV+지/EC
못하는	못하/VX+는/ETM
청각장애인들에게	청각장애인/NNG+들/XSN+에게/JKB
교사가	교사/NNG+가/JKS
말로	말/NNG+로/JKB
교육을	교육/NNG+을/JKO
하는	하/VV+는/ETM
장면이	장면/NNG+이/JKS
나온다	나오/VV+ㄴ다/EF

이러한	이러하/VA+ㄴ/ETM
모습은	모습/NNG+은/JX
영화의	영화/NNG+의/JKG
이야기만이	이야기/NNG+만/JX+이/JKS
아니라	아니/VCN+라/EC
현재	현재/MAG
우리나라의	우리나라/NNG+의/JKG
청각장애인	청각장애인/NNG
교육의	교육/NNG+의/JKG
모습”이라고	모습”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

김	김/NNP
상임이사는	상임이사/NNG+는/JX
“청각장애인들이	“/SL+청각장애인/NNG+들/XSN+이/JKS
수화	수화/NNG
사용으로	사용/NNG+으로/JKB
인해	인하/VV+여/EC
받는	받/VV+는/ETM
차별은	차별/NNG+은/JX
가정	가정/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
학교,	학교/NNG+,/SP
사회도	사회/NNG+도/JX
있다	있/VA+다/EF

이러한	이러하/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
근본적으로	근본적/NNG+으로/JKB
해결하기	해결하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
‘수화’를	‘/SL+수화’/NNG+를/JKO
한국어와	한국어/NNP+와/JC
동등한	동등하/VA+ㄴ/ETM
언어로	언어/NNG+로/JKB
인정받을	인정받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
법률로	법률/NNG+로/JKB
만들고,	만들/VV+고/EC+,/SP
정책을	정책/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“대통령	“/SL+대통령/NNG
선거에	선거/NNG+에/JKB
출마하는	출마하/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
(이러한	(/SS+이러하/VA+ㄴ/ETM
문제들에)	문제/NNG+들/XSN+에/JKB+)/SS
관심을	관심/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
대선	대선/NNG
공약으로	공약/NNG+으로/JKB
삼아주길	삼/VV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SN+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

인권연대	인권연대/NNG
장애와	장애/NNG+와/JC
여성	여성/NNG
마실	마실/NNG
김광이	김광/NNP+이/JKS
활동가도	활동가/NNG+도/JX
“이제	“/SL+이제/MAG
수화도	수화/NNG+도/JX
제2의	제/XPN+2/SN+의/JKG
언어로	언어/NNG+로/JKB
인정받고	인정받/VV+고/EC
국어로써	국어/NNG+로써/JKB
지위를	지위/NNG+를/JKO
인정받아	인정받/VV+아/EC
배울	배우/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
선택	선택/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권한을	권한/NNG+을/JKO
줘야	주/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“농	“/SN+농/NNG
문화와	문화/NNG+와/JC
농인이	농인/NNG+이/JKS
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
법령을	법령/NNG+을/JKO
제정해서	제정하/VV+여서/EC
인간으로서	인간/NNG+으로서/JKB
권리를	권리/NNG+를/JKO
