"‘수화언어권	"/SS+‘/SL+수화언어/NNG+권/XSN
확보’	확보/NNG+’/SL
대선공약에	대선공약/NNG+에/JKB
포함해야"	포함하/VV+여야/EF+"/SS

청각장애인	청각장애인/NNG
단체가	단체/NNG+가/JKS
각	각/MM
대선	대선/NNG
후보들에게	후보/NNG+들/XSN+에게/JKB
수화언어권	수화언어/NNG+권/XSN
공약을	공약/NNG+을/JKO
다시	다시/MAG
한번	한/MM+번/NNB
촉구했다	촉구하/VV+였/EP+다/EC

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
25일	25/SN+일/NNB
성명서를	성명서/NNG+를/JKO
내고	내/VV+고/EC
수화언어권공대위가	수화언어권공대위/NNG+가/JKS
요구하는	요구하/VV+는/ETM
공약	공약/NNG
사항과	사항/NNG+과/JC
정책	정책/NNG
개선사항을	개선사항/NNG+을/JKO
대선	대선/NNG
캠프마다	캠프/NNG+마다/JX
추가로	추가/NNG+로/JKB
채택,	채택/NNG+,/SP
대선공약에	대선공약/NNG+에/JKB
포함할	포함하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

수화언어권공대위는	수화언어권공대위/NNG+는/JX
각	각/MM
대선	대선/NNG
캠프에	캠프/NNG+에/JKB
(가칭)수화언어	(/SS+가칭/NNG+)/SS+수화언어/NNG
지원	지원/NNG
법률제정과	법률제정/NNG+과/JC
일반학교	일반학교/NNG
교과과정에	교과과정/NNG+에/JKB
수화교육의	수화교육/NNG+의/JKG
도입을	도입/NNG+을/JKO
공약으로	공약/NNG+으로/JKB
채택,	채택/NNG+,/SP
농교육의	농교육/NNG+의/JKG
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
개선	개선/NNG
등	등/NNB
정책	정책/NNG
개선사항도	개선사항/NNG+도/JX
채택해줄	채택하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구한	요구하/VV+ㄴ/ETM
바	바/NNB
있으며,	있/VA+으며/EC+,/SP
현재	현재/MAG
대선	대선/NNG
캠프	캠프/NNG
실무자별로	실무자/NNG+별/XSN+로/JKB
채택	채택/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의도	논의/NNG+도/JX
진행	진행/NNG
중이다	중/NNB+이/VCP+다/EC

하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
박근혜,	박근혜/NNP+,/SP
문재인,	문재인/NNP+,/SP
안철수	안철수/NNP
예비	예비/NNG
후보의	후보/NNG+의/JKG
10대	10/SN+대/NNB
대선공약	대선공약/NNG
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
이중	이중/NNG
장애공약은	장애공약/NNG+은/JX
장애인연금	장애인연금/NNG
현실화,	현실화/NNG+,/SP
장애인	장애인/NNG
생애주기별	생애주기/NNG+별/XSN
건강관리	건강관리/NNG
시스템,	시스템/NNG+,/SP
장애인위원회	장애인위원회/NNG
설치,	설치/NNG+,/SP
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장,	보장/NNG+,/SP
장애인	장애인/NNG
정보격차	정보격차/NNG
해소	해소/NNG
등일	등/NNB+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
공대위가	공대위/NNP+가/JKS
요구하는	요구하/VV+는/ETM
사항은	사항/NNG+은/JX
아직	아직/MAG
반영되지	반영되/VV+지/EC
않은	않/VX+은/ETM
상태	상태/NNG

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
“각	“/SL+각/NNG
예비후보들의	예비후보/NNG+들/XSN+의/JKG
대선	대선/NNG
캠프에서는	캠프/NNG+에서/JKB+는/JX
어제	어제/MAG
선보인	선보이/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
보다	보다/MAG
구체화하거나	구체화하/VV+거나/EC
추가	추가/NNG
공약을	공약/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
분주히	분주히/MAG
움직이는	움직이/VV+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다”며	있/VX+다/EC+”/VX+며/EC
“수화언어권공대위가	“/SL+수화언어권공대위/NNG+가/JKS
요구하는	요구하/VV+는/ETM
공약	공약/NNG
사항과	사항/NNG+과/JC
정책	정책/NNG
개선사항을	개선사항/NNG+을/JKO
대선	대선/NNG
캠프마다	캠프/NNG+마다/JX
추가로	추가/NNG+로/JKB
채택하는	채택하/VV+는/ETM
사항에	사항/NNG+에/JKB
포함할	포함하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구한다”고	촉구하/VV+ㄴ다/EF+”/XSN+고/EC
강조했다	강조하/VV+였/EP+다/EC
