장애인이라고	장애인/NNG+이/VCP+라고/EC
항공좌석에서	항공좌석/NNG+에서/JKB
쫓아내	쫓아내/VV+어/EC

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
16일,	16/SN+일/NNB+,/SP
뉴저지의	뉴저지/NNP+의/JKG
뉴왁	뉴왁/NNP
리버티	리버티/NNP
공항	공항/NNG
청사에서	청사/NNG+에서/JKB
경비와	경비/NNG+와/JC
탑승객	탑승객/NNG
사이에	사이/NNG+에/JKB
심한	심하/VA+ㄴ/ETM
언쟁이	언쟁/NNG+이/JKS
벌어졌다	벌어지/VV+었/EP+다/EF

다운	다울/VV+ㄴ/ETM
신드롬	신드롬/NNG
장애아동	장애아동/NNG
베드	베드/NNG
밴더허스트가	밴더허스트/NNP+가/JKS
장애인이라는	장애인/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
아메리칸	아메리칸/NNG
에어라인	에어라인/NNG
항공사	항공사/NNG
경비는	경비/NNG+는/JX
퍼스트	퍼스트/NNG
클래스	클래스/NNG
탑승을	탑승/NNG+을/JKO
거부했다	거부하/VV+었/EP+다/EC

탑승하려면	탑승하/VV+려면/EC
제일	제일/MAG
뒷자리	뒷자리/NNG
사람들이	사람/NNG+들/XSN+이/JKS
없는	없/VA+는/ETM
자리로	자리/NNG+로/JKB
가라고	가/VV+라고/EC
말했다	말하/VV+였/EP+다/EC

엄마	엄마/NNG
조안은	조안/NNG+은/JX
크게	크/VA+게/EC
분노를	분노/NNG+를/JKO
했고	하/VV+였/EP+고/EC
이유를	이유/NNG+를/JKO
따져	따지/VV+어/EC
묻자	묻/VV+자/EC
보안상	보안/NNG+상/XSN
필요하다고	필요하/VA+다고/EC
말할	말하/VV+ㄹ/ETM
뿐이었다	뿐/NNB+이/VCP+었/EP+다/EF

그녀는	그녀/NP+는/JX
분노를	분노/NNG+를/JKO
이기지	이기/VV+지/EC
못해	못하/VX+여/EC
소리내어	소리/NNG+내/VV+어/EC
울기까지	울/VV+기/ETN+까지/JX
했다	하/VV+였/EP+다/EC

나중에	나중/NNG+에/JKB
항공사에	항공사/NNG+에/JKB
이유를	이유/NNG+를/JKO
묻자	묻/VV+자/EC
대답은	대답/NNG+은/JX
더	더/MAG
황당했다	황당하/VA+었/EP+다/EC

파일럿이	파일럿/NNG+이/JKC
흥분한	흥분하/VV+ㄴ/ETM
베드를	베드/NNG+를/JKO
가라앉히려	가라앉히/VV+려/EC
했으나	하/VX+였/EP+으나/EC
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않아	않/VX+아/EC
퍼스트	퍼스트/NNG
클래스	클래스/NNG
탑승을	탑승/NNG+을/JKO
거부했다고	거부하/VV+였/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

조앤은	조앤/NNP+은/JX
거짓말이라며	거짓말/NNG+이/VCP+라며/EC
강력하게	강력하/VA+게/EC
반발했다	반발하/VV+였/EP+다/EF

그는	그/NP+는/JX
단지	단지/MAG
베드가	베드/NNP+가/JKS
장애인이라는	장애인/NNG+이/VCP+라는/ETM
이유	이유/NNG
하나로	하나/NNG+로/JKB
거절했다고	거절하/VV+였/EP+다고/EC
주장했다	주장하/VV+였/EP+다/EF

팩스	팩스/NNG
TV는	TV/SL+는/JX
이	이/MM
기사를	기사/NNG+를/JKO
다루며	다루/VV+며/EC
'항공사	'/SS+항공사/NNG
측은	측/NNB+은/JX
베드가	베드/NNP+가/JKS
소동을	소동/NNG+을/JKO
