“故박지우양	“故/SL+박지우양/NNG
죽음은	죽음/NNG+은/JX
단순사고	단순사고/NNG
아닌	아니/VCN+ㄴ/ETM
인재”	인재/NNG+”/SN

부모가	부모/NNG+가/JKS
일하러	일하/VV+러/EC
간	가/VV+ㄴ/ETM
사이	사이/NNG
발생한	발생하/VV+ㄴ/ETM
화재	화재/NNG
속에서	속/NNG+에서/JKB
장애로	장애/NNG+로/JKB
거동이	거동/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
남동생을	남동생/NNG+을/JKO
구하던	구하/VV+던/ETM
중	중/NNB
참변을	참변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
故박지우(13세·미등록	故/SL+박지우/NNP+(/SS+13/SN+세/NNB+·/SP+미/XPN+등록/NNG
발달장애)양의	발달장애/NNG+)/SS+양/NNB+의/JKG
장례식이	장례식/NNG+이/JKS
열렸다	열리/VV+었/EP+다/EC

전국장애인부모연대와	전/MM+국장애인부모연대/NNG+와/JC
전국장애인차별철폐연대,	전/MM+국장애인차별철폐연대/NNG+,/SP
한국장애인자립생활센터협의회는	한국/NNP+장애인자립생활센터협의회/NNG+는/JX
9일	9/SN+일/NNB
오전	오전/NNG
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
故박지우양의	故/SN+박지우양/NNG+의/JKG
장례식을	장례식/NNG+을/JKO
치르고	치르/VV+고/EC
넋을	넋/NNG+을/JKO
위로했다	위로하/VV+였/EP+다/EC

경기도	경기도/NNP
파주시에서	파주시/NNP+에서/JKB
거주했던	거주하/VV+였/EP+던/ETM
故박지우양은	故/SL+박지우양/NNP+은/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
오후	오후/NNG
6시경	6/SN+시/NNB+경/XSN
부모가	부모/NNG+가/JKS
일하러	일하/VV+러/EC
간	가/VV+ㄴ/ETM
사이	사이/NNG
집안의	집안/NNG+의/JKG
화재로	화재/NNG+로/JKB
유독가스에	유독가스/NNG+에/JKB
질식,	질식/NNG+,/SP
의식불명의	의식불명/NNG+의/JKG
사고를	사고/NNG+를/JKO
당했다	당하/VV+였/EP+다/EC

당시	당시/NNG
뇌병변1급	뇌병변/NNG+1/SN+급/NNG
중복장애	중복장애/NNG
남동생(11세)과	남동생/NNG+(/SS+11/SN+세/NNB+)/SS+과/JKB
함께	함께/MAG
변을	변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
박지우양은	박지우양/NNP+은/JX
사고발생	사고발생/NNG
9일	9/SN+일/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
30분경	30/SN+분/NNB+경/XSN
끝내	끝내/MAG
숨졌다	숨지/VV+었/EP+다/EF

박	박/NNP
양은	양/NNP+은/JX
그동안	그동안/NNG
부모를	부모/NNG+를/JKO
대신해	대신하/VV+여/EC
남동생을	남동생/NNG+을/JKO
돌보는가	돌보/VV+는가/EC
하면	하/VV+면/EC
동생을	동생/NNG+을/JKO
위해	위하/VV+여/EC
특수학교도	특수학교/NNG+도/JX
자진해	자진하/VV+여/EC
입학한	입학하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

어릴	어리/VA+ㄹ/ETM
적부터	적/NNB+부터/JX
박	박/NNP
양을	양/NNG+을/JKO
봐왔다는	보/VV+아/EC+오/VX+았/EP+다는/ETM
새누리(경기도)장애인부모연대파주지부	새누리/NNG+(/SS+경기도/NNP+)/SS+장애인부모연대파주지부/NNG
송희정	송희정/NNP
회장은	회장/NNG+은/JX
추모발언을	추모발언/NNG+을/JKO
통해	통하/VV+여/EC
“더	“/SN+더/NNB
이상	이상/NNG
누나,	누나/NNG+,/SP
오빠들이	오빠/NNG+들/XSN+이/JKS
동생을	동생/NNG+을/JKO
