정부세종청사,	정부세종청사/NNG+,/SP
장애인	장애인/NNG
편의시설	편의시설/NNG
‘엉망’	‘/SN+엉망’/NNG

지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
정부세종청사	정부세종청사/NNG
시대가	시대/NNG+가/JKS
본격	본격/NNG
개막됐다	개막되/VV+었/EP+다/EF

정부세종청사	정부세종청사/NNG
대강당에서	대강당/NNG+에서/JKB
개청식을	개청/NNG+식/XSN+을/JKO
갖고	갖/VV+고/EC
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
업무에	업무/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것	것/NNB

정부세종청사	정부세종청사/NNG
건립은	건립/NNG+은/JX
‘중앙행정기관	‘/SL+중앙행정기관/NNG
등의	등/NNB+의/JKG
이전계획에	이전계획/NNG+에/JKB
따라	따르/VV+아/EC
2012년부터	2012/SN+년/NNB+부터/JX
2014년까지	2014/SN+년/NNB+까지/JX
3단계로	3/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
추진되고	추진되/VV+고/EC
있다	있/VX+다/EC

1단계는	1/SN+단계/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
12월	12/SN+월/NNB
착공,	착공/NNG+,/SP
사업비	사업비/NNG
5200원이	5200/SN+원/NNB+이/JKS
투입돼	투입되/VV+어/EC
연면적	연면적/NNG
254,602㎡(지하	254,602/SN+㎡/SW+(/SS+지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
7층)	7/SN+층/NNG+)/SS
규모로	규모/NNG+로/JKB
올	올/NNG
11월에	11/SN+월/NNB+에/JKB
완공됐다	완공되/VV+었/EP+다/EF

현재	현재/MAG
국무총리실을	국무총리/NNG+실/XSN+을/JKO
시작으로	시작/NNG+으로/JKB
기획재정부,	기획재정부/NNG+,/SP
농림수산식품부,	농림수산식품부/NNG+,/SP
국토해양부,	국토해양부/NNP+,/SP
공정거래위원회,	공정거래위원회/NNG+,/SP
행정중심복합도시건설청	행정중심복합도시건설청/NNG
등이	등/NNB+이/JKS
입주를	입주/NNG+를/JKO
마치고	마치/VV+고/EC
정상업무	정상업무/NNG
중이다	중/NNB+이/VCP+다/EC

아울러	아울러/MAG
2013년에는	2013/SN+년/NNB+에/JKB+는/JX
6개	6/SN+개/NNB
중앙행정기관과	중앙행정기관/NNG+과/JC
12개	12/SN+개/NNB
소속기관이	소속기관/NNG+이/JKS
2014년에는	2014/SN+년/NNB+에/JKB+는/JX
4개	4/SN+개/NNB
중앙행정기관과	중앙행정기관/NNG+과/JC
2개	2/SN+개/NNB
소속기관이	소속기관/NNG+이/JKS
이전할	이전하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
에이블뉴스는	에이블뉴스/NNP+는/JX
개청식이	개청/NNG+식/XSN+이/JKS
열리기	열리/VV+기/ETN
하루	하루/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
26일	26/SN+일/NNB
세종시	세종시/NNP
시각장애인연합회(회장	시각장애인연합회/NNG+(/SS+회장/NNG
유성식)와	유성식/NNG+)/SS+와/JKB
함께	함께/MAG
정부세종청사의	정부세종청사/NNG+의/JKG
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
점검해	점검하/VV+여/EC
봤다	보/VX+았/EP+다/EF

먼저	먼저/MAG
국무총리실	국무총리/NNG+실/XSN
입구	입구/NNG
