나이키에	나이키/NNP+에/JKB
장애인용	장애인/NNG+용/XSN
운동화	운동화/NNG
제작	제작/NNG
요구	요구/NNG
확산	확산/NNG

트위터에	트위터/NNG+에/JKB
불이	불/NNG+이/JKS
붙었다	붙/VV+었/EP+다/EC

미국	미국/NNP
플로리다주의	플로리다주/NNP+의/JKG
파크랜드에	파크랜드/NNP+에/JKB
거주하는	거주하/VV+는/ETM
뇌성마비	뇌성마비/NNG
장애	장애/NNG
고등학생	고등학생/NNG
매튜	매튜/NNP
월저(16)는	월저/NNG+(/SS+16/SN+)/SS+는/JX
블로그를	블로그/NNG+를/JKO
통해	통하/VV+여/EC
나이키	나이키/NNP
대표	대표/NNG
마크	마크/NNG
파커에게	파커/NNG+에게/JKB
편지	편지/NNG
한통을	한통/NNG+을/JKO
썼다	쓰/VV+었/EP+다/EC

그는	그/NP+는/JX
목발을	목발/NNG+을/JKO
짚는	짚/VV+는/ETM
뇌성마비	뇌성마비/NNG
장애인이다	장애인/NNG+이/VCP+다/EC

의사는	의사/NNG+는/JX
평생	평생/NNG
걷지	걷/VV+지/EC
못할	못하/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
진단을	진단/NNG+을/JKO
내렸지만	내리/VV+었/EP+지만/EC
악착같은	악착같/VA+은/ETM
노력으로	노력/NNG+으로/JKB
일어섰다	일어서/VV+었/EP+다/EC

그리고	그리고/MAJ
고등학교까지	고등학교/NNG+까지/JX
졸업하고	졸업하/VV+고/EC
내년이면	내년/NNG+이/VCP+면/EC
대학에	대학/NNG+에/JKB
간다	가/VV+ㄴ다/EF

그는	그/NP+는/JX
일어서지	일어서/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
의사의	의사/NNG+의/JKG
진단을	진단/NNG+을/JKO
이기고	이기/VV+고/EC
일어섰다	일어서/VV+었/EP+다/EC

그	그/MM
정도의	정도/NNG+의/JKG
지독한	지독하/VA+ㄴ/ETM
노력은	노력/NNG+은/JX
그의	그/NP+의/JKG
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
가능하게	가능하/VA+게/EC
했다	하/VX+였/EP+다/EF

그의	그/NP+의/JKG
말에	말/NNG+에/JKB
의하면	의하/VV+면/EC
모든	모든/MM
것을	것/NNB+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있었다고	있/VA+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

그러나	그러나/MAJ
하나만은	하나/NR+만은/JX
불가능했다	불가능하/VA+였/EP+다/EC

운동화를	운동화/NNG+를/JKO
신는	신/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

그의	그/NP+의/JKG
부자연스러운	부자연스럽/VA+ㄴ/ETM
손가락은	손가락/NNG+은/JX
