전동휠체어장애인	전동휠체어장애인/NNG
불법으로	불법/NNG+으로/JKB
몬	몬/NNP
신축공사	신축공사/NNG

서울시	서울시/NNP
노원구에	노원구/NNP+에/JKB
사는	살/VV+는/ETM
장기태(지체장애2급)씨는	장기태/NNP+(/SS+지체장애/NNG+2/SN+급/NNG+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
오후	오후/NNG
7시경	7/SN+시/NNB+경/XSN
공릉1동	공릉/NNP+1/SN+동/NNG
오피스텔신축건물	오피스텔신축건물/NNG
공사	공사/NNG
현장	현장/NNG
앞	앞/NNG
인도를	인도/NNP+를/JKO
지나가려	지나가/VV+려/EC
했다	하/VX+였/EP+다/EC

하지만	하지만/MAJ
인도에	인도/NNP+에/JKB
공사현장	공사현장/NNG
자재가	자재/NNG+가/JKS
쌓여	쌓이/VV+어/EC
있고,	있/VX+고/EC+,/SP
차량이	차량/NNG+이/JKS
있어	있/VA+어/EC
통행을	통행/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없었을	없/VA+었/EP+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
인도	인도/NNP
옆	옆/NNG
차도에	차도/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
임시통행로도	임시통/NNG+행/XSN+로/JKB+도/JX
차량이	차량/NNG+이/JKS
막고	막/VV+고/EC
있어	있/VX+어/EC
갈수	가/VX+ㄹ/ETM+수/NNB
없는	없/VA+는/ETM
건	것/NNB+ㄴ/JX
마찬가지였다	마찬가지/NNG+이/VCP+었/EP+다/EF

전동휠체어를	전동휠체어/NNG+를/JKO
이용해야	이용하/VV+여야/EC
하는	하/VX+는/ETM
장	장/NNP
씨는	씨/NNB+는/JX
“공사현장에서	“/SL+공사현장/NNG+에서/JKB
일하는	일하/VV+는/ETM
분에게	분/NNB+에게/JKB
도움을	도움/NNG+을/JKO
요청했더니	요청하/VV+였/EP+더니/EC
오히려	오히려/MAG
왜	왜/MAG
자재가	자재/NNG+가/JKS
쌓여	쌓이/VV+어/EC
있는	있/VX+는/ETM
곳으로	곳/NNG+으로/JKB
가려고	가/VV+려고/EC
하느냐고	하/VX+느냐고/EC
핀잔을	핀잔/NNG+을/JKO
들었고,	듣/VV+었/EP+고/EC+,/SP
차도로	차도/NNG+로/JKB
가라고	가/VV+라고/EC
말했다”고	말하/VV+였/EP+다/EC+”/VV+고/EC
분통을	분통/NNG+을/JKO
터트린	터트리/VV+ㄴ/ETM
뒤	뒤/NNG
“112에	“/SL+112/SN+에/JKB
신고해서	신고하/VV+여서/EC
경찰관이	경찰관/NNG+이/JKS
공사	공사/NNG
현장에	현장/NNG+에/JKB
왔지만,	오/VV+았/EP+지만/EC+,/SP
더	더/MAG
허탈한	허탈하/VA+ㄴ/ETM
상황을	상황/NNG+을/JKO
겪었다”고	겪/VV+었/EP+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

경찰관도	경찰관/NNG+도/JX
공사	공사/NNG
현장	현장/NNG
직원과	직원/NNG+과/JKB
같은	같/VA+은/ETM
말로	말/NNG+로/JKB
왜	왜/MAG
하필	하필/MAG
인도	인도/NNP
그곳으로	그곳/NP+으로/JKB
갈려고	갈/VV+려고/EC
하는지	하/VX+는지/EC
의문을	의문/NNG+을/JKO
표하며,	표하/VV+며/EC+,/SP
차도로	차도/NNG+로/JKB
가면	가/VV+면/EC
된다는	되/VV+ㄴ다는/ETM
식으로	식/NNB+으로/JKB
핀잔을	핀잔/NNG+을/JKO
줬다는	주/VV+었/EP+다는/ETM
것	것/NNB

장	장/NNP
씨는	씨/NNB+는/JX
“전동휠체어는	“/SL+전동휠체어/NNG+는/JX
차도로	차도/NNG+로/JKB
다니면	다니/VV+면/EC
불법으로,	불법/NNG+으로/JKB+,/SP
인도로	인도/NNP+로/JKB
다녀야	다니/VV+어야/EC
하는데	하/VX+는데/EC
사고가	사고/NNG+가/JKS
나면	나/VV+면/EC
누가	누구/NP+가/JKS
책을	책/NNG+을/JKO
질	지/VV+ㄹ/ETM
것이냐”고	것/NNB+이/VCP+냐/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

도로교통법	도로교통법/NNG
상	상/XSN
전동휠체어는	전동휠체어/NNG+는/JX
자동차나	자동차/NNG+나/JC
오토바이와	오토바이/NNG+와/JKB
같은	같/VA+은/ETM
‘차마’에	‘/SN+차마’/NNG+에/JKB
속하지	속하/VV+지/EC
않아	않/VX+아/EC
인도로	인도/NNG+로/JKB
다녀야	다니/VV+어야/EC
한다	하/VX+ㄴ다/EF

도로로	도로/NNG+로/JKB
다니면	다니/VV+면/EC
불법이	불법/NNG+이/JKC
되는	되/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
사고가	사고/NNG+가/JKS
나도	나/VV+아도/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
보험	보험/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

16일	16/SN+일/NNB
현장을	현장/NNG+을/JKO
찾아가	찾아가/VV+아/EC
둘러봤지만,	둘러보/VV+았/EP+지만/EC+,/SP
장	장/NNP
씨의	씨/NNB+의/JKG
항의에도	항의/NNG+에/JKB+도/JX
변한	변하/VV+ㄴ/ETM
것은	것/NNB+은/JX
없었다	없/VA+었/EP+다/EF

인도에는	인도/NNP+에/JKB+는/JX
자제가	자제/NNG+가/JKS
쌓여	쌓이/VV+어/EC
있고,	있/VX+고/EC+,/SP
차량이	차량/NNG+이/JKS
주차돼	주차/NNG+되/XSV+어/EC
있었다	있/VX+었/EP+다/EF

또한	또한/MAG
임시통행로도	임시통/NNG+행/XSN+로/JKB+도/JX
차량이	차량/NNG+이/JKS
막아	막/VV+아/EC
차도로	차도/NNG+로/JKB
다녀야	다니/VV+어야/EC
하는	하/VX+는/ETM
형편이었다	형편/NNG+이/VCP+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
노원구청에	노원구청/NNP+에/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
현재의	현재/NNG+의/JKG
상황을	상황/NNG+을/JKO
전하며,	전하/VV+며/EC+,/SP
허가를	허가/NNG+를/JKO
받고	받/VV+고/EC
공사를	공사/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
지와	지오/VV+아/EC
그렇다면	그렇/VA+다면/EC
관리·감독이	관리/NNG+·/SP+감독/NNG+이/JKS
제대로	제대로/MAG
이뤄지지	이루어지/VV+지/EC
않은	않/VX+은/ETM
것	것/NNB
아니냐고	아니/VCN+냐고/EC
물어봤다	물어보/VV+았/EP+다/EF

노원구청	노원구청/NNP
관계자는	관계자/NNG+는/JX
“허가를	“/SN+허가/NNG+를/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
맞고,	맞/VV+고/EC+,/SP
공사	공사/NNG
현장의	현장/NNG+의/JKG
인도가	인도/NNG+가/JKS
좁아	좁/VA+아/EC
차도에	차도/NNG+에/JKB
임시	임시/NNG
보행	보행/NNG
통로를	통로/NNG+를/JKO
만들도록	만들/VV+도록/EC
했다”고	하/VX+였/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

관계자에게	관계자/NNG+에게/JKB
관리·감독과	관리/NNG+·/SP+감독/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
질문에	질문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정확한	정확하/VA+ㄴ/ETM
답변을	답변/NNG+을/JKO
듣지	듣/VV+지/EC
못했지만,	못하/VX+였/EP+지만/EC+,/SP
이후	이후/NNG
건물주에게	건물주/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
빠른	빠르/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
주문한	주문하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

건물주는	건물주/NNG+는/JX
“장	“/SN+장/NNG
씨에게	씨/NNB+에게/JKB
사과를	사과/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
공사가	공사/NNG+가/JKS
거의	거의/MAG
끝나	끝나/VV+아/EC
인도의	인도/NNP+의/JKG
자제	자제/NNG
등을	등/NNB+을/JKO
치우면	치우/VV+면/EC
다닐	다니/VV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다”면서/EC
“차도	“/SN+차/NNB+도/JX
임시통행로도	임시통/NNG+행/XSN+로/JKB+도/JX
불편	불편/NNG
없이	없이/MAG
다니도록	다니/VV+도록/EC
바로	바로/MAG
개선하겠다”고	개선하/VV+겠/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

차도에	차도/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
임시통행로	임시통/NNG+행/XSN+로/JKB
양쪽에도	양쪽/NNG+에/JKB+도/JX
차량이	차량/NNG+이/JKS
막고	막/VV+고/EC
있어	있/VX+어/EC
전동휠체어장애인은	전동휠체어장애인/NNG+은/JX
차도로	차도/NNG+로/JKB
통행해야	통행하/VV+여야/EC
한다	하/VX+ㄴ다/EF

토로교통법	토로교통법/NNG
상	상/XSN
전동휠체어는	전동휠체어/NNG+는/JX
인도로	인도/NNG+로/JKB
통행해야	통행하/VV+여야/EC
한다	하/VX+ㄴ다/EF

차도로	차도/NNG+로/JKB
하면	하/VV+면/EC
불법이다	불법/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
오피스텔	오피스텔/NNG
공사현장	공사현장/NNG
앞	앞/NNG
인도	인도/NNP
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
오피스텔	오피스텔/NNG
건물주가	건물/NNG+주/XSN+가/JKS
노원구청으로	노원구청/NNP+으로/JKB
전화를	전화/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
조치를	조치/NNG+를/JKO
취하고	취하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
