학생	학생/NNG
성폭행	성폭행/NNG
광주인화학교	광주인화학교/NNP
전	전/MM
행정실장	행정실장/NNG
감형	감형/NNG

영화	영화/NNG
‘도가니’의	‘/SN+도가니/NNG+’/SL+의/JKG
실제	실제/NNG
인물로	인물/NNG+로/JKB
1심에서	1/SN+심/NNG+에서/JKB
징역	징역/NNG
12년의	12/SN+년/NNB+의/JKG
중형을	중형/NNG+을/JKO
선고	선고/NNG
받았던	받/VV+았/EP+던/ETM
광주	광주/NNP
인화학교	인화학교/NNP
전	전/MM
행정실장	행정실/NNG+장/XSN
김모(64세)씨가	김/NNP+모/NP+(/SS+64/SN+세/NNB+)/SS+씨/NNB+가/JKS
항소심에서	항소심/NNG+에서/JKB
감형	감형/NNG
받았다	받/VV+았/EP+다/EC

광주고등법원	광주/NNP+고등법원/NNG
형사1부(부장판사	형사/NNG+1/SN+부/NNB+(/SS+부장판사/NNG
이창한)는	이창한/NNP+)/SS+는/JX
27일	27/SN+일/NNB
강간	강간/NNG
치상	치상/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
기소된	기소되/VV+ㄴ/ETM
김씨에	김/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
항소심	항소심/NNG
선고공판에서	선고공판/NNG+에서/JKB
원심을	원심/NNG+을/JKO
파기하고,	파기하/VV+고/EC+,/SP
징역	징역/NNG
8년을	8/SN+년/NNB+을/JKO
선고했다	선고하/VV+였/EP+다/EC

또한	또한/MAG
신상정보	신상정보/NNG
공개	공개/NNG
10년,	10/SN+년/NNB+,/SP
위치추적	위치추적/NNG
전자장치(전자발찌)	전자장치/NNG+(/SS+전자발찌/NNG+)/SS
10년을	10/SN+년/NNB+을/JKO
선고한	선고하/VV+ㄴ/ETM
원심을	원심/NNG+을/JKO
그대로	그대로/MAG
유지했다	유지하/VV+였/EP+다/EC

김씨는	김/NNP+씨/NNB+는/JX
청각장애	청각장애/NNG
특수학교인	특수학교/NNG+이/VCP+ㄴ/ETM
광주	광주/NNP
인화학교의	인화학교/NNG+의/JKG
행정실장으로	행정실장/NNG+으로/JKB
재직하던	재직하/VV+던/ETM
2005년	2005/SN+년/NNB
4월	4/SN+월/NNB
학교	학교/NNG
사무실에서	사무실/NNG+에서/JKB
청각장애	청각장애/NNG
여학생(당시	여학생/NNG+(/SS+당시/NNG
18세)의	18/SN+세/NNB+)/SS+의/JKG
손과	손/NNG+과/JC
발을	발/NNG+을/JKO
끈으로	끈/NNG+으로/JKB
묶고	묶/VV+고/EC
성폭행	성폭행/NNG
혐의로	혐의/NNG+로/JKB
기소됐으며,	기소되/VV+었/EP+으며/EC+,/SP
이를	이/NP+를/JKO
목격한	목격하/VV+ㄴ/ETM
남학생(당시	남학생/NNG+(/SS+당시/NNG
17세)을	17/SN+세/NNB+)/SS+을/JKO
사무실로	사무실/NNG+로/JKB
끌고	끌/VV+고/EC
가	가/VV+아/EC
깨진	깨지/VV+ㄴ/ETM
음료수	음료수/NNG
병과	병/NNG+과/JC
둔기로	둔기/NNG+로/JKB
폭행한	폭행하/VV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받았다	받/VV+았/EP+다/EC

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
5일	5/SN+일/NNB
1심	1/SN+심/NNG
판결에서	판결/NNG+에서/JKB
김씨는	김/NNP+씨/NNB+는/JX
징역	징역/NNG
12년,	12/SN+년/NNB+,/SP
10년	10/SN+년/NNB
동안	동안/NNG
신상정보	신상정보/NNG
공개	공개/NNG
및	및/MAG
위치추적	위치추적/NNG
전자장치	전자장치/NNG
부착을	부착/NNG+을/JKO
선고	선고/NNG
받았다	받/VV+았/EP+다/EC

재판부는	재판부/NNG+는/JX
판결문에서	판결문/NNG+에서/JKB
“행정실장으로	“/SN+행정실장/NNG+으로/JKB
학생을	학생/NNG+을/JKO
보호해야할	보호하/VV+여야/EC+하/VX+ㄹ/ETM
의무가	의무/NNG+가/JKS
있음에도	있/VA+음/ETN+에/JKB+도/JX
성폭행하고,	성폭행하/VV+고/EC+,/SP
목격한	목격하/VV+ㄴ/ETM
학생을	학생/NNG+을/JKO
폭행한	폭행하/VV+ㄴ/ETM
죄질이	죄질/NNG+이/JKS
매우	매우/MAG
나쁘다”면서	나쁘/VA+다/EC+”/SN+면서/EC
“피해자들이	“/SL+피해자/NNG+들/XSN+이/JKS
정신적·육체적으로	정신/NNG+적/XSN+·/SP+육체/NNG+적/XSN+으로/JKB
평생	평생/NNG
치유해야할	치유하/VV+여야/EC+하/VX+ㄹ/ETM
큰	크/VA+ㄴ/ETM
고통을	고통/NNG+을/JKO
겪고	겪/VV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
이를	이/NP+를/JKO
부인하고	부인하/VV+고/EC
있고,	있/VX+고/EC+,/SP
사회적	사회적/NNG
파장	파장/NNG
등을	등/NNB+을/JKO
고려하면	고려하/VV+면/EC
엄벌이	엄벌/NNG+이/JKS
불가피하다”고	불가피하/VA+다/EC+”/VX+고/EC
판시했다	판시하/VV+였/EP+다/EC

특히	특히/MAG
재판부는	재판부/NNG+는/JX
성폭행	성폭행/NNG
피해자와	피해자/NNG+와/JC
목격자의	목격자/NNG+의/JKG
진술에	진술/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
주요부분이	주요부분/NNG+이/JKS
일치하는	일치하/VV+는/ETM
등	등/NNB
신빙성이	신빙성/NNG+이/JKS
있다고	있/VA+다고/EC
인정했다	인정하/VV+었/EP+다/EC

재판부는	재판부/NNG+는/JX
다만	다만/MAG
“김씨가	“/SL+김/NNP+씨/NNB+가/JKS
