“수출입銀	“/SL+수출입/NNG+銀/SL
장애인턴제,	장애인턴제/NNG+,/SP
부담금	부담금/NNG
줄이려는	줄이/VV+려는/ETM
꼼수”	꼼수”/NNG

수출입은행이	수출입은행/NNG+이/JKS
인턴제도를	인턴제도/NNG+를/JKO
활용해	활용하/VV+여/EC
장애인	장애인/NNG
고용부담금을	고용부담금/NNG+을/JKO
덜	덜/MAG
내고	내/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

22일	22/SN+일/NNB
국회	국회/NNG
기획재정위원회	기획재정위원회/NNG
소속	소속/NNG
이낙연	이낙연/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
수출입은행이	수출입은행/NNG+이/JKS
청년인턴제도를	청년인턴제도/NNG+를/JKO
활용해	활용하/VV+여/EC
‘장애인	‘/SN+장애인/NNG
인턴행원	인턴행원/NNG
제도’라는	제도’/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
장애인	장애인/NNG
고용수를	고용수/NNG+를/JKO
늘려	늘리/VV+어/EC
장애인	장애인/NNG
고용부담금을	고용부담금/NNG+을/JKO
덜	덜/MAG
내고	내/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
지적했다	지적하/VV+였/EP+다/EF

수출입은행은	수출입은행/NNG+은/JX
기타	기타/NNG
공공기관의	공공기관/NNG+의/JKG
장애인	장애인/NNG
의무고용률을	의무고용/NNG+률/XSN+을/JKO
채우지	채우/VV+지/EC
못해	못하/VX+여/EC
2009년	2009/SN+년/NNB
7400만원,	7400/SN+만/NR+원/NNB+,/SP
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
8400만원의	8400/SN+만/NR+원/NNB+의/JKG
장애인	장애인/NNG
고용부담금을	고용부담금/NNG+을/JKO
냈으며,	내/VV+었/EP+으며/EC+,/SP
지난해부터는	지난해/NNG+부터는/JX
2100만원으로	2100/SN+만/NR+원/NNB+으로/JKB
감소돼	감소되/VV+어/EC
장애인	장애인/NNG
고용이	고용/NNG+이/JKS
나아졌다	나아지/VV+었/EP+다/EC

수출입은행	수출입은행/NNG
장애인	장애인/NNG
고용현황	고용현황/NNG
및	및/MAG
장애인부담금	장애인부담금/NNG
납부내역	납부내역/NNG

ⓒ이낙연의원실	ⓒ/SL+이낙연의원/NNG+실/XSN
하지만	하/VV+지만/EC
수출입은행은	수출입은행/NNG+은/JX
보이지	보이/VV+지/EC
않은	않/VX+은/ETM
‘꼼수’를	‘/SL+꼼수/NNG+’/SL+를/JKO
활용해	활용하/VV+여/EC
상시근로자로	상시근로자/NNG+로/JKB
구분되는	구분되/VV+는/ETM
청년인턴제를	청년인턴/NNG+제/XSN+를/JKO
활용하고	활용하/VV+고/EC
있었다	있/VX+었/EP+다/EF

수출입은행은	수출입은행/NNG+은/JX
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
1명,	1/SN+명/NNB+,/SP
11월?12월에	11/SN+월/NNB+?/SF+12/SN+월/NNB+에/JKB
12명,	12/SN+명/NNB+,/SP
2011년	2011/SN+년/NNB
1명	1/SN+명/NNB
등	등/NNB
총	총/MM
14명의	14/SN+명/NNB+의/JKG
장애인	장애인/NNG
청년인턴을	청년인턴/NNG+을/JKO
고용했고,	고용하/VV+였/EP+고/EC+,/SP
상시근로자	상시근로자/NNG
대비	대비/NNG
장애인	장애인/NNG
근로자	근로자/NNG
고용률도	고용률/NNG+도/JX
올랐다	오르/VV+았/EP+다/EC

이를	이/NP+를/JKO
두고	두/VV+고/EC
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
확대하기	확대하/VV+기/ETN
위해	위하/VV+여/EC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
장애인	장애인/NNG
채용정책을	채용정책/NNG+을/JKO
실행하고	실행하/VV+고/EC
있다는	있/VX+다는/ETM
핑계를	핑계/NNG+를/JKO
댄	대/VV+ㄴ/ETM
것	것/NNB

이	이/NNP
의원은	의원/NNG+은/JX
“은행장은	“/SL+은행장/NNG+은/JX
장애인의무고용제도가	장애인의무고용제도/NNG+가/JKS
왜	왜/MAG
생겼다고	생기/VV+었/EP+다고/EC
생각하는가	생각하/VV+는가/EC

청년인턴은	청년인턴/NNG+은/JX
정규직으로	정규직/NNG+으로/JKB
전환되는	전환되/VV+는/ETM
예가	예/NNG+가/JKS
희박하며,	희박하/VV+며/EC+,/SP
비정규직	비정규직/NNG
양산이라는	양산/NNG+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
정책”이라며	정책”/NNG+이/VCP+라며/EC
“청년인턴에	“/SL+청년인턴/NNG+에/JKB
장애인을	장애인/NNG+을/JKO
채용하는	채용하/VV+는/ETM
방법으로	방법/NNG+으로/JKB
장애인	장애인/NNG
고용비율을	고용비율/NNG+을/JKO
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
장애인의무고용제도의	장애인의무고용제도/NNG+의/JKG
취지를	취지/NNG+를/JKO
살리는	살리/VV+는/ETM
것인가	것/NNB+이/VCP+ㄴ가/EF

장애인고용부담금을	장애인고용부담금/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
꼼수	꼼수/NNG
아니냐”고	아니/VCN+냐/EC+”/SN+고/NNG
질타했다	질타하/VA+었/EP+다/EC
