뇌성마비장애인	뇌성마비장애인/NNG
생존·복지권	생존/NNG+·/SP+복지/NNG+권/XSN
보장	보장/NNG
촉구	촉구/NNG

전국의	전국/NNG+의/JKG
뇌성마비장애인들이	뇌성마비장애인/NNG+들/XSN+이/JKS
올	올/NNG
한해	한/MM+해/NNB
발생한	발생하/VV+ㄴ/ETM
뇌성마비장애인들의	뇌성마비장애인/NNG+들/XSN+의/JKG
죽음과	죽음/NNG+과/JC
그	그/MM
가족들의	가족/NNG+들/XSN+의/JKG
고통에	고통/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책	대책/NNG
마련을	마련/NNG+을/JKO
요구하고	요구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

6일	6/SN+일/NNB
오전	오전/NNG
한국뇌성마비복지회,	한국뇌성마비복지회/NNP+,/SP
한국뇌병변장애인인권협회,	한국/NNP+뇌병변장애인인권협회/NNG+,/SP
해냄복지회	해냄복지회/NNP
등	등/NNB
뇌성마비장애인단체들은	뇌성마비장애인단체/NNG+들/XSN+은/JX
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
‘뇌성마비장애인의	‘/SN+뇌성마비장애인/NNG+의/JKG
생존권과	생존권/NNG+과/JC
복지권	복지/NNG+권/XSN
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기자회견’을	기자회견/NNG+’/SL+을/JKO
개최했다	개최하/VV+였/EP+다/EC

이는	이/NP+는/JX
올	올/NNG
한해	한/MM+해/NNB
유난히	유난히/MAG
뇌성마비장애인들의	뇌성마비장애인/NNG+들/XSN+의/JKG
안타까운	안타깝/VA+ㄴ/ETM
죽음이	죽음/NNG+이/JKS
맞았고,	맞/VV+았/EP+고/EC+,/SP
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
가족들의	가족/NNG+들/XSN+의/JKG
고통이	고통/NNG+이/JKS
컸기	크/VA+었/EP+기/ETN
때문으로	때문/NNB+으로/JKB
실효성	실효성/NNG
있는	있/VA+는/ETM
대책마련이	대책마련/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
이유에서다	이유/NNG+에서다/JKB

이들	이/NP+들/XSN
단체에	단체/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
박모(여·뇌병변	박/NNP+모/NP+(/SS+여/NNG+·/SP+뇌병변/NNP
1급)씨가	1/SN+급/NNG+)/SS+씨/NNB+가/JKS
대학원을	대학원/NNG+을/JKO
졸업한	졸업하/VV+ㄴ/ETM
후	후/NNG
직장생활을	직장생활/NNG+을/JKO
하던	하/VV+던/ETM
중,	중/NNB+,/SP
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
차별과	차별/NNG+과/JC
홀대를	홀대/NNG+를/JKO
견디지	견디/VV+지/EC
못하고	못하/VX+고/EC
자살했다	자살하/VV+였/EP+다/EC

또한	또한/MAG
6월	6/SN+월/NNB
김모(46세)씨가	김/NNP+모/NP+(/SS+46/SN+세/NNB+)/SS+씨/NNB+가/JKS
치매에	치매/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
시어머니(69세)와	시어머니/NNG+(/SS+69/SN+세/NNB+)/SS+와/JC
아들(20세·뇌병변	아들/NNG+(/SS+20/SN+세/NNB+·/SP+뇌병변/NNG
1급)을	1/SN+급/NNG+)/SS+을/JKO
살해하려다	살해하/VV+려다/EC
존속살해	존속살해/NNG
미수로	미수/NNG+로/JKB
법정에	법정/NNG+에/JKB
섰다	서/VV+었/EP+다/EC

친정오빠	친정오빠/NNG
재산	재산/NNG
탓에	탓/NNG+에/JKB
정부지원금을	정부지원금/NNG+을/JKO
받지	받/VV+지/EC
못하게	못하/VX+게/EC
되자	되/VV+자/EC
먼저	먼저/MAG
수면제를	수면제/NNG+를/JKO
먹이고	먹이/VV+고/EC
자신은	자신/NNG+은/JX
연탄불을	연탄불/NNG+을/JKO
피워	피우/VV+어/EC
동반자살을	동반자살/NNG+을/JKO
시도한	시도하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
10월에는	10/SN+월/NNB+에/JKB+는/JX
김주영(33세·뇌병변	김주영/NNP+(/SS+33/SN+세/NNB+·/SP+뇌병변/NNP
1급)씨가	1/SN+급/NNG+)/SS+씨/NNB+가/JKS
활동보조인이	활동보조인/NNG+이/JKS
퇴근한	퇴근하/VV+ㄴ/ETM
후	후/NNG
얼마	얼마/NNG
되지	되/VV+지/EC
않아	않/VX+아/EC
화재	화재/NNG
연기에	연기/NNG+에/JKB
질식해	질식하/VV+여/EC
숨지는	숨지/VV+는/ETM
사건이	사건/NNG+이/JKS
발생했다여기에	발생하/VV+였/EP+다여기/ETN+에/JKB
부모를	부모/NNG+를/JKO
대신해	대신하/VV+여/EC
남동생인	남동생/NNG+이/VCP+ㄴ/ETM
박모(11세·뇌병변	박/NNP+모/NP+(/SS+11/SN+세/NNB+·/SP+뇌병변/NNG
1급)군을	1/SN+급/NNG+)/SS+군/NNB+을/JKO
돌보아오던	돌보/VV+아/EC+오/VX+던/ETM
누나	누나/NNG
박지우(13세)양이	박지우/NNP+(/SS+13/SN+세/NNB+)/SS+양/NNB+이/JKS
갑자기	갑자기/MAG
발생한	발생하/VV+ㄴ/ETM
화재	화재/NNG
시에도	시/NNG+에/JKB+도/JX
동생을	동생/NNG+을/JKO
끝까지	끝/NNG+까지/JX
보살피다	보살피/VV+다/EC
목숨을	목숨/NNG+을/JKO
잃었다	잃/VV+었/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“이	“/SL+이/JKS
같은	같/VA+은/ETM
비극적인	비극적/NNG+이/VCP+ㄴ/ETM
사건은	사건/NNG+은/JX
중증뇌성마비장애인과	중증뇌성마비장애인/NNG+과/JC
그	그/MM
가정에	가정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회의	사회/NNG+의/JKG
무관심,	무관심/NNG+,/SP
장애인정책	장애인정책/NNG
사각지대가	사각지대/NNG+가/JKC
빚어	빚/VV+어/EC
낸	내/VX+ㄴ/ETM
안타까운	안타깝/VA+ㄴ/ETM
결과”라고	결과”/NNG+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
“최근	“/SN+최근/NNG
연속	연속/NNG
발생한	발생하/VV+ㄴ/ETM
뇌성마비인의	뇌성마비인/NNG+의/JKG
죽음은	죽음/NNG+은/JX
미래를	미래/NNG+를/JKO
보장할	보장하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
장애인정책	장애인정책/NNG
때문에	때문/NNB+에/JKB
장애인과	장애인/NNG+과/JC
그	그/MM
가족들이	가족/NNG+들/XSN+이/JKS
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
암울한	암울하/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
극명하게	극명하/VA+게/EC
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
사건”이라고	사건”/NNG+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

이에	이/NP+에/JKB
수정바델지수·활동보조인정조사표	수정바델지수/NNG+·/SP+활동보조인정조사표/NNG
개정	개정/NNG
활동보조지원시간	활동보조지원시간/NNG
월	월/NNG
720시간	720/SN+시간/NNB
보장	보장/NNG
뇌성마비	뇌성마비/NNG
희귀	희귀/NNG
난치성	난치성/NNG
장애	장애/NNG
및	및/MAG
질환	질환/NNG
인정	인정/NNG
장애등급제	장애등급/NNG+제/XSN
단계적	단계적/NNG
폐지	폐지/NNG
등이	등/NNB+이/JKS
필요하다는	필요하/VA+다는/ETM
것이다	것/NNB+이/VCP+다/EC

여기에	여기/NP+에/JKB
뇌성마비장애인의	뇌성마비장애인/NNG+의/JKG
장애유형에	장애유형/NNG+에/JKB
맞는	맞/VV+는/ETM
직업영역개발	직업영역개발/NNG
및	및/MAG
직업안정을	직업안정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도	제도/NNG
확대	확대/NNG
뇌성마비	뇌성마비/NNG
장애유형과	장애유형/NNG+과/JC
가족을	가족/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
교육,	교육/NNG+,/SP
복지,	복지/NNG+,/SP
의료	의료/NNG
지원체계	지원체계/NNG
구축·확대	구축/NNG+·/SP+확대/NNG
뇌성마비장애인을	뇌성마비장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
긴급·응급	긴급/NNG+·/SP+응급/NNG
지원시스템	지원시스템/NNG
구축도	구축/NNG+도/JX
절실하다는	절실하/VA+다는/ETM
것이다	것/NNB+이/VCP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“뇌성마비장애인과	“뇌성마비장애인/NNG+과/JC
그	그/MM
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
관심	관심/NNG
및	및/MAG
지원체계	지원체계/NNG
구축과	구축/NNG+과/JC
확대	확대/NNG
등	등/NNB
정부의	정부/NNG+의/JKG
합리적이고	합리적/NNG+이/VCP+고/EC
신속한	신속하/VA+ㄴ/ETM
대책마련이	대책마련/NNG+이/JKS
필요하다“고	필요하/VA+다“고/EC
강조했다	강조하/VV+였/EP+다/EC
