카페베네,	카페베네/NNP+,/SP
서초구내	서초구/NNP+내/NNB
매장	매장/NNG
편의시설	편의시설/NNG
개선	개선/NNG
추진	추진/NNG

커피	커피/NNG
전문점인	전문점/NNG+이/VCP+ㄴ/ETM
‘카페베네’가	‘/SL+카페베/NNG+네/XSN+’/SL+가/JKS
장애인편의시설이	장애인편의시설/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
서초구내	서초구/NNP+내/NNB
매장들에	매장/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
오는	오/VV+는/ETM
8월	8/SN+월/NNB
30일까지	30/SN+일/NNB+까지/JX
개선	개선/NNG
조치키로	조치하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이번	이번/NNG
장애인편의시설	장애인편의시설/NNG
개선	개선/NNG
조치는	조치/NNG+는/JX
서초장애인자립생활센터(이하	서초장애인자립생활센터/NNG+(/SS+이하/NNG
서초센터)의	서초센터/NNP+)/SS+의/JKG
요청에	요청/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

서초센터는	서초센터/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
지역주민을	지역주민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인식개선	장애인식개선/NNG
캠페인사업의	캠페인사업/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
서초구내	서초구/NNP+내/NNB
26개	26/SN+개/NNB
매장을	매장/NNG+을/JKO
현장방문	현장방문/NNG
조사했다	조사하/VV+였/EP+다/EC

그	그/MM
결과	결과/NNG
14개	14/SN+개/NNB
매장	매장/NNG
출입구에	출입구/NNG+에/JKB
경사로가	경사로/NNG+가/JKS
없어	없/VA+어/EC
매장접근이	매장접근/NNG+이/JKS
불가능했다	불가능하/VA+였/EP+다/EC

또한	또한/MAG
기타	기타/NNG
매장	매장/NNG
중에는	중/NNB+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
없거나	없/VA+거나/EC
도어락을	도어락/NNG+을/JKO
설치해	설치하/VV+여/EC
화장실	화장실/NNG
사용이	사용/NNG+이/JKS
불가능한	불가능하/VA+ㄴ/ETM
곳도	곳/NNG+도/JX
있었다	있/VA+었/EP+다/EF

이에	이/NP+에/JKB
카페베네는	카페베네/NNP+는/JX
14개	14/SN+개/NNB
매장	매장/NNG
중	중/NNB
경사로	경사/NNG+로/JKB
설치가	설치/NNG+가/JKS
힘든	힘들/VA+ㄴ/ETM
‘강남	‘/SL+강남/NNG
동아타워점’과	동아타워/NNP+점/XSN+’/SL+과/JC
‘강남역점’을	‘/SL+강남역점/NNG+’/SL+을/JKO
폐점하거나	폐점하/VV+거나/EC
이전하고	이전하/VV+고/EC
기타	기타/NNG
12개	12/SN+개/NNB
매장	매장/NNG
중	중/NNB
8개	8/SN+개/NNB
매장은	매장/NNG+은/JX
8월	8/SN+월/NNB
말까지	말/NNB+까지/JX
경사로를	경사로/NNG+를/JKO
설치해	설치하/VV+여/EC
장애인편의를	장애인편의/NNG+를/JKO
도모키로	도모하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

서초센터는	서초센터/NNP+는/JX
“향후	“/SN+향후/NNG
각	각/MM
지역에서	지역/NNG+에서/JKB
활동하고	활동하/VV+고/EC
있는	있/VX+는/ETM
센터들과의	센터/NNG+들/XSN+과/JKB+의/JKG
연대를	연대/NNG+를/JKO
통해	통하/VV+여/EC
전국의	전국/NNG+의/JKG
‘카페베네’와	‘/SL+카페베네/NNP+’/SL+와/JC
‘스타벅스’의	‘/SL+스타벅스/NNP+’/SL+의/JKG
편의시설	편의시설/NNG
설치	설치/NNG
약속	약속/NNG
이행여부를	이행여부/NNG+를/JKO
지속적으로	지속적/NNG+으로/JKB
모니터링	모니터링/NNG
할	하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
서초센터는	서초센터/NNP+는/JX
지난해	지난해/NNG
커피	커피/NNG
전문점	전문점/NNG
‘스타벅스’에	‘/SL+스타벅스/NNP+’/SL+에/JKB
장애인편의시설이	장애인편의시설/NNG+이/JKS
미비한	미비하/VA+ㄴ/ETM
매장에	매장/NNG+에/JKB
대해	대하/VV+여/EC
편의시설	편의시설/NNG
설치를	설치/NNG+를/JKO
요구한바	요구하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

이	이/NP
같은	같/VA+은/ETM
요구에	요구/NNG+에/JKB
스타벅스는	스타벅스/NNP+는/JX
모든	모든/MM
매장에	매장/NNG+에/JKB
편의시설	편의시설/NNG
설치는	설치/NNG+는/JX
물론	물론/MAG
향후	향후/NNG
편의시설	편의시설/NNG
설치가	설치/NNG+가/JKS
불가능한	불가능하/VA+ㄴ/ETM
건물에서는	건물/NNG+에서/JKB+는/JX
신규로	신규/NNG+로/JKB
매장을	매장/NNG+을/JKO
열지	열/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
해왔다	하/VV+여/EC+오/VX+았/EP+다/EF
