'서울시민복지기준'	'/SS+서울/NNP+시민복지기준/NNG+'/SS
발표,	발표/NNG+,/SP
내용은?	내용/NNG+은/JX+?/SF

#	#/SW
69세	69/SN+세/NNB
김	김/NNP
할머니는	할머니/NNG+는/JX
빈곤층	빈곤/NNG+층/XSN
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
자식이	자식/NNG+이/JKS
있다는	있/VA+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
기초생활수급자로	기초생활수급/NNG+자/XSN+로/JKB
선정되지	선정되/VV+지/EC
못했다	못하/VX+였/EP+다/EC

자식은	자식/NNG+은/JX
어디서	어디/NP+서/JKB
무엇을	무엇/NP+을/JKO
하고	하/VV+고/EC
사는지도	살/VV+는지/EC+도/JX
모르고	모르/VV+고/EC
할머니에게	할머니/NNG+에게/JKB
아무런	아무런/MM
경제적	경제적/NNG
도움도	도움/NNG+도/JX
주지	주/VV+지/EC
않는데도	않/VX+는데/EC+도/JX
말이다	말/NNG+이/VCP+다/EC

박원순	박원순/NNP
서울시장은	서울/NNP+시장/NNG+은/JX
이와	이/NP+와/JKB
같이	같이/MAG
법과	법/NNG+과/JC
제도의	제도/NNG+의/JKG
사각지대에	사각지대/NNG+에/JKB
놓여	놓이/VV+어/EC
고통	고통/NNG
받고	받/VV+고/EC
있는	있/VX+는/ETM
시민들을	시민/NNG+들/XSN+을/JKO
비롯해	비롯하/VV+여/EC
서울시민이면	서울/NNP+시민/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
차별	차별/NNG
없이	없이/MAG
누려야	누리/VV+어야/EC
할	하/VX+ㄹ/ETM
복지기준을	복지기준/NNG+을/JKO
담은	담/VV+은/ETM
‘서울시민복지기준’을	‘/SL+서울/NNP+시민복지기준/NNG+’/SL+을/JKO
마련,	마련/NNG+,/SP
22일	22/SN+일/NNB
발표했다	발표하/VV+였/EP+다/EC

추진	추진/NNG
9개월여	9/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
모습을	모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
‘서울시민복지기준’은	‘/SL+서울시민복지기준/NNP+’/SL+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
연구진이	연구/NNG+진/XSN+이/JKS
제시한	제시하/VV+ㄴ/ETM
초안을	초안/NNG+을/JKO
놓고	놓/VV+고/EC
시민	시민/NNG
의견을	의견/NNG+을/JKO
들어	들/VV+어/EC
지속적으로	지속적/NNG+으로/JKB
수정,	수정/NNG+,/SP
마지막으로	마지막/NNG+으로/JKB
최종	최종/NNG
확정된	확정되/VV+ㄴ/ETM
안이다	안/NNG+이/VCP+다/EC

‘서울시민복지기준’은	‘/SL+서울/NNP+시민복지기준/NNG+’/SL+은/JX
시민생활과	시민생활/NNG+과/JC
밀접한	밀접하/VA+ㄴ/ETM
소득	소득/NNG
주거	주거/NNG
돌봄	돌보/VV+ㅁ/ETN
건강	건강/NNG
교육	교육/NNG
등	등/NNB
5대	5/SN+대/NNG
영역별	영역/NNG+별/XSN
‘최저기준’과	‘/SN+최저기준’/NNG+과/JC
‘적정기준’을	‘/SL+적정기준/NNG+’/SL+을/JKO
명시하고	명시하/VV+고/EC
있다	있/VX+다/EC

‘최저기준’은	‘/SL+최저기준/NNG+’/SL+은/JX
시민	시민/NNG
누구나	누구/NP+나/JX
누려야	누리/VV+어야/EC
할	하/VX+ㄹ/ETM
최소한의	최소한/NNG+의/JKG
삶의	삶/NNG+의/JKG
수준을	수준/NNG+을/JKO
보장할	보장하/VV+ㄹ/ETM
기준,	기준/NNG+,/SP
‘적정기준’은	‘/SL+적정기준/NNG+’/SL+은/JX
최저기준을	최저기준/NNG+을/JKO
넘어	넘/VV+어/EC
시민이	시민/NNG+이/JKS
보다	보다/MAG
질	질/NNG
높은	높/VA+은/ETM
삶을	삶/NNG+을/JKO
향유할	향유하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준에	수준/NNG+에/JKB
해당한다	해당하/VV+ㄴ다/EF

‘서울시민복지기준선’을	‘/SL+서울/NNP+시민복지기준선/NNG+’/SL+을/JKO
발표하는	발표하/VV+는/ETM
박원순	박원순/NNP
서울시장	서울/NNP+시장/NNG

ⓒ서울시	ⓒ/SL+서울시/NNP
■'서울형	■/SW+'/SS+서울/NNP+형/XSN
기초보장제도'로	기초보장제도/NNG+'/SS+로/JKB
비수급	비수급/NNG
19만명	19/SN+만/NR+명/NNB
생계급여=먼저	생계급여/NNG+=/SW+먼저/MAG
소득	소득/NNG
분야의	분야/NNG+의/JKG
최저기준은	최저기준/NNG+은/JX
“서울시	“/SL+서울시/NNP
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
최저생계를	최저생계/NNG+를/JKO
보장하는	보장하/VV+는/ETM
것”으로	것/NNB+”/SL+으로/JKB
기초생활수급자	기초생활수급자/NNG
선정	선정/NNG
기준에	기준/NNG+에/JKB
미달돼도	미달되/VV+어도/EC
지원의	지원/NNG+의/JKG
길이	길/NNG+이/JKS
열린다	열리/VV+ㄴ다/EF

시는	시/NNG+는/JX
현행	현행/NNG
기초생활수급제도의	기초생활수급제도/NNG+의/JKG
손길이	손길/NNG+이/JKS
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
곳에서	곳/NNG+에서/JKB
힘들게	힘들/VA+게/EC
살아가는	살아가/VV+는/ETM
이들을	이/NP+들/XSN+을/JKO
‘서울형	‘/SL+서울/NNP+형/XSN
기초보장제도’	기초보장제도’/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
지원,	지원/NNG+,/SP
가난의	가난/NNG+의/JKG
두려움	두려움/NNG
없이	없이/MAG
삶의	삶/NNG+의/JKG
목표를	목표/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
서울을	서울/NNP+을/JKO
만들어	만들/VV+어/EC
나가겠다고	나가/VX+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

핵심적으로	핵심적/NNG+으로/JKB
도입하는	도입하/VV+는/ETM
‘서울형	‘/SL+서울/NNP+형/XSN
기초보장제도’는	기초보장제도’/NNG+는/JX
부양의무자	부양의무자/NNG
기준과	기준/NNG+과/JC
소득기준을	소득기준/NNG+을/JKO
완화,	완화/NNG+,/SP
비수급	비수급/NNG
빈곤층	빈곤/NNG+층/XSN
19만	19/SN+만/NR
명에	명/NNB+에/JKB
대해	대하/VV+여/EC
기초생활수급자의	기초생활수급/NNG+자/XSN+의/JKG
1/2수준의	1/SN+//SP+2/SN+수준/NNG+의/JKG
생계급여와	생계급여/NNG+와/JC
기초생활수급자와	기초생활수급자/NNG+와/JC
동일한	동일하/VA+ㄴ/ETM
수준의	수준/NNG+의/JKG
교육,	교육/NNG+,/SP
해산?장제급여를	해산/NNG+?/SF+장제급여/NNG+를/JKO
지원하는	지원하/VV+는/ETM
제도다	제도/NNG+이/VCP+다/EC

시는	시/NNG+는/JX
관련	관련/NNG
조례	조례/NNG
제정과	제정/NNG+과/JC
대상자	대상자/NNG
발굴	발굴/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
내년	내년/NNG
하반기부터	하반기/NNG+부터/JX
추진하되,	추진하/VV+되/EC+,/SP
서울시의	서울시/NNP+의/JKG
재정상황을	재정상황/NNG+을/JKO
감안해	감안하/VV+여/EC
내년에는	내년/NNG+에/JKB+는/JX
최저생계비	최저생계비/NNG
60%	60/SN+%/SW
이하	이하/NNG
6만명을	6/SN+만/NR+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
우선적으로	우선적/NNG+으로/JKB
시행하고	시행하/VV+고/EC
2018년까지	2018/SN+년/NNB+까지/JX
점차적으로	점차/MAG+적/XSN+으로/JKB
대상자를	대상자/NNG+를/JKO
최저생계비의	최저생계비/NNG+의/JKG
100%까지	100/SN+%/SW+까지/JX
확대할	확대하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
서울시는	서울시/NNP+는/JX
최고의	최고/NNG+의/JKG
복지인	복지/NNG+이/VCP+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
생산적	생산적/NNG
소득보장을	소득보장/NNG+을/JKO
위해	위하/VV+여/EC
2018년까지	2018/SN+년/NNB+까지/JX
청년일자리	청년일자리/NNG
2만	2/SN+만/NR
5천개,	5/SN+천/NR+개/NNB+,/SP
여성일자리	여성일자리/NNG
2만	2/SN+만/NR
7천개,	7/SN+천/NR+개/NNB+,/SP
지역공동체	지역공동체/NNG
중심의	중심/NNG+의/JKG
노인일자리	노인일자리/NNG
10만개를	10/SN+만/NR+개/NNB+를/JKO
확충하는	확충하/VV+는/ETM
한편,	한편/NNG+,/SP
최저생계비	최저생계비/NNG
100%~116%의	100/SN+%/SW+~/SO+116/SN+%/SW+의/JKG
서울형	서울/NNP+형/XSN
차상위계층	차상위계층/NNG
6천명에	6/SN+천/NR+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
자활근로	자활근/NNG+로/JKB
기회를	기회/NNG+를/JKO
추가로	추가/NNG+로/JKB
제공한다	제공하/VV+ㄴ다/EF

더	더/MAG
나아가	나아가/VV+아/EC
저임금	저임금/NNG
근로자가	근로자/NNG+가/JKS
가족의	가족/NNG+의/JKG
생활을	생활/NNG+을/JKO
유지하는데	유지하/VV+는/ETM+데/NNB
필요한	필요하/VA+ㄴ/ETM
임금을	임금/NNG+을/JKO
보장하는	보장하/VV+는/ETM
‘생활임금제’	‘/SL+생활임금/NNG+제/XSN+’/SN
도입에	도입/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구용역을	연구용역/NNG+을/JKO
내년	내년/NNG
중에	중/NNB+에/JKB
실시,	실시/NNG+,/SP
2014년	2014/SN+년/NNB
서울시	서울시/NNP
유관기관부터	유관기관/NNG+부터/JX
시행할	시행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

참여를	참여/NNG+를/JKO
원하는	원하/VV+는/ETM
민간기업도	민간기업/NNG+도/JX
도입	도입/NNG
가능하다	가능하/VA+다/EC

서울시는	서울시/NNP+는/JX
