서울시,	서울시/NNP+,/SP
저소득	저소득/NNG
장애인	장애인/NNG
가구	가구/NNG
맞춤	맞춤/NNG
집수리	집수리/NNG

목발·휠체어를	목발/NNG+·/SP+휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
지체장애인이	지체장애인/NNG+이/JKS
거주하는	거주하/VV+는/ETM
가구에는	가구/NNG+에/JKB+는/JX
건물	건물/NNG
출입구에	출입구/NNG+에/JKB
계단을	계단/NNG+을/JKO
없애	없애/VV+어/EC
경사로를	경사로/NNG+를/JKO
만들었으면	만들/VV+었/EP+으면/EC
좋겠어요	좋/VA+겠/EP+어요/EC

시각장애인이	시각장애인/NNG+이/JKS
살고있는	살/VV+고/EC+있/VX+는/ETM
집에도	집/NNG+에/JKB+도/JX
보조손잡이와	보조손잡이/NNG+와/JC
음성인지가능	음성인지가능/NNG
초인종을	초인종/NNG+을/JKO
설치했으면	설치하/VV+였/EP+으면/EC
좋겠죠	좋/VA+겠/EP+죠/EC

청각장애인이	청각장애인/NNG+이/JKC
거주하는	거주하/VV+는/ETM
집에도	집/NNG+에/JKB+도/JX
화재발생시	화재발생/NNG+시/NNB
경보음	경보음/NNG
대신	대신/NNG
빨간	빨갛/VA+ㄴ/ETM
불빛이	불빛/NNG+이/JKS
깜빡거리는	깜빡거리/VV+는/ETM
시각인지가능	시각인지가능/NNG
화재경보기를	화재경보기/NNG+를/JKO
설치해	설치하/VV+여/EC
화재시	화재시/MAG
빨리	빨리/MAG
대피했으면	대피하/VA+었/EP+으면/EC
좋겠어요	좋/VA+겠/EP+어요/EC

서울시는	서울시/NNP+는/JX
이와	이/NP+와/JKB
같이	같이/MAG
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
일상생활이	일상생활/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
저소득	저소득/NNG
장애인	장애인/NNG
103가구에	103/SN+가구/NNG+에/JKB
장애유형별	장애유형별/NNP
행동패턴을	행동패턴/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
주택구조	주택구조/NNP
개선과	개선/NNG+과/JC
맞춤형	맞춤/NNG+형/XSN
집수리를	집수리/NNG+를/JKO
위해	위하/VV+여/EC
'2012년	'/SS+2012/SN+년/NNB
저소득	저소득/NNG
장애인의	장애인/NNG+의/JKG
주거편의지원사업'을	주거편의지원사업/NNG+'/SS+을/JKO
시행했다고	시행하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

시는	시/NNG+는/JX
장애등급	장애등급/NNG
1~4급	1/SN+~/SO+4/SN+급/NNG
국민기초생활보호대상가구	국민기초생활보호대상가구/NNG
또는	또는/MAG
차상위	차상위/NNG
계층	계층/NNG
장애인	장애인/NNG
신청가구	신청가구/NNG
중	중/NNB
주택	주택/NNG
소유주가	소유주/NNG+가/JKS
개조를	개조/NNG+를/JKO
허락한	허락하/VV+ㄴ/ETM
경우,	경우/NNG+,/SP
우선순위를	우선순위/NNG+를/JKO
정해	정하/VV+여/EC
대상	대상/NNG
가구를	가구/NNG+를/JKO
선정했다	선정하/VV+였/EP+다/EC

시는	시/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2~4월,	2/SN+~/SO+4/SN+월/NNB+,/SP
7월	7/SN+월/NNB
거주지	거주지/NNG
동주민센터를	동주민센터/NNG+를/JKO
통해	통하/VV+여/EC
희망자를	희망자/NNG+를/JKO
신청받고,	신청/NNG+받/VV+고/EC+,/SP
장애정도나	장애정도/NNG+나/JC
소득수준,	소득수준/NNG+,/SP
주거환경	주거환경/NNG
및	및/MAG
시급성	시급성/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
선정했다	선정하/VV+였/EP+다/EC

특히	특히/MAG
공사는	공사/NNG+는/JX
관련분야	관련분야/NNG
교수	교수/NNG
등	등/NNB
장애전문가인	장애전문가/NNG+이/VCP+ㄴ/ETM
기술자문단의	기술자문단/NNG+의/JKG
현장실사를	현장실사/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
후	후/NNG
설계단계부터	설계단계/NNG+부터/JX
시공까지	시공/NNG+까지/JX
장애유형별로	장애유형/NNG+별/XSN+로/JKB
실생활에	실생활/NNG+에/JKB
불편이	불편/NNG+이/JKS
없도록	없/VA+도록/EC
꼼꼼하고	꼼꼼하/VA+고/EC
철저하게	철저하/VA+게/EC
이뤄졌다	이루어지/VV+었/EP+다/EF

목발과	목발/NNG+과/JC
휠체어를	휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
지체장애인	지체장애인/NNG
가구에는	가구/NNG+에/JKB+는/JX
건물	건물/NNG
주출입구의	주출입구/NNG+의/JKG
계단을	계단/NNG+을/JKO
제거하고	제거하/VV+고/EC
경사로를	경사로/NNG+를/JKO
설치,	설치/NNG+,/SP
편리한	편리하/VA+ㄴ/ETM
이동으로	이동/NNG+으로/JKB
바깥나들이를	바깥나들이/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
이웃	이웃/NNG
간	가/VV+ㄴ/ETM
소통을	소통/NNG+을/JKO
가능하게	가능하/VA+게/EC
했다	하/VX+였/EP+다/EF

또한,	또한/MAG+,/SP
시각장애인	시각장애인/NNG
가구에는	가구/NNG+에/JKB+는/JX
안전보행을	안전보행/NNG+을/JKO
위해	위하/VV+여/EC
보조손잡이	보조손잡이/NNG
설치,	설치/NNG+,/SP
문턱	문턱/NNG
제거,	제거/NNG+,/SP
방문손님의	방문손님/NNG+의/JKG
음성인지가능	음성인지가능/NNG
초인종을	초인종/NNG+을/JKO
설치하고	설치하/VV+고/EC
청각장애인	청각장애인/NNG
가구에는	가구/NNG+에/JKB+는/JX
화면으로	화면/NNG+으로/JKB
상대방을	상대방/NNG+을/JKO
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
화상인터폰과	화상인터폰/NNG+과/JC
초인등을	초인/NNG+등/NNB+을/JKO
설치했다	설치하/VV+였/EP+다/EC

더불어	더불/VV+어/EC
장애인의	장애인/NNG+의/JKG
장애유형에	장애유형/NNG+에/JKB
따라	따르/VV+아/EC
시각장애인에게는	시각장애인/NNG+에게/JKB+는/JX
청각정보를,	청각정보/NNG+를/JKO+,/SP
청각장애인에게는	청각장애인/NNG+에게/JKB+는/JX
시각정보를	시각정보/NNG+를/JKO
제공하는	제공하/VV+는/ETM
경보	경보/NNG
설비를	설비/NNG+를/JKO
연계한	연계하/VV+ㄴ/ETM
자동누전차단기·자동가스차단기·화재경보기를	자동누전차단기/NNG+·/SP+자동가스차단기/NNG+·/SP+화재경보기/NNG+를/JKO
설치하여	설치하/VV+여/EC
화재예방과	화재예방/NNG+과/JC
화재발생시	화재발생/NNG+시/NNB
초기	초기/NNG
대처가	대처/NNG+가/JKS
가능	가능/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다	하/VX+였/EP+다/EF

이	이/MM
밖에	밖/NNG+에/JKB
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
불편하게	불편하/VA+게/EC
여기는	여기/VV+는/ETM
화장실의	화장실/NNG+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
다양한	다양하/VA+ㄴ/ETM
개선이	개선/NNG+이/JKS
이뤄졌다	이루어지/VV+었/EP+다/EF

우선	우선/MAG
재래식	재래식/NNG
화장실은	화장실/NNG+은/JX
수세식으로	수세식/NNG+으로/JKB
변경하고,	변경하/VV+고/EC+,/SP
문턱제거와	문턱제거/NNG+와/JC
안전손잡이	안전손잡이/NNG
설치,	설치/NNG+,/SP
변기높이조정,	변기높이조정/NNG+,/SP
세면대	세면대/NNG
배치	배치/NNG
수정,	수정/NNG+,/SP
화장실	화장실/NNG
문폭	문폭/NNG
확장	확장/NNG
등	등/NNB
화장실	화장실/NNG
및	및/MAG
욕실의	욕실/NNG+의/JKG
안전성과	안전성/NNG+과/JC
편리성을	편리성/NNG+을/JKO
높였다	높이/VV+었/EP+다/EF

키	키/NNG
높이	높이/NNG
싱크대	싱크대/NNG
설치,	설치/NNG+,/SP
단열재	단열재/NNG
시공	시공/NNG
및	및/MAG
벽체	벽체/NNG
틀	틀/NNG
설치,	설치/NNG+,/SP
수납공간	수납공간/NNG
마련,	마련/NNG+,/SP
도배·장판	도배/NNG+·/SP+장판/NNG
교체,	교체/NNG+,/SP
안전	안전/NNG
설비	설비/NNG
설치	설치/NNG
등도	등/NNB+도/JX
이뤄졌다	이루어지/VV+었/EP+다/EF

시는	시/NNG+는/JX
올해	올해/NNG
시행된	시행되/VV+ㄴ/ETM
가구별	가구/NNG+별/XSN
시공사례에	시공사례/NNG+에/JKB
대해	대하/VV+여/EC
만족도	만족/NNG+도/JX
및	및/MAG
사업내용	사업내용/NNG
등을	등/NNB+을/JKO
분석해	분석하/VV+여/EC
결과보고서로	결과보고서/NNG+로/JKB
제작할	제작하/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
제작된	제작되/VV+ㄴ/ETM
보고서는	보고서/NNG+는/JX
향후	향후/NNG
장애인	장애인/NNG
주거환경개선에	주거환경개선/NNG+에/JKB
공간별	공간/NNG+별/XSN
자료로	자료/NNG+로/JKB
활용될	활용되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

김경호	김경호/NNP
서울시	서울시/NNP
복지건강실장은	복지건강/NNP+실장/NNG+은/JX
“저소득	“/SL+저소득/NNG
장애인의	장애인/NNG+의/JKG
집수리사업을	집수리사업/NNG+을/JKO
통해	통하/VV+여/EC
적어도	적어도/MAG
가정	가정/NNG
내에서나	내/NNB+에서/JKB+나/JX
외출시에는	외출/NNG+시/NNB+에/JKB+는/JX
제약	제약/NNG
없이	없이/MAG
안전하고	안전하/VA+고/EC
편리한	편리하/VA+ㄴ/ETM
생활이	생활/NNG+이/JKS
가능하도록	가능하/VA+도록/EC
지원했다”며	지원하/VV+였/EP+다/EC+”/VX+며/EC
“이를	“/SL+이/NNG+를/JKO
통해	통하/VV+여/EC
경기침체에도	경기침체/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
저소득	저소득/NNG
장애인	장애인/NNG
가구들이	가구/NNG+들/XSN+이/JKS
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
조금이나마	조금/NNG+이나마/JX
높이고,	높이/VV+고/EC+,/SP
사회참여활동도	사회참여활동/NNG+도/JX
보다	보다/MAG
활발히	활발히/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되길	되/VV+기/ETN+ㄹ/JKO
기대한다”고	기대하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

한편	한편/MAG
서울시는	서울시/NNP+는/JX
매해	매해/MAG
저소득	저소득/NNG
장애인	장애인/NNG
거주자를	거주자/NNG+를/JKO
위해	위하/VV+여/EC
주거지원	주거지원/NNG
및	및/MAG
개조를	개조/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사업을	사업/NNG+을/JKO
펼쳐오고	펼치/VV+어/EC+오/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
2~3월에	2/SN+~/SO+3/SN+월/NNB+에/JKB
신청	신청/NNG
대상을	대상/NNG+을/JKO
주민센터를	주민센터/NNG+를/JKO
통해	통하/VV+여/EC
모집하고	모집하/VV+고/EC
있다	있/VX+다/EC
