활동보조인연대,	활동보조인연대/NNG+,/SP
복지부	복지부/NNG
앞	앞/NNG
1인시위	1/SN+인시위/NNG
돌입	돌입/NNG

어느새	어느새/MAG
뜨겁던	뜨겁/VA+던/ETM
여름이	여름/NNG+이/JKS
지나가고	지나가/VV+고/EC
선선한	선선하/VA+ㄴ/ETM
초가을로	초가을/NNG+로/JKB
들어선	들어서/VV+ㄴ/ETM
20일	20/SN+일/NNB
오전	오전/NNG
8시,	8/SN+시/NNB+,/SP
안국역	안국역/NNP
보건복지부	보건복지부/NNG
청사	청사/NNG
앞에	앞/NNG+에/JKB
한	한/MM
장의	장/NNB+의/JKG
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
서	서/VV+어/EC
있는	있/VX+는/ETM
남자가	남자/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄었다	띄/VV+었/EP+다/EF

피켓에는	피켓/NNG+에/JKB+는/JX
‘장애인자립생활을	‘/SL+장애인자립생활/NNG+을/JKO
온몸으로	온몸/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
활동보조인의	활동보조인/NNG+의/JKG
장애인활동지원제도개선위원회(이하	장애인활동지원제도개선위원회/NNG+(/SS+이하/NNG
활보제도개선위)	활보제도개선위/NNG+)/SS
참여를	참여/NNG+를/JKO
보장하라’는	보장하/VV+라/EC+’/SL+는/JX
문구가	문구/NNG+가/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

주인공은	주인공/NNG+은/JX
1인	1/SN+인/NNG
시위에	시위/NNG+에/JKB
돌입한	돌입하/VV+ㄴ/ETM
활동보조인연대(이하	활동보조인연대/NNG+(/SS+이하/NNG
활보연대)의	활보연대/NNG+)/SS+의/JKG
구범(34세)	구범/NNG+(/SS+34/SN+세/NNB+)/SS
서울지부장이다	서울/NNP+지부장/NNG+이/VCP+다/EC

복지부가	복지부/NNG+가/JKS
올해	올해/NNG
3월과	3/SN+월/NNB+과/JC
6월	6/SN+월/NNB
두	두/MM
차례의	차례/NNG+의/JKG
활보제도개선위	활보제도개선위/NNG
회의에	회의/NNG+에/JKB
중증장애인들에게	중증장애인/NNG+들/XSN+에게/JKB
활동보조를	활동보조/NNG+를/JKO
직접적으로	직접적/NNG+으로/JKB
서비스하는	서비스하/VV+는/ETM
활동보조인은	활동보조인/NNG+은/JX
배제시켰기	배제/NNG+시키/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
오는	오/VV+는/ETM
9월	9/SN+월/NNB
말께	말/NNB+께/XSN
열릴	열리/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
3차	3/SN+차/NNB
활보제도개선위	활보제도개선위/NNG
회의에는	회의/NNG+에/JKB+는/JX
참여를	참여/NNG+를/JKO
꼭	꼭/MAG
보장	보장/NNG
받기	받/VV+기/ETN
위해서다	위하/VV+여/EC+서/VV+다/EC

활보제도개선위	활보제도개선위/NNG
운영은	운영/NNG+은/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
장애인활동지원제도	장애인활동지원제도/NNG
