장애	장애/NNG
있는	있/VA+는/ETM
국가유공자도	국가유공자/NNG+도/JX
장애인등록	장애인등록/NNG
‘가능’	‘가능/NNG+’/SN

앞으로는	앞/NNG+으로/JKB+는/JX
장애가	장애/NNG+가/JKS
있는	있/VA+는/ETM
국가유공상이자와	국가유공상/NNG+이/VCP+자/EC+와/JC
준국가유공상이자도	준국/NNP+가유공상/NNG+이/VCP+자/EC+도/JX
장애인	장애인/NNG
복지	복지/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

국민권익위원회는	국민권익위원회/NNP+는/JX
이들이	이/NP+들/XSN+이/JKS
장애인	장애인/NNG
등록을	등록/NNG+을/JKO
하지	하/VV+지/EC
못하도록	못하/VX+도록/EC
되어있는	되/VV+어/EC+있/VX+는/ETM
현행	현행/NNG
장애인복지법시행령을	장애인복지법시행령/NNG+을/JKO
개정해	개정하/VV+여/EC
장애인	장애인/NNG
등록이	등록/NNG+이/JKS
가능하도록	가능하/VA+도록/EC
하라고	하/VX+라고/EC
관련부처인	관련부처/NNG+이/VCP+ㄴ/ETM
보건복지부에	보건복지부/NNG+에/JKB
권고했다고	권고하/VV+였/EP+다고/EC
25일	25/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

그동안	그동안/NNG
국가유공상이자와	국가유공상이자/NNG+와/JC
준국가유공상이자는	준/XPN+국가유공상/NNG+이/VCP+자는/ETM
‘국가유공자	‘/SN+국가유공자/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법’을	법’/NNG+을/JKO
적용받는다는	적용받/VV+는다는/ETM
이유로	이유/NNG+로/JKB
장애인복지법	장애인복지법/NNG
적용을	적용/NNG+을/JKO
받지	받/VV+지/EC
못해	못하/VX+여/EC
장애인	장애인/NNG
등록을	등록/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없었다	없/VA+었/EP+다/EF

이에	이/NP+에/JKB
관련법이	관련법/NNG+이/JKS
개선되면	개선되/VV+면/EC
현재	현재/MAG
국가보훈처에	국가보훈처/NNG+에/JKB
등록되어	등록되/VV+어/EC
있는	있/VX+는/ETM
10만	10/SN+만/NR
여명의	여/XSN+명/NNB+의/JKG
국가유공상이자와	국가유공상/NNG+이/VCP+자/EC+와/JC
준국가유공상이자는	준/XPN+국가유공상/NNG+이/VCP+자는/ETM
자신의	자신/NNG+의/JKG
주소지	주소/NNG+지/XSN
관할	관할/NNG
시·군·구에	시/NNG+·/SP+군/NNG+·/SP+구/NNG+에/JKB
신청서를	신청서/NNG+를/JKO
접수한	접수하/VV+ㄴ/ETM
후	후/NNG
장애등급	장애등급/NNG
판정	판정/NNG
심사를	심사/NNG+를/JKO
받으면	받/VV+으면/EC
장애인	장애인/NNG
등록이	등록/NNG+이/JKS
가능하다	가능하/VA+다/EC

또한	또한/MAG
이후	이후/NNG
전국의	전국/NNG+의/JKG
장애인	장애인/NNG
복지시설	복지시설/NNG
이용과	이용/NNG+과/JC
장애인용	장애인/NNG+용/XSN
LPG	LPG/SL
차량이용,	차량이용/NNG+,/SP
전기·통신	전기/NNG+·/SP+통신/NNG
이용료	이용료/NNG
감면	감면/NNG
등	등/NNB
장애인들이	장애인/NNG+들/XSN+이/JKS
받은	받/VV+은/ETM
여러	여러/MM
혜택을	혜택/NNG+을/JKO
추가로	추가/NNG+로/JKB
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF
