장총련,	장총련/NNP+,/SP
2012장애인복지대상	2012/SN+장/NNB+애인복지대상/NNG
수상자	수상자/NNG
발표	발표/NNG

한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)가	장총련/NNP+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
2012장애인복지대상	2012/SN+장애인복지대상/NNG
활동가상	활동가상/NNG
수상자를	수상자/NNG+를/JKO
선정해	선정하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

올해	올해/NNG
수상자는	수상자/NNG+는/JX
장애여성네트워크	장애여성네트워크/NNP
김효진	김효진/NNP
대표,	대표/NNG+,/SP
한국지체장애인협회	한국/NNP+지체장애인협회/NNG
김태영	김태영/NNP
대리,	대리/NNG+,/SP
한국산재장애인협회	한국산재장애인협회/NNP
조성익	조성익/NNP
울산본부장,	울산/NNP+본부/NNG+장/XSN+,/SP
경남아자장애인자립생활센터	경남/NNP+아자장애인자립생활센터/NNG
조이명자	조이명자/NNG
소장,	소장/NNG+,/SP
한국장애인단체총연합회	한국장애인단체총연합회/NNP
정드리	정드리/NNP
활동가	활동가/NNG
등	등/NNB
총	총/MM
5명이다	5/SN+명/NNB+이/VCP+다/EC

장총련은	장총련/NNP+은/JX
2006년부터	2006/SN+년/NNB+부터/JX
12월	12/SN+월/NNB
3일	3/SN+일/NNB
세계장애인의	세계장애인/NNG+의/JKG
날을	날/NNG+을/JKO
맞아	맞/VV+아/EC
메년	메년/NNG
장애인의	장애인/NNG+의/JKG
인권향상과	인권향상/NNG+과/JC
진정한	진정하/VA+ㄴ/ETM
사회통합,	사회통합/NNG+,/SP
권익옹호를	권익옹호/NNG+를/JKO
위해	위하/VV+여/EC
활동한	활동하/VV+ㄴ/ETM
활동가를	활동가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
장애인복지대상자를	장애인복지대상자/NNG+를/JKO
선정해	선정하/VV+여/EC
시상해	시상하/VV+여/EC
왔다	오/VX+았/EP+다/EF

2008년	2008/SN+년/NNB
제3회부터는	제/XPN+3/SN+회/NNB+부터는/JX
보건복지부장관	보건복지부장관/NNG
표창으로	표창/NNG+으로/JKB
승격으로	승격/NNG+으로/JKB
수여돼	수여되/VV+어/EC
왔다	오/VX+았/EP+다/EF

김효진	김효진/NNP
대표는	대표/NNG+는/JX
장애여성으로	장애여성/NNG+으로/JKB
장애인인권운동가이자	장애인인권운동가/NNG+이/VCP+자/EC
장애를	장애/NNG+를/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
칼럼	칼럼/NNG
및	및/MAG
에세이	에세이/NNG
작가로서	작가/NNG+로서/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
스스로의	스스로/NNG+의/JKG
권리를	권리/NNG+를/JKO
찾아	찾/VV+아/EC
사회의	사회/NNG+의/JKG
당당한	당당하/VA+ㄴ/ETM
주체자로서	주체자/NNG+로서/JKB
삶을	삶/NNG+을/JKO
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
인권증진과	인권증진/NNG+과/JC
장애인의	장애인/NNG+의/JKG
완전한	완전하/VA+ㄴ/ETM
사회참여?기회균등	사회참여/NNG+?/SF+기회균등/NNG
및	및/MAG
장애인단체들의	장애인단체/NNG+들/XSN+의/JKG
역량강화	역량강화/NNG
등	등/NNB
장애인인권운동을	장애인인권운동/NNG+을/JKO
위해	위하/VV+여/EC
기여한	기여하/VV+ㄴ/ETM
공로가	공로/NNG+가/JKS
