“‘사실왜곡’한	“‘/SL+사실왜/NNG+곡’하/VV+ㄴ/ETM
복지부	복지부/NNG
장관	장관/NNG
공식	공식/NNG
사과하라”	사과하/VV+라/EC+”/SN

장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
부양의무자	부양의무자/NNG
기준	기준/NNG
때문에	때문/NNB+에/JKB
기초생활수급	기초생활수급/NNG
대상에서	대상/NNG+에서/JKB
탈락하자	탈락하/VV+자/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
경남	경남/NNP
거제의	거제/NNP+의/JKG
70대	70/SN+대/NNB
할머니의	할머니/NNG+의/JKG
사례에	사례/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보건복지부의	보건복지부/NNG+의/JKG
거짓	거짓/NNG
해명	해명/NNG
논란과	논란/NNG+과/JKB
관련,	관련/NNG+,/SP
복지부장관의	복지부장관/NNG+의/JKG
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
사과와	사과/NNG+와/JKB
함께	함께/MAG
책임자	책임자/NNG
문책을	문책/NNG+을/JKO
요구하고	요구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동(이하	공동행동/NNG+(/SS+이하/NNG
공동행동)은	공동행동/NNG+)/SS+은/JX
25일	25/SN+일/NNB
오전	오전/NNG
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
"복지부가	"/SS+복지부/NNG+가/JKS
이미	이미/MAG
다	다/MAG
알고	알/VV+고/EC
있던	있/VX+던/ETM
사실임에도	사실/NNG+이/VCP+ㅁ에도/EC
사실을	사실/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
채	채/NNB
‘마치	‘/SL+마치/MAG
고소득자	고소득/NNG+자/XSN
자녀가	자녀/NNG+가/JKS
부모를	부모/NNG+를/JKO
부양하지	부양하/VV+지/EC
않은	않/VX+은/ETM
것’처럼	것/NNB+’/SL+처럼/JKB
왜곡시켜	왜곡/NNG+시키/XSV+어/EC
해명자료를	해명자료/NNG+를/JKO
배포했다"고	배포하/VV+였/EP+다/EF+"/SS+고/JKQ
비판했다	비판하/VV+였/EP+다/EF

복지부는	복지부/NNG+는/JX
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
7대	7/SN+대/NNB
비전	비전/NNG
선언문’을	선언문’/NNG+을/JKO
발표하던	발표하/VV+던/ETM
중	중/NNB
할머니의	할머니/NNG+의/JKG
사례에	사례/NNG+에/JKB
대해	대하/VV+여/EC
언급한	언급하/VV+ㄴ/ETM
내용에	내용/NNG+에/JKB
대해	대하/VV+여/EC
곧바로	곧바로/MAG
해명했다	해명하/VV+였/EP+다/EC

안	안/NNP
후보의	후보/NNG+의/JKG
언급	언급/NNG
중	중/NNB
부양의무자인	부양의무자/NNG+이/VCP+ㄴ/ETM
사위가	사위/NNG+가/JKS
취직했지만	취직하/VV+였/EP+지만/EC
할머니를	할머니/NNG+를/JKO
돌볼	돌보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황인데도	상황/NNG+이/VCP+ㄴ데/EC+도/JX
이	이/MM
기준	기준/NNG
때문에	때문/NNB+에/JKB
기초생활수급	기초생활수급/NNG
대상에서	대상/NNG+에서/JKB
탈락했고,	탈락하/VV+였/EP+고/EC+,/SP
죽음으로	죽음/NNG+으로/JKB
이어졌다는	이어지/VV+었/EP+다는/ETM
것은	것/NNB+은/JX
사실과	사실/NNG+과/JKB
다르다는	다르/VA+다는/ETM
이유다	이유/NNG+이/VCP+다/EF

복지부는	복지부/NNG+는/JX
할머니의	할머니/NNG+의/JKG
딸과	딸/NNG+과/JC
사위의	사위/NNG+의/JKG
가구소득이	가구소득/NNG+이/JKS
월	월/NNG
810만원	810/SN+만/NR+원/NNB
수준이나	수준/NNG+이나/JX
되는	되/VV+는/ETM
고소득	고소득/NNG
가구이기	가구/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
기초생활수급	기초생활수급/NNG
대상에서	대상/NNG+에서/JKB
제외된	제외되/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

하지만	하지만/MAJ
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
남윤인순	남윤인순/NNP
