노인전문요양병원	노인전문요양병원/NNG
부당청구	부당청구/NNG
천태만상	천태만상/NNG

전국의	전국/NNG+의/JKG
노인전문요양병원이	노인전문요양병원/NNG+이/JKS
건강보험을	건강보험/NNG+을/JKO
부당청구	부당청구/NNG
하는	하/VV+는/ETM
사례가	사례/NNG+가/JKS
지속적으로	지속적/NNG+으로/JKB
증가하고	증가하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
이목희	이목희/NNP
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
국민건강보험공단으로부터	국민건강보험공단/NNG+으로부터/JKB
받은	받/VV+은/ETM
‘노인전문요양병원의	‘/SL+노인전문요양병원/NNG+의/JKG
건강보험	건강보험/NNG
부당청구	부당청구/NNG
환수금	환수금/NNG
시·도별	시/NNG+·/SP+도/NNG+별/XSN
현황’에	현황/NNG+’/SL+에/JKB
따르면,	따르/VV+면/EC+,/SP
2009년	2009/SN+년/NNB
부당청구	부당/NNP+청구/NNG
명세서	명세서/NNG
건수가	건수/NNG+가/JKS
6만1542건에서	6/SN+만/NR+1542/SN+건/NNB+에서/JKB
2011년	2011/SN+년/NNB
17만3078건으로	17/SN+만/NR+3078/SN+건/NNB+으로/JKB
2	2/SN

8배	8/SN+배/NNG
증가한	증가하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
4일	4/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
부당	부당/NNG
청구된	청구/NNG+되/XSV+ㄴ/ETM
금액도	금액/NNG+도/JX
43억원에서	43/SN+억/NR+원/NNB+에서/JKB
420억원으로	420/SN+억/NR+원/NNB+으로/JKB
9	9/SN

7배	7/SN+배/NNG
이상이나	이상/NNG+이나/JX
늘어났다	늘어나/VV+았/EP+다/EC

특히	특히/MAG
17개	17/SN+개/NNB
시·도	시/NNG+·/SP+도/NNG
중	중/NNB
부당	부당/NNG
청구	청구/NNG
금액이	금액/NNG+이/JKS
가장	가장/MAG
급증한	급증하/VV+ㄴ/ETM
지역은	지역/NNG+은/JX
광주시	광주시/NNP
소재지	소재지/NNG
병원들로	병원/NNG+들/XSN+로/JKB
부당	부당/NNG
청구	청구/NNG
환수금의	환수금/NNG+의/JKG
액수가	액수/NNG+가/JKS
2009년	2009/SN+년/NNB
2000만원에서	2000/SN+만/NR+원/NNB+에서/JKB
2011년	2011/SN+년/NNB
65억으로	65/SN+억/NR+으로/JKB
무려	무려/MAG
320배나	320/SN+배/NNG+나/JX
늘어났다	늘어나/VV+았/EP+다/EC

2011년에	2011/SN+년/NNB+에/JKB
가장	가장/MAG
높은	높/VA+은/ETM
액수의	액수/NNG+의/JKG
부당	부당/NNG
청구	청구/NNG
환수	환수/NNG
조치를	조치/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
병원들의	병원/NNG+들/XSN+의/JKG
소재지는	소재지/NNG+는/JX
부산광역시로	부산광역시/NNP+로/JKB
건수는	건수/NNG+는/JX
8930건에서	8930/SN+건/NNB+에서/JKB
2만1278건으로	2/SN+만/NR+1278/SN+건/NNB+으로/JKB
2	2/SN

5배,	5/SN+배/NNG+,/SP
금액은	금액/NNG+은/JX
5억에서	5/SN+억/NR+에서/JKB
81억으로	81/SN+억/NR+으로/JKB
16배나	16/SN+배/NNG+나/JX
증가했다	증가하/VV+였/EP+다/EC
