한센인들	한센인/NNG+들/XSN
두	두/MM
번	번/NNB
죽이는	죽이/VV+는/ETM
‘보건복지부’	‘/SN+보건복지부/NNG+’/SN

과거	과거/NNG
한센인에게	한센인/NNG+에게/JKB
단종	단종/NNG
수술	수술/NNG
등	등/NNB
비인도적인	비/XPN+인도적/NNG+이/VCP+ㄴ/ETM
차별과	차별/NNG+과/JC
학대를	학대/NNG+를/JKO
행한	행하/VV+ㄴ/ETM
국가가	국가/NNG+가/JKS
또	또/MAG
다시	다시/MAG
마음의	마음/NNG+의/JKG
상처를	상처/NNG+를/JKO
주고	주/VV+고/EC
있다는	있/VX+다는/ETM
주장이	주장/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

5일	5/SN+일/NNB
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
이언주	이언주/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
보건복지부	보건복지부/NNG
감사관실이	감사관실/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
30일부터	30/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
3일까지	3/SN+일/NNB+까지/JX
5일간	5/SN+일/NNB+간/XSN
국립소록도병원에	국립소록도병원/NNP+에/JKB
대해	대하/VV+여/EC
실시한	실시하/VV+ㄴ/ETM
자체감사를	자체감사/NNG+를/JKO
문제	문제/NNG
삼았다	삼/VV+았/EP+다/EF

한센인이	한센인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
배우자	배우자/NNG
및	및/MAG
자녀에	자녀/NNG+에/JKB
대해	대하/VV+여/EC
소록도병원의	소록도병원/NNP+의/JKG
운영규칙에	운영규칙/NNG+에/JKB
따라	따르/VV+아/EC
한센인만이	한센/NNP+인/XSN+만/JX+이/JKS
마을(병동)에	마을/NNG+(/SS+병동/NNG+)/SS+에/JKB
거주해야	거주하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
“관련	“/SN+관련/NNG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
비한센인을	비한센인/NNG+을/JKO
퇴거시키거나,	퇴거/NNG+시키/XSV+거나/EC+,/SP
한센인과의	한센인/NNG+과/JKB+의/JKG
