‘들쑥날쑥’	‘/SL+들/XSN+쑥날쑥/MAG+’/SL
장애인	장애인/NNG
전동보장구	전동보장구/NNG
지원정책	지원정책/NNG

장애인	장애인/NNG
이동권	이동/NNG+권/XSN
증진에	증진/NNG+에/JKB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
전동보장구인	전동보장구/NNG+이/VCP+ㄴ/ETM
전동휠체어와	전동휠체어/NNG+와/JC
전동스쿠터의	전동스쿠터/NNG+의/JKG
지원정책이	지원정책/NNG+이/JKS
형평성에	형평성/NNG+에/JKB
어긋난다는	어긋나/VV+ㄴ다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
양승조	양승조/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
4일	4/SN+일/NNB
건강보험공단으로부터	건강보험공단/NNG+으로부터/JKB
받은	받/VV+은/ETM
자료를	자료/NNG+를/JKO
언급하며,	언급하/VV+며/EC+,/SP
이	이/NP
같이	같이/MAG
밝혔다	밝히/VV+었/EP+다/EC

양	양/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
이후	이후/NNG
정부가	정부/NNG+가/JKS
장애인에게	장애인/NNG+에게/JKB
지원하는	지원하/VV+는/ETM
전동휠체어와	전동휠체어/NNG+와/JC
전동스쿠터의	전동스쿠터/NNG+의/JKG
지급건수는	지급건수/NNG+는/JX
현재까지	현재/NNG+까지/JX
각각	각각/MAG
3만5425건,	3/SN+만/NR+5425/SN+건/NNB+,/SP
4만3180건으로	4/SN+만/NR+3180/SN+건/NNB+으로/JKB
총	총/MM
7만8605건이다	7/SN+만/NR+8605/SN+건/NNB+이/VCP+다/EC

전동휠체어가	전동휠체어/NNG+가/JKS
전자의료기기	전자의료기기/NNG
기준	기준/NNG
규격	규격/NNG
상	상/XSN
B형으로	B/SL+형/XSN+으로/JKB
실내외	실내/NNG+외/NNB
겸용인	겸용/NNG+이/VCP+ㄴ/ETM
반면	반면/NNG
전동스쿠터는	전동스쿠터/NNG+는/JX
C형인	C/SL+형/XSN+이/VCP+ㄴ/ETM
실외용으로	실외/NNG+용/XSN+으로/JKB
크기와	크기/NNG+와/JC
기능에서	기능/NNG+에서/JKB
차이가	차이/NNG+가/JKS
있다	있/VA+다/EC

하지만	하지만/MAJ
복지부나	복지부/NNG+나/JC
건강보험공단에는	건강보험공단/NNG+에/JKB+는/JX
실외용인	실외/NNG+용/XSN+이/VCP+ㄴ/ETM
전동스쿠터를	전동스쿠터/NNG+를/JKO
안전하게	안전하/VA+게/EC
보관할	보관하/VV+ㄹ/ETM
장소가	장소/NNG+가/JKS
없다	없/VA+다/EF

전동스쿠터는	전동스쿠터/NNG+는/JX
크기가	크기/NNG+가/JKS
커서	크/VA+어서/EC
실내에서	실내/NNG+에서/JKB
이용하기	이용하/VV+기/ETN
번거로우며	번거롭/VA+으며/EC
고시된	고시되/VV+ㄴ/ETM
기준가격이	기준가격/NNG+이/JKS
167만원에	167/SN+만/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
고가품으로	고가품/NNG+으로/JKB
불가피하게	불가피하/VA+게/EC
실외에	실외/NNG+에/JKB
세워두고,	세우/VV+어/EC+두/VX+고/EC+,/SP
실내에	실내/NNG+에/JKB
볼	보/VV+ㄹ/ETM
일을	일/NNG+을/JKO
봐야하는	보/VV+아야/EC+하/VX+는/ETM
경우	경우/NNG
도난의	도난/NNG+의/JKG
위험이	위험/NNG+이/JKS
따른다	따르/VV+ㄴ다/EF

특히	특히/MAG
장애인	장애인/NNG
전동휠체어와	전동휠체어/NNG+와/JC
전동스쿠터의	전동스쿠터/NNG+의/JKG
경우	경우/NNG
세금부과에	세금부과/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
있다	있/VA+다/EC

전동휠체어와	전동휠체어/NNG+와/JC
전동스쿠터	전동스쿠터/NNG
지급결정은	지급결정/NNG+은/JX
약간의	약간/NNG+의/JKG
상지기능	상지기능/NNG
차이로	차이/NNG+로/JKB
결정됨에도	결정되/VV+ㅁ에/EC+도/JX
전동휠체어는	전동휠체어/NNG+는/JX
부가세와	부가세/NNG+와/JC
수입	수입/NNG
시	시/NNG
관세가	관세/NNG+가/JKS
면제되는	면제되/VV+는/ETM
반면	반면/NNG
전동스쿠터는	전동스쿠터/NNG+는/JX
모두	모두/MAG
과세	과세/NNG
부과대상인	부과대상/NNG+이/VCP+ㄴ/ETM
것	것/NNB

아울러	아울러/MAG
