장애인공단,	장애인공단/NNG+,/SP
'the	'/SS+the/SL
편한	편하/VA+ㄴ/ETM
일터'	일터/NNG+'/SS
사업	사업/NNG
추진	추진/NNG

한국장애인고용공단(이사장	한국장애인고용공단/NNP+(/SS+이사장/NNG
이성규,	이성규/NNP+,/SP
이하	이하/NNG
공단)이	공단/NNG+)/SS+이/JKS
사업체의	사업체/NNG+의/JKG
편의시설	편의시설/NNG
설치	설치/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
‘the	‘the/SL
편한	편하/VA+ㄴ/ETM
일터’	일터/NNG+’/JKB
만들기	만들/VV+기/ETN
사업을	사업/NNG+을/JKO
추진한다	추진하/VV+ㄴ다/EF

‘편한	‘/SL+편하/VA+ㄴ/ETM
일터’는	일터’/NNG+는/JX
‘편의시설을	‘/SN+편의시설/NNG+을/JKO
설치한	설치하/VV+ㄴ/ETM
일터’라는	일터’/NNG+이/VCP+라는/ETM
뜻으로,	뜻/NNG+으로/JKB+,/SP
편의시설	편의시설/NNG
설치를	설치/NNG+를/JKO
통해	통하/VV+여/EC
더	더/MAG
편한	편하/VA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

장애인	장애인/NNG
근로자가	근로자/NNG+가/JKS
근무하거나	근무하/VV+거나/EC
근무	근무/NNG
하게	하/VV+게/EC
되는	되/VV+는/ETM
업무시설이나	업무시설/NNG+이나/JC
공장	공장/NNG
등	등/NNB
시설물에	시설물/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
편의시설의	편의시설/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
진단한	진단하/VV+ㄴ/ETM
뒤	뒤/NNG
개선	개선/NNG
방법을	방법/NNG+을/JKO
제시하는	제시하/VV+는/ETM
컨설팅	컨설팅/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
사업이다	사업/NNG+이/VCP+다/EC

공단은	공단/NNG+은/JX
효율적인	효율적/NNG+이/VCP+ㄴ/ETM
사업	사업/NNG
추진을	추진/NNG+을/JKO
위해	위하/VV+여/EC
편의시설	편의시설/NNG
전문가	전문가/NNG
채용했으며,	채용하/VV+였/EP+으며/EC+,/SP
‘편한	‘/SN+편하/VA+ㄴ/ETM
일터	일터/NNG
만들기	만들/VV+기/ETN
지원단’을	지원/NNG+단/XSN+’/SL+을/JKO
구성해	구성하/VV+여/EC
전문가가	전문가/NNG+가/JKS
방문	방문/NNG
또는	또는/MAG
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+여/EC
편의시설	편의시설/NNG
컨설팅을	컨설팅/NNG+을/JKO
실시할	실시하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

또한	또한/MAG
올해	올해/NNG
말까지	말/NNB+까지/JX
사업주가	사업주/NNG+가/JKS
편의시설을	편의시설/NNG+을/JKO
자기진단	자기/NP+진단/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
서비스를	서비스/NNG+를/JKO
개발하고,	개발하/VV+고/EC+,/SP
편의시설	편의시설/NNG
설치에	설치/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
정보를	정보/NNG+를/JKO
사업주가	사업주/NNG+가/JKS
쉽게	쉽/VA+게/EC
얻을	얻/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
설치	설치/NNG
가이드와	가이드/NNG+와/JC
전문시공	전문시공/NNG
사업체	사업체/NNG
명단	명단/NNG
등	등/NNB
관련	관련/NNG
정보	정보/NNG
제공을	제공/NNG+을/JKO
확대해	확대하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이성규	이성규/NNP
공단	공단/NNG
이사장은	이사장/NNG+은/JX
“이번	“/SN+이번/NNG
the	the/SL
편한	편하/VA+ㄴ/ETM
일터	일터/NNG
만들기	만들/VV+기/ETN
사업으로	사업/NNG+으로/JKB
그동안	그동안/NNG
편의시설	편의시설/NNG
문제로	문제/NNG+로/JKB
인해	인하/VV+여/EC
취업에	취업/NNG+에/JKB
제한을	제한/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
진출할	진출하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사업체가	사업체/NNG+가/JKS
확대되어	확대되/VV+어/EC
장애인	장애인/NNG
일자리	일자리/NNG
창출과	창출/NNG+과/JC
고용안정에	고용안정/NNG+에/JKB
기여할	기여하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
기대감을	기대감/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF

장애인	장애인/NNG
근로자를	근로자/NNG+를/JKO
위해	위하/VV+여/EC
사업장	사업장/NNG
편의시설	편의시설/NNG
개선에	개선/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
사업주는	사업주/NNG+는/JX
1588-1519로	1588/SN+-/SO+1519/SN+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF
