50세이상	50/SN+세/NNB+이상/NNG
연금보험료	연금보험료/NNG
선납기간	선납기간/NNG
5년으로	5/SN+년/NNB+으로/JKB
확대	확대/NNG

앞으로	앞/NNG+으로/JKB
연금보험료	연금보험료/NNG
선납신청	선납신청/NNG
당시	당시/NNG
50세	50/SN+세/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
사람은	사람/NNG+은/JX
선납기간이	선납기간/NNG+이/JKS
5년으로	5/SN+년/NNB+으로/JKB
확대된다	확대되/VV+ㄴ다/EF

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
26일	26/SN+일/NNB
국무회의에서	국무회의/NNG+에서/JKB
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
주요	주요/NNG
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
국민연금법	국민연금법/NNG
시행령	시행령/NNG
일부개정령안을	일부개정령안/NNG+을/JKO
의결했다고	의결하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

정부는	정부/NNG+는/JX
지난해	지난해/NNG
12월31일	12/SN+월/NNB+31/SN+일/NNB
개정된	개정되/VV+ㄴ/ETM
국민연금법에	국민연금법/NNG+에/JKB
따라	따르/VV+아/EC
법률에서	법률/NNG+에서/JKB
위임된	위임되/VV+ㄴ/ETM
사항을	사항/NNG+을/JKO
하위법령에	하위법령/NNG+에/JKB
규정하고	규정하/VV+고/EC
기타	기타/NNG
현행	현행/NNG
제도의	제도/NNG+의/JKG
개선사항에	개선사항/NNG+에/JKB
보완이	보완/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단했다	판단하/VV+였/EP+다/EC

개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
시·군·구청장이	시/NNG+·/SP+군/NNG+·/SP+구청장/NNG+이/JKS
거주불명으로	거주불명/NNG+으로/JKB
등록한	등록하/VV+ㄴ/ETM
뒤	뒤/NNG
1년이	1/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
사람이나	사람/NNG+이나/JC
경찰서장이	경찰서/NNG+장/XSN+이/JKS
가출	가출/NNG
또는	또는/MAG
실정	실정/NNG
신고를	신고/NNG+를/JKO
접수한지	접수하/VV+ㄴ/ETM+지/NNB
1년이	1/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
사람	사람/NNG
등에게는	등/NNB+에게/JKB+는/JX
미지급	미지급/NNG
급여	급여/NNG
및	및/MAG
사망일시금을	사망일시금/NNG+을/JKO
지급하지	지급하/VV+지/EC
않도록	않/VX+도록/EC
했다	하/VX+였/EP+다/EC

또	또/MAG
연금보험료의	연금보험료/NNG+의/JKG
선납신청	선납신청/NNG
당시	당시/NNG
50세	50/SN+세/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
사람에	사람/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
선납기간을	선납기간/NNG+을/JKO
현행	현행/NNG
1년에서	1/SN+년/NNB+에서/JKB
5년으로	5/SN+년/NNB+으로/JKB
연장하고	연장하/VV+고/EC
선납에	선납/NNG+에/JKB
따라	따르/VV+아/EC
감액되는	감액되/VV+는/ETM
보험료를	보험료/NNG+를/JKO
정산하는	정산하/VV+는/ETM
절차를	절차/NNG+를/JKO
정했다	정하/VV+였/EP+다/EF

연금보험료	연금보험료/NNG
지원대상이	지원대상/NNG+이/JKC
되는	되/VV+는/ETM
사업장은	사업장/NNG+은/JX
근로자	근로자/NNG
수가	수/NNG+가/JKS
10명	10/SN+명/NNB
미만인	미만/NNG+이/VCP+ㄴ/ETM
사업장으로	사업장/NNG+으로/JKB
했다	하/VV+였/EP+다/EC

사용자와	사용자/NNG+와/JC
근로자가	근로자/NNG+가/JKS
각각	각각/MAG
부담하는	부담하/VV+는/ETM
연금보험료의	연금보험료/NNG+의/JKG
2분의	2/SN+분/XSN+의/JKG
1범위에서	1/SN+범위/NNG+에서/JKB
복지부장관이	복지부장관/NNG+이/JKS
고용부	고용부/NNG
장관과	장관/NNG+과/JKB
협의해	협의하/VV+여/EC
고시하도록	고시하/VV+도록/EC
하고	하/VX+고/EC
지원금의	지원금/NNG+의/JKG
환수방법에	환수방법/NNG+에/JKB
관해	관하/VV+여/EC
급여	급여/NNG
환수규정을	환수규정/NNG+을/JKO
준용하도록	준용하/VV+도록/EC
했다	하/VX+였/EP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
수급자에	수급자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확인조사는	확인조사/NNG+는/JX
수급권	수급권/NNG
변경	변경/NNG
또는	또는/MAG
소멸의	소멸/NNG+의/JKG
확인	확인/NNG
필요한	필요하/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
현장	현장/NNG
조사나	조사/NNG+나/JC
전화·우편	전화/NNG+·/SP+우편/NNG
또는	또는/MAG
연간조사계획에서	연간조사계획/NNG+에서/JKB
정한	정하/VV+ㄴ/ETM
방법에	방법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
조사를	조사/NNG+를/JKO
실시하도록	실시하/VV+도록/EC
했다	하/VX+였/EP+다/EC

한편	한편/MAG
이날	이날/NNG
국무회의에서는	국무회의/NNG+에서/JKB+는/JX
법인·단체	법인/NNG+·/SP+단체/NNG
등이	등/NNB+이/JKS
설치하는	설치하/VV+는/ETM
어린이집,	어린이집/NNG+,/SP
가정어린이집	가정어린이집/NNG
및	및/MAG
민간어린이집에서도	민간어린이집/NNG+에서/JKB+도/JX
맞벌이,	맞벌이/NNG+,/SP
다자녀	다자녀/NNG
가구의	가구/NNG+의/JKG
자녀를	자녀/NNG+를/JKO
우선	우선/MAG
입소시킬	입소/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
영유아보육법	영유아보육법/NNG
시행령	시행령/NNG
개정안이	개정안/NNG+이/JKS
함께	함께/MAG
처리됐다	처리되/VV+었/EP+다/EF
