"전문병원	"/SS+전문병원/NNG
마크를	마크/NNG+를/JKO
꼭	꼭/MAG
확인하세요"	확인하/VV+세요/EF+"/SS

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)가	복지부/NNG+)/SS+가/JKS
국민들이	국민/NNG+들/XSN+이/JKS
지정	지정/NNG
전문병원을	전문병원/NNG+을/JKO
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
전문병원	전문병원/NNG
마크를	마크/NNG+를/JKO
제작,	제작/NNG+,/SP
배포했다	배포하/VV+였/EP+다/EC

전문병원	전문병원/NNG
마크는	마크/NNG+는/JX
복지부	복지부/NNG
지정임을	지정/NNG+이/VCP+ㅁ/ETN+을/JKO
표시하기	표시하/VV+기/ETN
위해	위하/VV+여/EC
복지부마크의	복지부마크/NNG+의/JKG
색상을	색상/NNG+을/JKO
사용했으며,	사용하/VV+였/EP+으며/EC+,/SP
‘전문의료서비스,	‘/SL+전문의료서비스/NNG+,/SP
신뢰,	신뢰/NNG+,/SP
세계화,	세계화/NNG+,/SP
합리적	합리적/NNG
가격’이라는	가격’/NNG+이/VCP+라는/ETM
전문병원의	전문병원/NNG+의/JKG
핵심적	핵심적/NNG
가치를	가치/NNG+를/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

그간	그간/NNG
전문병원이라는	전문병원/NNG+이/VCP+라는/ETM
표현이	표현/NNG+이/JKS
전문병원	전문병원/NNG
제도	제도/NNG
도입	도입/NNG
후에도	후/NNG+에/JKB+도/JX
일부	일부/NNG
비지정	비/XPN+지정/NNG
의료기관에서	의료기관/NNG+에서/JKB
남발되어	남발되/VV+어/EC
국민들의	국민/NNG+들/XSN+의/JKG
혼란을	혼란/NNG+을/JKO
야기한	야기하/VV+ㄴ/ETM
측면이	측면/NNG+이/JKS
있었으나,	있/VA+었/EP+으나/EC+,/SP
전문병원	전문병원/NNG
마크	마크/NNG
배포를	배포/NNG+를/JKO
통해	통하/VV+여/EC
국민들이	국민/NNG+들/XSN+이/JKS
복지부	복지부/NNG
지정	지정/NNG
전문병원을	전문병원/NNG+을/JKO
쉽게	쉽/VA+게/EC
구별해	구별하/VV+여/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대된다	기대되/VV+ㄴ다/EF

복지부는	복지부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
5일부터	5/SN+일/NNB+부터/JX
의료광고	의료광고/NNG
사전	사전/NNG
심의대상이	심의대상/NNG+이/JKS
인터넷매체	인터넷매체/NNG
등으로	등/NNB+으로/JKB
확대됨에	확대되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
전문병원	전문병원/NNG
명칭의	명칭/NNG+의/JKG
부적절한	부적절하/VA+ㄴ/ETM
사용을	사용/NNG+을/JKO
규제할	규제하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
