복지부,	복지부/NNG+,/SP
안철수	안철수/NNP
‘할머니	‘/SL+할머니/NNG
자살’	자살/NNG+’/SL
언급에	언급/NNG+에/JKB
반박	반박/NNG

보건복지부가	보건복지부/NNG+가/JKS
무소속	무소속/NNG
안철수	안철수/NNP
대통령	대통령/NNG
후보의	후보/NNG+의/JKG
거제	거제/NNP
이씨(78세)	이/NNP+씨/NNB+(/SS+78/SN+세/NNB+)/SS
할머니	할머니/NNG
기초생활수급대상	기초생활수급대상/NNG
제외	제외/NNG
언급과	언급/NNG+과/JKB
관련해	관련하/VV+여/EC
‘사실과	‘/SN+사실/NNG+과/JKB
다르다’며	다르다’/VV+며/EC
반박하고	반박하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

보건복지부는	보건복지부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
보도설명	보도설명/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
이씨는	이/NNP+씨/NNB+는/JX
각종	각종/NNG
소득·재산	소득/NNG+·/SP+재산/NNG
자료의	자료/NNG+의/JKG
자동	자동/NNG
연계에	연계/NNG+에/JKB
따라	따르/VV+아/EC
부양의무자의	부양의무자/NNG+의/JKG
상시소득이	상시소득/NNG+이/JKS
드러나	드러나/VV+아/EC
기초생활수급	기초생활수급/NNG
자격이	자격/NNG+이/JKS
중지된	중지되/VV+ㄴ/ETM
사례라고	사례/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

부양의무자의	부양의무자/NNG+의/JKG
소득수준이	소득수준/NNG+이/JKS
매우	매우/MAG
높은	높/VA+은/ETM
점,	점/NNG+,/SP
가족	가족/NNG
간	간/NNB
지속적	지속적/NNG
왕래로	왕래/NNG+로/JKB
부양관계가	부양관계/NNG+가/JKS
유지되고	유지되/VV+고/EC
있는	있/VX+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려할	고려하/VV+ㄹ/ETM
때	때/NNG
탄력적	탄력적/NNG
보호기준에	보호기준/NNG+에/JKB
해당하기	해당하/VV+기/ETN
어려웠던	어렵/VA+었/EP+던/ETM
사례로	사례/NNG+로/JKB
파악됐다는	파악되/VV+었/EP+다는/ETM
것	것/NNB

앞서	앞서/MAG
안	안/NNP
후보는	후보/NNG+는/JX
‘7대	‘/SL+7/SN+대/NNG
비전	비전/NNG
선언문’을	선언문’/NNG+을/JKO
발표,	발표/NNG+,/SP
8월	8/SN+월/NNB
거제에서	거제/NNG+에서/JKB
부양의무자	부양의무자/NNG
기준으로	기준/NNG+으로/JKB
인해	인하/VV+여/EC
기초수급	기초수급/NNG
탈락	탈락/NNG
통보를	통보/NNG+를/JKO
받은	받/VV+은/ETM
이씨의	이/NNP+씨/NNB+의/JKG
음독자살	음독자살/NNG
사건을	사건/NNG+을/JKO
언급하며	언급하/VV+며/EC
부양의무자	부양의무자/NNG
기준에	기준/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장기적	장기적/NNG
폐지	폐지/NNG
입장을	입장/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF

특히	특히/MAG
안	안/NNP
후보는	후보/NNG+는/JX
“정부가	“/SL+정부/NNG+가/JKS
할	하/VV+ㄹ/ETM
일을	일/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
하지	하/VV+지/EC
말아야	말/VX+아야/EC
할	하/VX+ㄹ/ETM
일을	일/NNG+을/JKO
했기	하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
