<속보>장애인들,	</SS+속보/NNG+>/SS+장애인/NNG+들/XSN+,/SP
송도	송도/NNG
컨벤시아	컨벤시아/NNG
로비	로비/NNG
점거	점거/NNG

전국장애인차별철폐연대(이하	전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연)	전장연/NNP+)/SS
회원	회원/NNG
등	등/NNB
장애인	장애인/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
1일	1/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
50분경부터	50/SN+분/NNB+경/NNG+부터/JX
현재(3시)까지	현재/NNG+(/SS+3/SN+시/NNB+)/SS+까지/JX
‘유엔에스캅(UNESCAP)	‘/SN+유엔에스캅/NNP+(/SS+UNESCAP/SL+)/SS
장관급회의’가	장관급회의’/NNG+가/JKS
열리는	열리/VV+는/ETM
인천	인천/NNP
송도	송도/NNP
켄벤시아의	켄벤시아/NNP+의/JKG
로비를	로비/NNG+를/JKO
점거,	점거/NNG+,/SP
임채민	임채민/NNG
복지부장관	복지부장관/NNG
면담을	면담/NNG+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

전장연은	전장연/NNP+은/JX
오후	오후/NNG
1시	1/SN+시/NNB
로비에서	로비/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열어	열/VV+어/EC
임채민	임채민/NNP
복지부장관이	복지부장관/NNG+이/JKS
최근	최근/NNG
발생한	발생하/VV+ㄴ/ETM
장애인활동가	장애인활동가/NNG
김주영	김주영/NNP
씨의	씨/NNB+의/JKG
죽음에	죽음/NNG+에/JKB
대해	대하/VV+여/EC
복지	복지/NNG
당국의	당국/NNG+의/JKG
책임자로써	책임자/NNG+로써/JKB
무책임한	무책임하/VA+ㄴ/ETM
행동을	행동/NNG+을/JKO
보이고	보이/VV+고/EC
있다며	있/VX+다며/EC
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
사과를	사과/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

또한	또한/MAG
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
보장	보장/NNG
등의	등/NNB+의/JKG
대책	대책/NNG
마련을	마련/NNG+을/JKO
요구했다	요구하/VV+었/EP+다/EC

이후	이후/NNG
기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
2층에서	2/SN+층/NNG+에서/JKB
진행되는	진행되/VV+는/ETM
'유엔에스캅	'/SS+유엔/NNP+에스캅/NNG
장관급	장관급/NNG
회의'에	회의/NNG+'/SS+에/JKB
참석하고	참석하/VV+고/EC
있는	있/VX+는/ETM
임	임/NNP
장관을	장관/NNG+을/JKO
만나기	만나/VV+기/ETN
위해	위하/VV+여/EC
엘리베이터와	엘리베이터/NNG+와/JKB
에스컬레이터를	에스컬레이터/NNG+를/JKO
이용해	이용하/VV+여/EC
이동하려고	이동하/VV+려고/EC
했으나,	하/VX+였/EP+으나/EC+,/SP
대회	대회/NNG
주최	주최/NNG
측에	측/NNB+에/JKB
의해	의하/VV+여/EC
봉쇄된	봉쇄되/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

현재	현재/MAG
이들은	이/NP+들/XSN+은/JX
주최	주최/NNG
측	측/NNB
봉쇄에	봉쇄/NNG+에/JKB
대해	대하/VV+여/EC
항의하고	항의하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이를	이/NP+를/JKO
저지하는	저지하/VV+는/ETM
경호원들과의	경호원/NNG+들/XSN+과/JKB+의/JKG
몸싸움을	몸싸움/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다	있/VX+다/EC

이들은	이/NP+들/XSN+은/JX
면담이	면담/NNG+이/JKS
받아들여질	받아들이/VV+어/EC+지/VX+ㄹ/ETM
때까지	때/NNG+까지/JX
계속적인	계속적/NNG+이/VCP+ㄴ/ETM
행동에	행동/NNG+에/JKB
나선다는	나서/VV+ㄴ다는/ETM
계획이어서	계획/NNG+이/VCP+어서/EC
쉽게	쉽/VA+게/EC
상황이	상황/NNG+이/JKS
정리되진	정리되/VV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

장애인	장애인/NNG
활동가들은	활동가/NNG+들/XSN+은/JX
보건복지부	보건복지부/NNG
임채민	임채민/NNP
장관이	장관/NNG+이/JKS
故김주영씨의	故/SL+김주영/NNP+씨/NNB+의/JKG
죽음에	죽음/NNG+에/JKB
대해	대하/VV+여/EC
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
사과와	사과/NNG+와/JC
대책방안을	대책방안/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
주장하고	주장하/VV+고/EC
있다	있/VX+다/EC

현재	현재/MAG
인천	인천/NNP
송도	송도/NNP
컨벤시아	컨벤시아/NNP
1층	1/SN+층/NNG
로비	로비/NNG
모습	모습/NNG

ⓒ전국장애인차별철폐연대	ⓒ/SL+전국장애인차별철폐연대/NNG
