장애수용,	장애수용/NNG+,/SP
중도장애인	중도장애/NNG+이/VCP+ㄴ/ETM
삶	삶/NNG
만족도에	만족도/NNG+에/JKB
‘영향’	‘/SN+영향/NNG+’/SN

중도장애인의	중도장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
만족도에	만족도/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
요인으로	요인/NNG+으로/JKB
장애수용도(장애	장애수용도/NNG+(/SS+장애/NNG
인정)가	인정/NNG+)/SS+가/JKS
큰	크/VA+ㄴ/ETM
몫을	몫/NNG+을/JKO
차지하는	차지하/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

국민연금공단은	국민연금공단/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
여의도	여의도/NNP
렉싱턴호텔에서	렉싱턴/NNP+호텔/NNG+에서/JKB
제3차	제/XPN+3/SN+차/NNB
장애인정책	장애인정책/NNG
포럼을	포럼/NNG+을/JKO
개최하고	개최하/VV+고/EC
국민연금	국민연금/NNG
장애연금	장애연금/NNG
수급자	수급/NNG+자/XSN
880명을	880/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시하/VV+ㄴ/ETM
‘중도장애인의	‘/SL+중도장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
만족도에	만족도/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
요인에	요인/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구결과’를	연구결과’/NNG+를/JKO
발표했다	발표하/VV+였/EP+다/EC

이번	이번/NNG
연구는	연구/NNG+는/JX
세계보건기구가	세계보건기구/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
국제기능장애건강분류체계인	국제기능장애건강분류체계/NNG+이/VCP+ㄴ/ETM
ICF가	ICF/SL+가/JKS
제시한	제시하/VV+ㄴ/ETM
건강의	건강/NNG+의/JKG
4가지	4/SN+가지/NNB
구성요소인	구성요소/NNG+이/VCP+ㄴ/ETM
신체구조와	신체구조/NNG+와/JC
신체기능	신체기능/NNG
활동과	활동/NNG+과/JC
참여	참여/NNG
개인요인	개인/NNG+요/NNB+이/VCP+ㄴ/ETM
환경요인을	환경요인/NNG+을/JKO
토대로	토대/NNG+로/JKB
중도장애인의	중도장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
만족도에	만족도/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
요인을	요인/NNG+을/JKO
검증하기	검증하/VV+기/ETN
위해	위하/VV+여/EC
마련됐다	마련되/VV+었/EP+다/EF

중도장애인의	중도장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
만족도에	만족도/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
요인	요인/NNG
분석결과	분석결과/NNG
표	표/NNG
ⓒ국민연금공단	ⓒ/SN+국민연금공단/NNG
연구결과	연구결과/NNG
장애수용도(0	장애수용도/NNG+(/SS+0/SN

24),	24/SN+)/SS+,/SP
사회생활(0	사회생활/NNG+(/SS+0/SN

14),	14/SN+)/SS+,/SP
경제활동(0	경제활동/NNG+(/SS+0/SN

13),	13/SN+)/SS+,/SP
태도적	태도적/NNG
장애(-0	장애/NNG+(/SS+-/SO+0/SN

13),	13/SN+)/SS+,/SP
물리적	물리적/NNG
장애(0	장애/NNG+(/SS+0/SN

11)가	11/SN+)/SS+가/JKS
중도장애인의	중도장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
만족도에	만족도/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
요인들로	요인/NNG+들/XSN+로/JKB
나타났고	나타나/VV+았/EP+고/EC
그	그/MM
중	중/NNB
장애수용도가	장애수용도/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼치는	끼치/VV+는/ETM
요인으로	요인/NNG+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

국민연금공단	국민연금공단/NNP
김민수	김민수/NNP
업무이사는	업무이사/NNG+는/JX
모두	모두/MAG
발언을	발언/NNG+을/JKO
통해	통하/VV+여/EC
“최근	“/SL+최근/NNG
장애유형	장애유형/NNP
및	및/MAG
장애인복지	장애인복지/NNG
서비스	서비스/NNG
등의	등/NNB+의/JKG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
확대노력에도	확대노력/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
장애인의	장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
만족도는	만족도/NNG+는/JX
여전히	여전히/MAG
낮은	낮/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다”고	나타나/VV+았/EP+다/EC+”/SN+고/EC
설명했다	설명하/VV+었/EP+다/EC
