국립재활원	국립재활원/NNP
진료	진료/NNG
장애인	장애인/NNG
3년간	3/SN+년/NNB+간/XSN
계속	계속/MAG
감소	감소/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
이목희	이목희/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
23일	23/SN+일/NNB
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
매년	매년/MAG
장애인의	장애인/NNG+의/JKG
수는	수/NNG+는/JX
늘어나지만	늘어나/VV+지만/EC
국립재활원의	국립재활원/NNP+의/JKG
재활치료	재활치료/NNG
등	등/NNB
환자가	환자/NNG+가/JKS
줄어들고	줄어들/VV+고/EC
있어	있/VX+어/EC
재활병원을	재활병원/NNG+을/JKO
늘리고,	늘리/VV+고/EC+,/SP
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
홍보가	홍보/NNG+가/JKS
이뤄져야	이루어지/VV+어야/EC
하다고	하/VX+다고/EC
주문했다	주문하/VV+였/EP+다/EF

이	이/MM
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/NNG
3년간	3/SN+년/NNB+간/XSN
국립재활원의	국립재활원/NNP+의/JKG
장애인	장애인/NNG
진료현황은	진료현황/NNG+은/JX
2009년	2009/SN+년/NNB
5만7613명,	5/SN+만/NR+7613/SN+명/NNB+,/SP
2010년	2010/SN+년/NNB
5만1289명,	5/SN+만/NR+1289/SN+명/NNB+,/SP
2011년	2011/SN+년/NNB
4만2641명으로	4/SN+만/NR+2641/SN+명/NNB+으로/JKB
줄고	줄/VV+고/EC
있다	있/VX+다/EC

매년	매년/MAG
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
등록장애인과의	등록장애인/NNG+과/JKB+의/JKG
상황과는	상황/NNG+과/JKB+는/JX
반대다	반대/NNG+이/VCP+다/EF

최근	최근/NNG
3년간	3/SN+년/NNB+간/XSN
국립재활원의	국립재활원/NNP+의/JKG
장애인	장애인/NNG
진료	진료/NNG
현황	현황/NNG

ⓒ이목희의원실	ⓒ/SL+이목희의원/NNG+실/XSN
이처럼	이/NP+처럼/JKB
각	각/MM
지역별	지역/NNG+별/XSN
등록	등록/NNG
장애인의	장애인/NNG+의/JKG
수는	수/NNG+는/JX
지속적으로	지속적/NNG+으로/JKB
늘고	늘/VV+고/EC
있고,	있/VX+고/EC+,/SP
사정으로	사정/NNG+으로/JKB
인해	인하/VV+여/EC
등록하지	등록하/VV+지/EC
않은	않/VX+은/ETM
장애인의	장애인/NNG+의/JKG
수까지	수/NNG+까지/JX
합하면	합하/VV+면/EC
훨씬	훨씬/MAG
더	더/MAG
많을	많/VA+을/ETM
것으로	것/NNB+으로/JKB
추정되지만,	추정되/VV+지만/EC+,/SP
이들을	이/NP+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
재활시설은	재활시설/NNG+은/JX
턱없이	턱없이/MAG
부족하다	부족하/VA+다/EC

2010년을	2010/SN+년/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
전국의	전국/NNG+의/JKG
장애인의료재활시설(기존의	장애인의료재활시설/NNG+(/SS+기존/NNG+의/JKG
장애인복지시설에	장애인복지시설/NNG+에/JKB
의료시설을	의료시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
곳)은	곳/NNG+)/SS+은/JX
고작	고작/MAG
18개	18/SN+개/NNB
였다	이/VCP+었/EP+다/EF

서울	서울/NNP
4개소,	4/SN+개소/NNB+,/SP
인천·대전·경남	인천/NNP+·/SP+대전/NNP+·/SP+경남/NNP
2개소,	2/SN+개소/NNB+,/SP
강원·충북·충남·전남·경북·제주·부산·대구	강원/NNP+·/SP+충북/NNP+·/SP+충남/NNP+·/SP+전남/NNP+·/SP+경북/NNP+·/SP+제주/NNP+·/SP+부산/NNP+·/SP+대구/NNP
1개소,	1/SN+개소/NNB+,/SP
광주·울산·경기·전북은	광주/NNP+·/SP+울산/NNP+·/SP+경기/NNP+·/SP+전북/NNP+은/JX
하나도	하나/NNG+도/JX
없었다	없/VA+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
국립재활원은	국립재활원/NNP+은/JX
장애인	장애인/NNG
체육센터	체육센터/NNG
건립을,	건립/NNG+을/JKO+,/SP
복지부와	복지부/NNG+와/JC
지자체는	지자체/NNG+는/JX
6개의	6/SN+개/NNB+의/JKG
권역별	권역/NNG+별/XSN
재활전문병원을	재활전문병원/NNG+을/JKO
개원하거나	개원하/VV+거나/EC
건립	건립/NNG
중이지만,	중/NNB+이/VCP+지만/EC+,/SP
영남	영남/NNP
권역의	권역/NNG+의/JKG
경우	경우/NNG
도처에	도처/NNG+에/JKB
산재해	산재하/VV+여/EC
있는	있/VX+는/ETM
수많은	수많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하기에	이용하/VV+기/ETN+에/JKB
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
수준이다	수준/NNG+이/VCP+다/EC

