장총,	장총/NNP+,/SP
장애계에	장애/NNG+계/XSN+에/JKB
대선연대	대선연대/NNG
꾸리자	꾸리/VV+자/EC
‘제안’	‘/SL+제안/NNG+’/SN

한국장애인단체총연맹(상임대표	한국/NNP+장애인단체총연맹/NNG+(/SS+상임대표/NNG
변승일,	변승일/NNG+,/SP
이하	이하/NNG
장총)가	장총/NNP+)/SS+가/JKS
12일	12/SN+일/NNB
장애계에	장애/NNG+계/XSN+에/JKB
‘2012대선장애인연대(이하	‘/SL+2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)’	대선연대/NNG+)/SS+’/SL
구성을	구성/NNG+을/JKO
제안했다	제안하/VV+였/EP+다/EC

오는	오/VV+는/ETM
12월	12/SN+월/NNB
19일	19/SN+일/NNB
치러지는	치르/VV+어/EC+지/VX+는/ETM
대선은	대선/NNG+은/JX
장애인복지	장애인복지/NNG
인권의	인권/NNG+의/JKG
체계를	체계/NNG+를/JKO
완성하는	완성하/VV+는/ETM
중차대한	중차대하/VA+ㄴ/ETM
선거로,	선거/NNG+로/JKB+,/SP
총선에서	총선/NNG+에서/JKB
시작된	시작되/VV+ㄴ/ETM
정책선거를	정책선거/NNG+를/JKO
대선에서	대선/NNG+에서/JKB
함께	함께/MAG
완성해	완성하/VV+여/EC
장애계의	장애/NNG+계/XSN+의/JKG
현안해결과	현안해결과/NNG
정책의	정책/NNG+의/JKG
내실화를	내실화/NNG+를/JKO
이뤄야	이루/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

이에	이/NP+에/JKB
장총은	장총/NNP+은/JX
이달	이달/NNG
중	중/NNB
본격적으로	본격적/NNG+으로/JKB
대선연대를	대선연대/NNG+를/JKO
꾸려	꾸리/VV+어/EC
내년	내년/NNG
2월	2/SN+월/NNB
대통령인수위	대통령인수위/NNG
활동	활동/NNG
때까지	때/NNG+까지/JX
활동을	활동/NNG+을/JKO
이어가자는	잇/VV+어/EC+가/VX+자는/ETM
입장이다	입장/NNG+이/VCP+다/EC

권리와	권리/NNG+와/JC
욕구에	욕구/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
정책활동으로는	정책활동/NNG+으로/JKB+는/JX
장애계	장애/NNG+계/XSN
욕구	욕구/NNG
정책과제	정책과제/NNG
발표,	발표/NNG+,/SP
대선후보자	대선후보자/NNG
수용여부	수용여부/NNG
공개질의,	공개질의/NNG+,/SP
대선후보자	대선후보자/NNG
초정	초정/NNG
토론회,	토론회/NNG+,/SP
장애계	장애/NNG+계/XSN
공약	공약/NNG
on-off라인	on/SL+-/SO+off/SL+라인/NNG
홍보,	홍보/NNG+,/SP
후보자	후보자/NNG
장애인공약	장애인공약/NNG
비교·평가를	비/XPN+교/NNG+·/SP+평가/NNG+를/JKO
제시했다	제시하/VV+였/EP+다/EC

참정권	참정권/NNG
활동을	활동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
계획으로는	계획/NNG+으로/JKB+는/JX
장애인	장애인/NNG
참정권	참정권/NNG
보장	보장/NNG
및	및/MAG
선거	선거/NNG
참여	참여/NNG
촉구	촉구/NNG
기자회견,	기자회견/NNG+,/SP
장애인	장애인/NNG
참정권	참정권/NNG
보장	보장/NNG
정책건의를	정책건의/NNG+를/JKO
내놓았다	내놓/VV+았/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
사무국과	사무국/NNG+과/JC
참정권위원회,	참정권위원회/NNG+,/SP
집행위원회,	집행위원회/NNG+,/SP
공약개발위원회,	공약개발위원회/NNG+,/SP
자문위원회,	자문위원회/NNG+,/SP
지역선거연대,	지역선거연대/NNG+,/SP
공동대표단,	공동대표단/NNG+,/SP
상임대표단	상임대표단/NNG
등의	등/NNB+의/JKG
조직구성도	조직구성/NNG+도/JX
밝혔다	밝히/VV+었/EP+다/EC

장총은	장총/NNP+은/JX
“활동지원제도	“/SN+활동지원제도/NNG
등	등/NNB
각종	각종/NNG
선진복지제도가	선진복지제도/NNG+가/JKS
도입되고,	도입되/VV+고/EC+,/SP
법률이	법률/NNG+이/JKS
제정되는	제정되/VV+는/ETM
등	등/NNB
장애인복지가	장애인복지/NNG+가/JKS
양적으로	양적/NNG+으로/JKB
크게	크/VA+게/EC
확대됐지만	확대되/VV+었/EP+지만/EC
장애인의	장애인/NNG+의/JKG
현실을	현실/NNG+을/JKO
제대로	제대로/MAG
번영되지	번영되/VV+지/EC
못한	못하/VX+ㄴ/ETM
정책들은	정책/NNG+들/XSN+은/JX
나열식	나열식/NNG
복지,	복지/NNG+,/SP
전시복지를	전시복지/NNG+를/JKO
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“장애인의	“/SN+장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
질	질/NNG
향상을	향상/NNG+을/JKO
도모하기	도모하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
이번	이번/NNG
대선을	대선/NNG+을/JKO
정책선거로	정책선거/NNG+로/JKB
이끌어	이끌/VV+어/EC
장애인복지	장애인복지/NNG
정책의	정책/NNG+의/JKG
올바른	올바르/VA+ㄴ/ETM
방향을	방향/NNG+을/JKO
제시해야	제시하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
