고소득	고소득/NNG
직장인	직장인/NNG
건보료	건보/NNG+료/XSN
52만원	52/SN+만/NR+원/NNB
더	더/MAG
낸다	내/VV+ㄴ다/EF

다음달부터	다음달/NNG+부터/JX
7200만원이	7200/SN+만/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
종합소득	종합소득/NNG
직장인에게는	직장인/NNG+에게/JKB+는/JX
건보료	건보/NNG+료/XSN
월	월/NNG
52만원이	52/SN+만/NR+원/NNB+이/JKS
더	더/MAG
부과된다	부과되/VV+ㄴ다/EF

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
'국민건강보험법	'/SS+국민건강보험법/NNG
시행령	시행령/NNG
전부개정안'이	전부개정안/NNG+'/SS+이/JKS
28일	28/SN+일/NNB
국무회의를	국무회의/NNG+를/JKO
통과해	통과하/VV+여/EC
오는	오/VX+는/ETM
9월1일부터	9/SN+월/NNB+1/SN+일/NNB+부터/JX
시행될	시행되/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
개정안은	개정안/NNG+은/JX
작년말	작년/NNG+말/NNB
직장가입자	직장가입자/NNG
종합소득(소득월액보험료)에	종합소득/NNG+(/SS+소득월액보험료/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
보험료	보험료/NNG
징수와	징수/NNG+와/JC
보험료	보험료/NNG
고액·상습체납자의	고액/NNG+·/SP+상습체납자/NNG+의/JKG
명단	명단/NNG
공개	공개/NNG
등을	등/NNB+을/JKO
내용으로	내용/NNG+으로/JKB
하는	하/VV+는/ETM
‘국민건강보험법	‘/SL+국민건강보험법/NNG
전부개정법률’이	전부개정법률/NNG+’/SL+이/JKS
개정됨에	개정되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
소득월액보험료의	소득월액보험료/NNG+의/JKG
부과기준	부과기준/NNG
및	및/MAG
체납자의	체납자/NNG+의/JKG
인적사항	인적사항/NNG
공개에	공개/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항	사항/NNG
등	등/NNB
동법에서	동법/NNG+에서/JKB
위임한	위임하/VV+ㄴ/ETM
사항과	사항/NNG+과/JC
그	그/MM
시행에	시행/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
사항을	사항/NNG+을/JKO
정했다	정하/VV+였/EP+다/EF

먼저	먼저/MAG
직장가입자	직장가입자/NNG
소득월액보험료	소득월액보험료/NNG
부과대상을	부과대상/NNG+을/JKO
종합소득이	종합소득/NNG+이/JKS
연간	연간/NNG
7200만원을	7200/SN+만/NR+원/NNB+을/JKO
넘는	넘/VV+는/ETM
고소득자로	고소득자/NNG+로/JKB
