복지부,	복지부/NNG+,/SP
장애인복지법	장애인복지법/NNG
개정	개정/NNG
찬반	찬반/NNG
즉답	즉답/NNG
회피	회피/NNG

보건복지부가	보건복지부/NNG+가/JKS
‘장애인복지법	‘/SN+장애인복지법/NNG
개정’과	개정’/NNG+과/JKB
관련,	관련/NNG+,/SP
국회에	국회/NNG+에/JKB
검토의견서를	검토의견/NNG+서/XSN+를/JKO
제출하기	제출하/VV+기/ETN
위해	위하/VV+여/EC
내부적으로	내부적/NNG+으로/JKB
검토	검토/NNG
중에	중/NNB+에/JKB
있다며	있/VA+다며/EC
개정에	개정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬반	찬반/NNG
여부는	여부/NNG+는/JX
즉답을	즉답/NNG+을/JKO
회피했다	회피하/VV+였/EP+다/EC

한국장애인단체총연합회와	한국장애인단체총연합회/NNP+와/JC
한국장애인자립생활센터총연합회(이하	한국장애인자립생활센터총연합회/NNP+(/SS+이하/NNG
한자연)의	한자연/NNP+)/SS+의/JKG
대표단은	대표단/NNG+은/JX
16일	16/SN+일/NNB
오후	오후/NNG
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
‘중증장애인의	‘/SN+중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정	개정/NNG
촉구	촉구/NNG
제2차	제/XPN+2/SN+차/NNB
화요집회’를	화요집회/NNG+’/SL+를/JKO
진행하던	진행하/VV+던/ETM
중	중/NNB
복지부와	복지부/NNG+와/JC
면담을	면담/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

면담에는	면담/NNG+에/JKB+는/JX
장애인단체	장애인단체/NNG
대표로	대표/NNG+로/JKB
한자연	한자연/NNP
원종필	원종필/NNP
사무총장,	사무총장/NNG+,/SP
전남도	전남/NNP+도/NNG
순천장애인자립생활센터	순/MM+천장애인자립생활센터/NNG
김철호	김철호/NNP
소장,	소장/NNG+,/SP
광주광역시	광주광역시/NNP
우리이웃장애인자립생활센터	우리/NP+이웃장애인자립생활센터/NNG
주숙자	주숙자/NNG
소장	소장/NNG
등	등/NNB
4명이,	4/SN+명/NNB+이/JKS+,/SP
복지부에서는	복지부/NNG+에서/JKB+는/JX
장애인권익지원과	장애인권익지원/NNG+과/JC
차현미	차현미/NNP
과장,	과장/NNG+,/SP
이주현	이주현/NNP
서기관이	서기관/NNG+이/JKS
함께했다	함께하/VV+였/EP+다/EC

이번	이번/NNG
면담은	면담/NNG+은/JX
지난달	지난달/NNG
24일	24/SN+일/NNB
새누리당	새누리당/NNP
김정록	김정록/NNP
국회의원이	국회의원/NNG+이/JKS
발의한	발의하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정안에	개정안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복지부의	복지부/NNG+의/JKG
개정	개정/NNG
의지를	의지/NNG+를/JKO
묻는	묻/VV+는/ETM
자리였다	자리/NNG+이/VCP+었/EP+다/EF

개정안에는	개정안/NNG+에/JKB+는/JX
자립생활	자립생활/NNG
이념	이념/NNG
장애인정책종합계획에	장애인정책종합계획/NNG+에/JKB
자립생활	자립생활/NNG
포함	포함/NNG
공공주택	공공주택/NNG
우선	우선/NNG
분양	분양/NNG
및	및/MAG
임대	임대/NNG
장애인복지시설에	장애인복지시설/NNG+에/JKB
장애인자립생활시설(센터)	장애인자립생활시설/NNG+(/SS+센터/NNG+)/SS
포함	포함/NNG
등을	등/NNB+을/JKO
