장애인	장애인/NNG
부당	부당/NNG
지급	지급/NNG
수당·교육비	수당/NNG+·/SP+교육비/NNG
‘환수’	‘/SL+환수/NNG+’/SL

지원	지원/NNG
조건에	조건/NNG+에/JKB
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
장애인에게	장애인/NNG+에게/JKB
부당하게	부당하/VA+게/EC
지급된	지급되/VV+ㄴ/ETM
자녀교육비와	자녀교육비/NNG+와/JC
장애수당	장애수당/NNG
등을	등/NNB+을/JKO
국고로	국고/NNG+로/JKB
되돌려	되돌리/VV+어/EC
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
시행령	시행령/NNG
일부	일부/NNG
개정령안이	개정령안/NNG+이/JKS
국무회의를	국무회의/NNG+를/JKO
통과했다고	통과하/VV+였/EP+다고/EC
3일	3/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
거짓이나	거짓/NNG+이나/JC
부정한	부정하/VA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
자녀교육비,	자녀교육비/NNG+,/SP
장애수당	장애수당/NNG
등을	등/NNB+을/JKO
받았거나	받/VV+았/EP+거나/EC
받은	받/VV+은/ETM
사유가	사유/NNG+가/JKS
이미	이미/MAG
소멸된	소멸되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인된	확인되/VV+ㄴ/ETM
경우	경우/NNG
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
환수할	환수하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

환수가	환수/NNG+가/JKS
필요하다고	필요하/VA+다고/EC
판단되면	판단되/VV+면/EC
특별자치도지사·시장·군수·구청장은	특별자치도지사/NNG+·/SP+시장/NNG+·/SP+군수/NNG+·/SP+구청장/NNG+은/JX
환수	환수/NNG
사유,	사유/NNG+,/SP
금액,	금액/NNG+,/SP
납부기간,	납부기간/NNG+,/SP
납부기관,	납부기관/NNG+,/SP
이의	이/NP+의/JKG
신청	신청/NNG
방법	방법/NNG
등을	등/NNB+을/JKO
구체적으로	구체적/NNG+으로/JKB
밝혀	밝히/VV+어/EC
보건복지부령으로	보건복지부령/NNG+으로/JKB
정하는	정하/VV+는/ETM
환수결정	환수결정/NNG
통지서로	통지서/NNG+로/JKB
당사자에게	당사자/NNG+에게/JKB
알려야한다	알리/VV+어야/EC+하/VX+ㄴ다/EF

납부기한은	납부기한/NNG+은/JX
통지일로부터	통지일/NNG+로부터/JKB
30일이상으로	30/SN+일/NNB+이상/NNG+으로/JKB
정할	정하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

통지를	통지/NNG+를/JKO
받은	받/VV+은/ETM
사람이	사람/NNG+이/JKS
기한내	기한/NNG+내/NNB
환수금을	환수금/NNG+을/JKO
내지	내/VV+지/EC
않을	않/VX+을/ETM
경우,	경우/NNG+,/SP
특별자치도지사·시장·군수·구청장은	특별자치도지사/NNG+·/SP+시장/NNG+·/SP+군수/NNG+·/SP+구청장/NNG+은/JX
30일이상의	30/SN+일/NNB+이상/NNG+의/JKG
말미를	말미/NNG+를/JKO
주고	주/VV+고/EC
납부를	납부/NNG+를/JKO
독촉해야하며	독촉하/VV+여야/EC+하/VX+며/EC
독촉해도	독촉하/VV+여도/EC
환수가	환수/NNG+가/JKS
불가능한	불가능하/VA+ㄴ/ETM
경우는	경우/NNG+는/JX
이	이/MM
금액을	금액/NNG+을/JKO
결손으로	결손/NNG+으로/JKB
처리한다	처리하/VV+ㄴ다/EC

결손	결손/NNG
처분은	처분/NNG+은/JX
우선	우선/MAG
관할	관할/NNG
세무서	세무서/NNG
등	등/NNB
행정기관,	행정기관/NNG+,/SP
국민건강보험법에	국민건강보험법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
건강보험공단	건강보험공단/NNG
등	등/NNB
관련기관을	관련기관/NNG+을/JKO
통해	통하/VV+여/EC
체납자의	체납자/NNG+의/JKG
행방과	행방/NNG+과/JC
재산	재산/NNG
유무	유무/NNG
등을	등/NNB+을/JKO
확인한	확인하/VV+ㄴ/ETM
뒤	뒤/NNG
진행한다	진행하/VV+ㄴ다/EC

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SN+이번/NNG
개정안으로	개정안/NNG+으로/JKB
자녀교육비	자녀교육비/NNG
및	및/MAG
장애아동	장애아동/NNG
수당	수당/NNG
등이	등/NNB+이/JKS
적정하게	적정하/VA+게/EC
지급될	지급되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
관리	관리/NNG
강화했다”며	강화하/VV+였/EP+다/EC+”/VV+며/EC
“환수가	“/SW+환수/NNG+가/JKS
불가능한	불가능하/VA+ㄴ/ETM
경우	경우/NNG
결손처분의	결손처분/NNG+의/JKG
대상과	대상/NNG+과/JC
방법을	방법/NNG+을/JKO
규정해	규정하/VV+여/EC
행정의	행정/NNG+의/JKG
효율성이	효율/NNG+성/XSN+이/JKS
도모될	도모되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
기대감을	기대감/NNG+을/JKO
드러냈다	드러내/VV+었/EP+다/EF
