저소득	저소득/NNG
장애인	장애인/NNG
가정에	가정/NNG+에/JKB
연금보험료	연금보험료/NNG
지원	지원/NNG

10일	10/SN+일/NNB
국민연금공단(이하	국민연금공단/NNP+(/SS+이하/NNG
공단)은	공단/NNG+)/SS+은/JX
창립	창립/NNG
25주년을	25/SN+주년/NNB+을/JKO
맞이해	맞이하/VV+여/EC
가정	가정/NNG
형편이	형편/NNG+이/JKS
어려워	어렵/VA+어/EC
연금보험료를	연금보험료/NNG+를/JKO
내지	내/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
노령연금	노령연금/NNG
수급예정자	수급예정자/NNG
35명에게	35/SN+명/NNB+에게/JKB
총3000만원의	총/MM+3000/SN+만/NR+원/NNB+의/JKG
연금보험료를	연금보험료/NNG+를/JKO
지원했다	지원하/VV+였/EP+다/EC

지원대상자는	지원대상자/NNG+는/JX
본인	본인/NNG
또는	또는/MAG
자녀가	자녀/NNG+가/JKS
장애인복지법상	장애인복지법/NNG+상/XSN
장애	장애/NNG
1~3급에	1/SN+~/SO+3/SN+급/NNG+에/JKB
해당하는	해당하/VV+는/ETM
57세	57/SN+세/NNB
이상	이상/NNG
노령연금	노령연금/NNG
수급예정자	수급예정자/NNG
중	중/NNB
그간	그간/NNG
가정형편이	가정형편/NNG+이/JKS
어려워	어렵/VA+어/EC
연금보험료를	연금보험료/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
35명으로,	35/SN+명/NNB+으로/JKB+,/SP
공단	공단/NNG
본부의	본부/NNG+의/JKG
김민수	김민수/NNP
업무이사	업무이사/NNG
및	및/MAG
전국	전국/NNG
지사의	지사/NNG+의/JKG
임직원이	임직원/NNG+이/JKS
국민연금	국민연금/NNG
수급	수급/NNG
예정증서를	예정증서/NNG+를/JKO
전달하는	전달하/VV+는/ETM
행사를	행사/NNG+를/JKO
진행했다	진행하/VV+였/EP+다/EF

이번	이번/NNG
행사로	행사/NNG+로/JKB
35명에게	35/SN+명/NNB+에게/JKB
총	총/MM
3000여만원(3029만3950원)의	3000/SN+여/XSN+만/NR+원/NNB+(/SS+3029/SN+만/NR+3950/SN+원/NNB+)/SS+의/JKG
미납보험료가	미납보험료/NNG+가/JKS
지원되며,	지원/NNG+되/XSV+며/EC+,/SP
대상자들은	대상자/NNG+들/XSN+은/JX
향후	향후/NNG
매월	매월/MAG
17만원에서	17/SN+만/NR+원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
30만원까지	30/SN+만/NR+원/NNB+까지/JX
노령연금을	노령연금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

또한	또한/MAG
노령연금을	노령연금/NNG+을/JKO
받던	받/VV+던/ETM
중	중/NNB
사망할	사망하/VV+ㄹ/ETM
경우에	경우/NNG+에/JKB
장애2급	장애/NNG+2/SN+급/NNG
이상인	이상/NNG+이/VCP+ㄴ/ETM
자녀는	자녀/NNG+는/JX
평생	평생/NNG
동안	동안/NNG
유족연금을	유족연금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
국민연금	국민연금/NNG
수급권	수급권/NNG
확보과	확보/NNG+과/JC
장애인	장애인/NNG
자녀에	자녀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소득보장이라는	소득보장/NNG+이/VCP+라는/ETM
두	두/MM
가지	가지/NNB
효과를	효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대된다	기대되/VV+ㄴ다/EF

공단	공단/NNG
관계자는	관계자/NNG+는/JX
“앞으로도	“/SN+앞/NNG+으로/JKB+도/JX
가입자	가입자/NNG
및	및/MAG
연금수급자를	연금수급/NNG+자/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
복지서비스	복지서비스/NNG
제공을	제공/NNG+을/JKO
통해	통하/VV+여/EC
국민의	국민/NNG+의/JKG
복지	복지/NNG
증진과	증진/NNG+과/JC
권익보호에	권익보호/NNG+에/JKB
앞장설	앞장서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
