건보공단,	건보공단/NNG+,/SP
상반기	상반기/NNG
저소득세대	저/XPN+소득세대/NNG
보험료	보험료/NNG
72억원	72/SN+억/NR+원/NNB
지원	지원/NNG

국민건강보험공단은	국민건강보험공단/NNG+은/JX
기업체·사회단체·지자체	기업체/NNG+·/SP+사회단체/NNG+·/SP+지자체/NNG
등과	등/NNB+과/JKB
맺은	맺/VV+은/ETM
‘건강보험료	‘/SL+건강보험료/NNG
지원	지원/NNG
협약’	협약’/NNG
사업이	사업/NNG+이/JKS
생활이	생활/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
저소득	저소득/NNG
노인,	노인/NNG+,/SP
장애인	장애인/NNG
세대에게	세대/NNG+에게/JKB
건강보험료를	건강보험료/NNG+를/JKO
지원해	지원하/VV+여/EC
보험료	보험료/NNG
납부	납부/NNG
부담	부담/NNG
완화와	완화/NNG+와/JC
체납으로	체납/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
의료사각지대	의료사각지대/NNG
해소에	해소/NNG+에/JKB
기여하고	기여하/VV+고/EC
있다고	있/VX+다고/EC
5일	5/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2005년에	2005/SN+년/NNB+에/JKB
시작한	시작하/VV+ㄴ/ETM
건강보험료	건강보험료/NNG
지원사업은	지원사업/NNG+은/JX
올해	올해/NNG
6월말	6/SN+월말/NNB
현재	현재/MAG
217개	217/SN+개/NNB
지자체와	지자체/NNG+와/JKB
193개	193/SN+개/NNB
기업체(사회단체)	기업체/NNG+(/SS+사회단체/NNG+)/SS
등이	등/NNB+이/JKS
참여해	참여하/VV+여/EC
매월	매월/MAG
20만6000세대에게	20/SN+만/NR+6000/SN+세대/NNG+에게/JKB
12억원의	12/SN+억/NR+원/NNB+의/JKG
보험료를	보험료/NNG+를/JKO
지원하고	지원하/VV+고/EC
있다	있/VX+다/EC

특히,	특히/MAG+,/SP
지난해에는	지난해/NNG+에/JKB+는/JX
장기	장기/NNG
경기침체	경기침체/NNG
등	등/NNB
사회적으로	사회적/NNG+으로/JKB
어려운	어렵/VA+ㄴ/ETM
여건	여건/NNG
속에서도	속/NNG+에서/JKB+도/JX
전년도	전년도/NNG
대비	대비/NNG
18억8000만원이	18/SN+억/NR+8000/SN+만/NR+원/NNB+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
135억원을	135/SN+억/NR+원/NNB+을/JKO
지원했고,	지원하/VV+였/EP+고/EC+,/SP
올해	올해/NNG
상반기에는	상반기/NNG+에/JKB+는/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
7	7/SN

5%	5/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
72억원을	72/SN+억/NR+원/NNB+을/JKO
지원했다	지원하/VV+였/EP+다/EC

이에	이/NP+에/JKB
공단은	공단/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
창립	창립/NNG
12주년을	12/SN+주년/NNB+을/JKO
맞이해	맞이하/VV+여/EC
사회적	사회적/NNG
책임	책임/NNG
실천에	실천/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있는	있/VX+는/ETM
지원기관	지원기관/NNG
중	중/NNB
기업체	기업체/NNG
및	및/MAG
사회단체에	사회단체/NNG+에/JKB
감사패를	감사패/NNG+를/JKO
수여하고	수여하/VV+고/EC
건강보험료	건강보험료/NNG
지원사업에	지원사업/NNG+에/JKB
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
부탁한	부탁하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

공단	공단/NNG
관계자는	관계자/NNG+는/JX
“앞으로도	“/SN+앞/NNG+으로/JKB+도/JX
저소득계층	저소득계층/NNG
보험료	보험료/NNG
지원사업을	지원사업/NNG+을/JKO
확대	확대/NNG
추진해	추진하/VV+여/EC
보험료	보험료/NNG
체납으로	체납/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
의료혜택의	의료혜택/NNG+의/JKG
불안을	불안/NNG+을/JKO
해소하고,	해소하/VV+고/EC+,/SP
의료사각지대를	의료사각지대/NNG+를/JKO
최소화하는	최소화하/VV+는/ETM
진정한	진정하/VA+ㄴ/ETM
건강보장	건강보장/NNG
역할에	역할/NNG+에/JKB
최선을	최선/NNG+을/JKO
다할	다하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
