복지부·산하기관	복지부/NNG+·/SP+산하기관/NNG
‘웹	‘/SN+웹/NNB
접근성’	접근성’/NNG
인증	인증/NNG
‘외면’	‘/SN+외면/NNG+’/SN

보건복지부와	보건복지부/NNG+와/JC
산하기관이	산하기관/NNG+이/JKS
‘웹	‘/SN+웹/NNG
접근성’	접근성/NNG+’/SN
인증을	인증/NNG+을/JKO
외면하고	외면하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
이학영	이학영/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
13일	13/SN+일/NNB
복지부와	복지부/NNG+와/JC
식약청을	식약청/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
23개	23/SN+개/NNB
복지부	복지부/NNG
관련	관련/NNG
기관	기관/NNG
홈페이지,	홈페이지/NNG+,/SP
복지부의	복지부/NNG+의/JKG
23개	23/SN+개/NNB
사업별	사업/NNG+별/XSN
홈페이지	홈페이지/NNG
등	등/NNB
총	총/MM
46개	46/SN+개/NNB
홈페이지를	홈페이지/NNG+를/JKO
대상한	대상하/VV+ㄴ/ETM
‘웹	‘/SN+웹/NNG
접근성	접근성/NNG
조사결과’를	조사결과’/NNG+를/JKO
발표했다	발표하/VV+였/EP+다/EC

‘웹	‘/SN+웹/NNG
접근성’은	접근성’/NNG+은/JX
장애인·비장애인	장애인/NNG+·/SP+비장애/NNG+이/VCP+ㄴ/ETM
모두가	모두/NNG+가/JKS
웹	웹/NNG
사이트를	사이트/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
방식을	방식/NNG+을/JKO
말하는	말하/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
한국정보화진흥원	한국정보화진흥원/NNP
등이	등/NNB+이/JKS
평가해	평가하/VV+여/EC
인증하고	인증하/VV+고/EC
있다	있/VX+다/EC

조사결과에	조사결과/NNG+에/JKB
따르면	따르/VV+면/EC
복지부	복지부/NNG
관련기관	관련기관/NNG
홈페이지는	홈페이지/NNG+는/JX
57%(13개	57/SN+%/SW+(/SS+13/SN+개/NNB
기관),	기관/NNG+)/SS+,/SP
사업별	사업/NNG+별/XSN
홈페이지는	홈페이지/NNG+는/JX
83%(19개	83/SN+%/SW+(/SS+19/SN+개/NNB
사업)가	사업/NNG+)/SS+가/JKS
웹	웹/NNG
접근성	접근성/NNG
인증을	인증/NNG+을/JKO
받지	받/VV+지/EC
않거나	않/VX+거나/EC
인증기간이	인증기간/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

전체	전체/NNG
46곳	46/SN+곳/NNG
중	중/NNB
70%에	70/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
32곳이	32/SN+곳/NNG+이/JKS
외면하고	외면하/VV+고/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/NNP
의원은	의원/NNG+은/JX
“행정안전부의	“/SL+행정안전부/NNG+의/JKG
공공기관	공공기관/NNG
실태조사가	실태조사/NNG+가/JKS
매년	매년/MAG
실시되고	실시되/VV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
웹	웹/NNG
접근성	접근성/NNG
인증이	인증/NNG+이/JKS
여전히	여전히/MAG
낮다”면서	낮/VA+다/EC+”/VV+면서/EC
“이는	“/SL+이/VCP+는/ETM
복지부가	복지부/NNG+가/JKS
조사대상인	조사대상/NNG+이/VCP+ㄴ/ETM
대표홈페이지	대표홈페이지/NNG
관리에만	관리/NNG+에/JKB+만/JX
집중하고	집중하/VV+고/EC
있는	있/VX+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
전형적인	전형적/NNG+이/VCP+ㄴ/ETM
전시행정”이라고	전시행정”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“공공기관의	“/SL+공공기관/NNG+의/JKG
인터넷	인터넷/NNG
홈페이지는	홈페이지/NNG+는/JX
자발적이고	자발적/NNG+이/VCP+고/EC
적극적으로	적극적/NNG+으로/JKB
웹	웹/NNG
접근성	접근성/NNG
기준을	기준/NNG+을/JKO
준수해야	준수하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
장애인정책	장애인정책/NNG
주무부서인	주무부서/NNG+이/VCP+ㄴ/ETM
복지부의	복지부/NNG+의/JKG
솔선수범이	솔선수범/NNG+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하다”면서	중요하/VA+다/EC+”/VV+면서/EC
“지금부터	“/SL+지금/NNG+부터/JX
시급히	시급히/MAG
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
수립할	수립하/VV+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

한편	한편/MAG
이	이/MM
의원은	의원/NNG+은/JX
앞으로	앞/NNG+으로/JKB
보건복지	보건복지/NNG
관련	관련/NNG
홈페이지의	홈페이지/NNG+의/JKG
웹	웹/NNG
호환성을	호환성/NNG+을/JKO
조사,	조사/NNG+,/SP
발표할	발표하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
