송학식품,	송학식품/NNG+,/SP
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립	설립/NNG

40년	40/SN+년/NNB
전통식품	전통식품/NNG
제조의	제조/NNG+의/JKG
외길을	외길/NNG+을/JKO
걸어	걷/VV+어/EC
온	오/VX+ㄴ/ETM
송학식품이	송학식품/NNG+이/JKS
한국장애인고용공단과	한국/NNP+장애인고용공단/NNG+과/JKB
함께	함께/MAG
장애인	장애인/NNG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립을	설립/NNG+을/JKO
추진한다	추진하/VV+ㄴ다/EF

한국장애인고용공단과	한국/NNP+장애인고용공단/NNG+과/JC
㈜송학식품은	㈜/SW+송학식품/NNG+은/JX
지난	지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
경기도	경기도/NNP
파주에	파주/NNP+에/JKB
소재한	소재하/VV+ㄴ/ETM
(주)송학식품	(/SS+주/NNG+)/SS+송학식품/NNP
3공장에서	3/SN+공장/NNG+에서/JKB
공단	공단/NNG
이성규	이성규/NNP
이사장,	이사장/NNG+,/SP
송학식품	송학식품/NNG
성호정	성호정/NNP
회장	회장/NNG
등	등/NNB
관계자	관계자/NNG
15명이	15/SN+명/NNB+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
‘자회사형	‘/SN+자회사/NNG+형/XSN
표준사업장	표준사업장/NNG
설립	설립/NNG
협약식’을	협약/NNG+식/XSN+’/SL+을/JKO
가졌다	가지/VV+었/EP+다/EC

송학식품은	송학식품/NNG+은/JX
이번	이번/NNG
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립으로	설립/NNG+으로/JKB
장애인에게	장애인/NNG+에게/JKB
적합한	적합하/VA+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
직무를	직무/NNG+를/JKO
개발해	개발하/VV+여/EC
보다	보다/MAG
많은	많/VA+은/ETM
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이날	이날/NNG
협약식에서	협약/NNG+식/XSN+에서/JKB
공단	공단/NNG
이성규	이성규/NNP
이사장은	이사장/NNG+은/JX
“새로	“/SN+새로/MAG
설립되는	설립되/VV+는/ETM
자회사형	자회사형/NNG
표준사업장의	표준사업장/NNG+의/JKG
성공적	성공적/NNG
운영을	운영/NNG+을/JKO
위해	위하/VV+여/EC
공단의	공단/NNG+의/JKG
역량을	역량/NNG+을/JKO
최대한	최대한/NNG
동원해	동원하/VV+여/EC
지원하겠다”며	지원하/VV+겠/EP+다/EC+”/VX+며/EC
의지를	의지/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

송학식품	송학식품/NNG
성호정	성호정/NNP
회장도	회장/NNG+도/JX
“장애인들에게	“/SL+장애인/NNG+들/XSN+에게/JKB
자립의	자립/NNG+의/JKG
기반을	기반/NNG+을/JKO
마련해	마련하/VV+여/EC
주어	주/VX+어/EC
나눔과	나누/VV+ㅁ/ETN+과/JC
상생의	상생/NNG+의/JKG
경영을	경영/NNG+을/JKO
실천할	실천하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다”며	기대되/VV+ㄴ다/EC+”/VX+며/EC
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립과	설립/NNG+과/JC
운영을	운영/NNG+을/JKO
위해	위하/VV+여/EC
최선을	최선/NNG+을/JKO
다할	다하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC
