장애인공단	장애인공단/NNG
고용개발원,	고용개발/NNG+원/XSN+,/SP
‘연구윤리헌장’	‘/SL+연구윤리헌장/NNG+’/SL
선포	선포/NNG

한국장애인고용공단	한국/NNP+장애인고용공단/NNG
고용개발원(원장	고용개발/NNG+원/XSN+(/SS+원장/NNG
직무대리	직무대리/NNG
강필수,	강필수/NNP+,/SP
이하	이하/NNG
고용개발원)은	고용개발/NNG+원/XSN+)/SS+은/JX
5일	5/SN+일/NNB
회의실에서	회의실/NNG+에서/JKB
연구원의	연구원/NNG+의/JKG
윤리의식	윤리의식/NNG
고취와	고취/NNG+와/JC
바람직한	바람직하/VA+ㄴ/ETM
연구개발	연구개발/NNG
문화	문화/NNG
조성을	조성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘연구윤리헌장	‘/SL+연구윤리헌장/NNG
선포식’을	선포식/NNG+’/SL+을/JKO
가졌다	가지/VV+었/EP+다/EC

연구윤리헌장에는	연구윤리헌장/NNG+에/JKB+는/JX
장애인	장애인/NNG
고용정책연구의	고용정책연구/NNG+의/JKG
진정성과	진정/NNG+성/XSN+과/JC
사명감	사명감/NNG
촉구	촉구/NNG
규정	규정/NNG
준수	준수/NNG
공정한	공정하/VA+ㄴ/ETM
직무수행	직무수행/NNG
연구자	연구자/NNG
인격존중	인격존중/NNG
부정행위	부정행위/NNG
방지	방지/NNG
취득	취득/NNG
정보의	정보/NNG+의/JKG
비밀	비밀/NNG
준수	준수/NNG
등	등/NNB
6가지	6/SN+가지/NNB
윤리적	윤리적/NNG
준수사항이	준수사항/NNG+이/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

강필수	강필수/NNP
원장	원장/NNG
직무대리는	직무대리/NNG+는/JX
“이번	“/SL+이번/NNG
연구윤리헌장	연구윤리헌장/NNG
선포식을	선포/NNG+식/XSN+을/JKO
통해	통하/VV+여/EC
장애인	장애인/NNG
고용	고용/NNG
연구	연구/NNG
전문기관으로서의	전문기관/NNG+으로서/JKB+의/JKG
책임성과	책임성/NNG+과/JC
신뢰성을	신뢰성/NNG+을/JKO
확보하고,	확보하/VV+고/EC+,/SP
바람직한	바람직하/VA+ㄴ/ETM
연구문화를	연구문화/NNG+를/JKO
조성할	조성하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
약속했다	약속하/VV+었/EP+다/EC

한편	한편/MAG
고용개발원은	고용개발/NNG+원/XSN+은/JX
장애인고용	장애인고용/NNG
정책	정책/NNG
및	및/MAG
서비스	서비스/NNG
개발을	개발/NNG+을/JKO
주도하는	주도하/VV+는/ETM
전문	전문/NNG
연구기관이다	연구기관/NNG+이/VCP+다/EC
