발달장애청년의	발달장애청년/NNG+의/JKG
일터	일터/NNG
'나는	'/SS+나/NP+는/JX
카페'	카페/NNG+'/SS
1호점	1/SN+호/NNB+점/NNG

발달장애청년이	발달장애청년/NNG+이/JKS
바리스타로	바리스타/NNP+로/JKB
일하는	일하/VV+는/ETM
사회적	사회적/NNG
기업	기업/NNG
형태의	형태/NNG+의/JKG
커피전문점	커피전문점/NNG
'나는	'/SS+나/NP+는/JX
카페'	카페/NNG+'/SS
1호점이	1/SN+호/NNB+점/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
경기도	경기도/NNP
안산시	안산시/NNP
평생학습관	평생학습관/NNG
1층(상록구	1/SN+층/NNG+(/SS+상록구/NNP
사동	사동/NNG
1586)에	1586/SN+)/SS+에/JKB
문을	문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

경기도와	경기도/NNP+와/JC
마사회가	마사회/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
협약을	협약/NNG+을/JKO
맺고,	맺/VV+고/EC+,/SP
공동	공동/NNG
추진한	추진하/VV+ㄴ/ETM
'장애청년	'/SS+장애청년/NNG
꿈을	꿈/NNG+을/JKO
잡고(Jab	잡/VV+고/EF+(/SS+Jab/SL
Go)’	Go/SL+)/SS+’/SL
프로그램의	프로그램/NNG+의/JKG
첫	첫/MM
결실이다	결실/NNG+이/VCP+다/EC

안산시는	안산시/NNP+는/JX
평생교육관	평생교육/NNG+관/XSN
1층	1/SN+층/NNG
일부(48평)를	일부/NNG+(/SS+48/SN+평/NNB+)/SS+를/JKO
무상으로	무상/NNG+으로/JKB
제공했고,	제공하/VV+었/EP+고/EC+,/SP
마사회는	마사회/NNG+는/JX
시설	시설/NNG
설치	설치/NNG
비용으로	비용/NNG+으로/JKB
8천만원을	8/SN+천만/NR+원/NNB+을/JKO
지원했다	지원하/VV+였/EP+다/EC

경기도는	경기도/NNP+는/JX
장애청년	장애청년/NNG
커피전문점	커피전문점/NNG
창업을	창업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행정지원	행정지원/NNG
및	및/MAG
사회적	사회적/NNG
기업	기업/NNG
지정을	지정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
컨설팅	컨설팅/NNG
등을	등/NNB+을/JKO
지원했다	지원하/VV+였/EP+다/EC

1호점에는	1/SN+호/NNB+점/NNG+에/JKB+는/JX
마사회가	마사회/NNG+가/JKS
실시한	실시하/VV+ㄴ/ETM
바리스타	바리스타/NNG
교육을	교육/NNG+을/JKO
이수한	이수하/VV+ㄴ/ETM
9명의	9/SN+명/NNB+의/JKG
발달장애청년들이	발달장애청년/NNG+들/XSN+이/JKS
커피를	커피/NNG+를/JKO
직접	직접/MAG
만들어	만들/VV+어/EC
판매한다	판매하/VV+ㄴ다/EF

도와	도/NNG+와/JC
마사회는	마사회/NNG+는/JX
1호점을	1/SN+호/NNB+점/XSN+을/JKO
시작으로	시작/NNG+으로/JKB
2014년까지	2014/SN+년/NNB+까지/JX
15개소의	15/SN+개소/NNB+의/JKG
커피전문점을	커피전문점/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
100명	100/SN+명/NNB
이상의	이상/NNG+의/JKG
장애청년에게	장애청년/NNG+에게/JKB
일자리를	일자리/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
사회적	사회적/NNG
기업으로	기업/NNG+으로/JKB
인증	인증/NNG
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원할	지원하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

개소식에	개소식/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
김철민	김철민/NNP
안산시장은	안산시장/NNG+은/JX
축사를	축사/NNG+를/JKO
통해	통하/VV+여/EC
"장애인에게	"/SS+장애인/NNG+에게/JKB
가장	가장/MAG
절실하게	절실하/VA+게/EC
필요한	필요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
안정적인	안정적/NNG+이/VCP+ㄴ/ETM
일자리인	일자리/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
일자리	일자리/NNG
제공이	제공/NNG+이/JKS
장애인들에게	장애인/NNG+들/XSN+에게/JKB
최고의	최고/NNG+의/JKG
복지"라며	복지/NNG+"/SS+이/VCP+라며/EC
"‘나는	"/SS+‘/SL+나/VV+는/ETM
카페1호점’은	카페/NNG+1/SN+호/NNB+점/JX+’/SN+은/JX
지역	지역/NNG
장애청년들의	장애청년/NNG+들/XSN+의/JKG
자립에	자립/NNG+에/JKB
기여할	기여하/VV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
취약계층을	취약계층/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
생산적	생산적/NNG
복지사업의	복지사업/NNG+의/JKG
훌륭한	훌륭하/VA+ㄴ/ETM
모델로	모델/NNG+로/JKB
성장한다면,	성장하/VV+ㄴ다면/EC+,/SP
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
인식변화에	인식변화/NNG+에/JKB
좋은	좋/VA+은/ETM
본보기가	본보기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

김철민	김철민/NNP
안산시장이	안산시장/NNG+이/JKS
'나는	'/SS+나/NP+는/JX
카페'	카페/NNG+'/SS
1호점	1/SN+호점/NNG
개소식에	개소식/NNG+에/JKB
참석해	참석하/VV+여/EC
축사를	축사/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
김문수	김문수/NNP
경기도지사가	경기도/NNP+지사/NNG+가/JKS
축사를	축사/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNG
'나는	'/SS+나/NP+는/JX
카페'	카페/NNG+'/SS
1호점	1/SN+호점/NNB
제막식	제막식/NNG
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
발달장애청년	발달장애청년/NNG
바리스타가	바리스타/NNG+가/JKS
커피를	커피/NNG+를/JKO
만들고	만들/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SN+박종태/NNP
발달장애청년	발달장애청년/NNG
바리스타가	바리스타/NNG+가/JKS
커피	커피/NNG
주문을	주문/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
김문수	김문수/NNP
경기도지사(우)와	경기도/NNP+지사/NNG+(/SS+우/NNP+)/SS+와/JC
장태평	장태평/NNP
마사회	마사회/NNG
회장(좌)이	회장/NNG+(/SS+좌/NNG+)/SS+이/JKS
발달장애청년	발달장애청년/NNG
바리스타에게	바리스타/NNG+에게/JKB
애로	애로/NNG
사항을	사항/NNG+을/JKO
물어보고	물어보/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
발달장애청년	발달장애청년/NNG
바리스타와	바리스타/NNP+와/JC
가족들이	가족/NNG+들/XSN+이/JKS
'나는	'/SS+나/NP+는/JX
카페'	카페/NNG+'/SS
1호점	1/SN+호/NNB+점/NNG
개소에	개소/NNB+에/JKB
함박웃음을	함박웃음/NNG+을/JKO
짓고	짓/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
'나는	'/SS+나/NP+는/JX
카페'	카페/NNG+'/SS
1호점에서는	1/SN+호/NNB+점/NNG+에서/JKB+는/JX
