'2012	'/SS+2012/SN
장애인고용	장애인고/NNG+용/XSN
우수사업주'	우수사업주/NNG+'/SS
선정·발표	선정/NNG+·/SP+발표/NNG

한국장애인고용공단(이사장	한국장애인고용공단/NNP+(/SS+이사장/NNG
이성규,	이성규/NNP+,/SP
이하	이하/NNG
공단)은	공단/NNG+)/SS+은/JX
장애인	장애인/NNG
고용에	고용/NNG+에/JKB
모범을	모범/NNG+을/JKO
보인	보일/VV+ㄴ/EF
10개	10/SN+개/NNB
업체를	업체/NNG+를/JKO
'2012년도	'/SS+2012/SN+년/NNB+도/JX
장애인고용	장애인고/NNG+용/XSN
우수사업주'로	우수사업주/NNG+'/SS+로/JKB
선정·발표했다	선정/NNG+·/SP+발표하/VV+였/EP+다/EC

10개	10/SN+개/NNB
업체는	업체/NNG+는/JX
(주)피엘코스메틱,	(/SS+주/NNG+)/SS+피엘코스메틱/NNP+,/SP
대전광역시시설관리공단,	대전/NNP+광역시시설관리공단/NNG+,/SP
(주)제주사랑농수산,	(/SS+주/NNG+)/SS+제주사랑농수산/NNP+,/SP
IBK	IBK/SL
기업은행,	기업은행/NNP+,/SP
(주)에어코리아,	(/SS+주/NNG+)/SS+에어코리아/NNP+,/SP
실로암시각장애인복지회,	실로암/NNP+시각장애인복지회/NNG+,/SP
(주)구영테크,	(/SS+주/NNG+)/SS+구영테크/NNP+,/SP
세원정공(주),	세원정공/NNP+(/SS+주/NNG+)/SS+,/SP
(주)스태츠칩팩코리아,	(/SS+주/NNG+)/SS+스태츠칩팩코리아/NNP+,/SP
(주)한일씨엔에프다	(/SS+주/NNG+)/SS+한일씨엔에프다/NNP

(주)피엘코스메틱은	(/SS+주/NNG+)/SS+피엘코스메틱/NNP+은/JX
헤어제품을	헤어/VV+제품/NNG+을/JKO
제조하는	제조하/VV+는/ETM
중소기업으로	중소기업/NNG+으로/JKB
상시근로자	상시근로자/NNG
40명	40/SN+명/NNB
중	중/NNB
중증장애인	중증장애인/NNG
14명을	14/SN+명/NNB+을/JKO
포함해	포함하/VV+여/EC
총	총/MM
17명이	17/SN+명/NNB+이/JKS
장애인근로자다	장애인근로자다/NNG

특히	특히/MAG
중증·여성장애인	중증/NNG+·/SP+여성장애인/NNG
고용	고용/NNG
확대를	확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
직무	직무/NNG
개발	개발/NNG
및	및/MAG
결원	결원/NNG
발생	발생/NNG
시	시/NNG
중증여성장애인	중증여성장애/NNG+이/VCP+ㄴ/ETM
우선	우선/MAG
채용,	채용/NNG+,/SP
전체	전체/NNG
근로자	근로자/NNG
대상	대상/NNG
매주	매주/MAG
수화교실	수화교실/NNG
운영	운영/NNG
등을	등/NNB+을/JKO
높이	높이/MAG
평가	평가/NNG
받았다	받/VV+았/EP+다/EC

IBK	IBK/SL
기업은행은	기업은행/NNP+은/JX
‘장애인	‘/SL+장애인/NNG
상시	상시/NNG
채용제’,	채용/NNG+제/XSN+’/SL+,/SP
정기	정기/NNG
공채	공채/NNG
시	시/NNG
‘장애인	‘장애인/NNG
쿼터제	쿼터/NNG+제/XSN
3%	3/SN+%/SW
이상	이상/NNG
반영’	반영/NNG+’/SL
등	등/NNB
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
장애인고용	장애인고/NNG+용/XSN
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
노력해	노력하/VV+여/EC
왔고,	오/VX+았/EP+고/EC+,/SP
올해	올해/NNG
금융권	금융/NNG+권/XSN
최초로	최초/NNG+로/JKB
장애인	장애인/NNG
의무고용률을	의무고용률/NNG+을/JKO
달성했다	달성하/VV+였/EP+다/EF

장애인고용	장애인고/NNG+용/XSN
우수사업주로	우수사업주/NNG+로/JKB
선정돼	선정되/VV+어/EC
인증을	인증/NNG+을/JKO
받으면	받/VV+으면/EC
장애인고용시설자금	장애인고용시설자금/NNG
융자	융자/NNG
및	및/MAG
무상지원	무상지원/NNG
선정	선정/NNG
시	시/NNG
우대,	우대/NNP+,/SP
고용노동부	고용노동부/NNG
정기근로감독	정기근로감독/NNG
3년	3/SN+년/NNB
면제,	면제/NNG+,/SP
국방부	국방부/NNG
물품	물품/NNG
및	및/MAG
일반용역	일반용역/NNG
적격심사	적격심사/NNG
시	시/NNG
가점	가점/NNG
부여	부여/NNG
등의	등/NNB+의/JKG
혜택이	혜택/NNG+이/JKS
주어진다	주어지/VV+ㄴ다/EC

인증	인증/NNG
유효기간은	유효기간/NNG+은/JX
선정일로부터	선정일/NNG+로부터/JKB
3년이다	3/SN+년/NNB+이/VCP+다/EC
