행복한웹앤미디어,	행복하/VA+ㄴ/ETM+웹앤미디어/NNG+,/SP
장애인표준사업장	장애인표준사업장/NNG
인증	인증/NNG

SK	SK/SL
C&C와	C/SL+&/SW+C/SL+와/JC
SK행복나눔재단이	SK/SL+행복나눔재단/NNP+이/JKS
설립한	설립하/VV+ㄴ/ETM
(재)행복한웹앤미디어(이하	(/SS+재/NNG+)/SS+행복하/VV+ㄴ/ETM+웹앤미디어/NNG+(/SS+이하/NNG
행복한웹앤미디어)가	행복하/VV+ㄴ/ETM+웹앤미디어/NNG+)/SS+가/JKS
장애인표준사업장으로	장애인표준사업장/NNG+으로/JKB
인증	인증/NNG
받았다	받/VV+았/EP+다/EC

12일	12/SN+일/NNB
경기도	경기도/NNP
분당에	분당/NNP+에/JKB
소재한	소재하/VV+ㄴ/ETM
행복한웹앤미디어	행복하/VA+ㄴ/ETM+웹앤미디어/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
장애인표준사업장	장애인표준사업장/NNG
현판식에는	현판식/NNG+에/JKB+는/JX
행복한웹앤미디어	행복하/VA+ㄴ/ETM+웹앤미디어/NNG
이사장이자	이사장/NNG+이/VCP+자/EC
SK	SK/SL
C&C	C/SL+&/SW+C/SL
부사장인	부사장/NNG+이/VCP+ㄴ/ETM
조영호	조영호/NNP
이사장과	이사장/NNG+과/JC
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
이성규	이성규/NNP
이사장	이사장/NNG
등	등/NNB
주요	주요/NNG
내빈이	내빈/NNG+이/JKS
참석했다	참석하/VV+였/EP+다/EC

웹사이트	웹사이트/NNG
개발	개발/NNG
및	및/MAG
운영업체인	운영업체/NNG+이/VCP+ㄴ/ETM
행복한웹앤미디어는	행복한웹앤미디어/NNP+는/JX
현재	현재/MAG
상시근로자	상시근로자/NNG
27명	27/SN+명/NNB
중	중/NNB
장애인	장애인/NNG
14명을	14/SN+명/NNB+을/JKO
고용하고	고용하/VV+고/EC
있고,	있/VX+고/EC+,/SP
장애인	장애인/NNG
중	중/NNB
중증장애인이	중증장애인/NNG+이/JKS
8명에	8/SN+명/NNB+에/JKB
이르고	이르/VV+고/EC
있어	있/VX+어/EC
표준사업장으로서	표준사업장/NNG+으로서/JKB
요건을	요건/NNG+을/JKO
갖추었다	갖추/VV+었/EP+다/EC

특히	특히/MAG
행복한웹앤미디어는	행복하/VA+ㄴ/ETM+웹앤미디어/NNG+는/JX
IT영역에	IT/SL+영역/NNG+에/JKB
시각장애인이	시각장애인/NNG+이/JKS
진입하기	진입하/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
선입견을	선입견/NNG+을/JKO
깨고	깨/VV+고/EC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
직무개발을	직무개발/NNG+을/JKO
통해	통하/VV+여/EC
시각장애인들을	시각장애인/NNG+들/XSN+을/JKO
고용했으며,	고용하/VV+였/EP+으며/EC+,/SP
복지기관	복지기관/NNG
및	및/MAG
사회적기업의	사회적기업/NNG+의/JKG
홈페이지를	홈페이지/NNG+를/JKO
제작	제작/NNG
기증하고	기증하/VV+고/EC
저소득	저소득/NNG
가정	가정/NNG
청소년을	청소년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
IT교육을	IT/SL+교육/NNG+을/JKO
실시하는	실시하/VV+는/ETM
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
사회공헌	사회공헌/NNG
활동으로	활동/NNG+으로/JKB
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

이날	이날/NNG
현판식에서	현판식/NNG+에서/JKB
공단	공단/NNG
이성규	이성규/NNP
이사장은	이사장/NNG+은/JX
“앞으로	“/SN+앞/NNG+으로/JKB
장애인표준사업장의	장애인표준사업장/NNG+의/JKG
경영	경영/NNG
안정과	안정/NNG+과/JC
장애인근로자의	장애인근로자/NNG+의/JKG
안정된	안정되/VV+ㄴ/ETM
일자리	일자리/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+여/EC
최적의	최적/NNG+의/JKG
서비스를	서비스/NNG+를/JKO
지원하겠다”며	지원하/VV+겠/EP+다/EC+”/VX+며/EC
의지를	의지/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

복한웹앤미디어	복한웹앤미디어/NNP
조영호	조영호/NNP
이사장도	이사장/NNG+도/JX
“행복한웹앤미디어를	“/SN+행복하/VV+ㄴ/ETM+웹앤미디어/NNG+를/JKO
모범이	모범/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대한민국	대한민국/NNP
대표	대표/NNG
표준사업장으로	표준사업장/NNG+으로/JKB
발전시켜	발전/NNG+시키/XSV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
소감을	소감/NNG+을/JKO
말했다	말하/VV+였/EP+다/EC
